Gene	D15_M_MP	D21_M_MP	D22_M_MP	D24_M_MP	D46_M_MP	D48_M_MP	D50_M_MP	D52_M_MP	D57_M_MP	D60_M_MP	D27_G_F	D28_G_F	D29_G_F	D31_G_F	D35_G_F	D36_G_F	D38_G_F	D41_G_F	D44_G_F
a90_gac-miR-10545-3p	10	6	4	36	0	0	0	159	181	3	5	35	27	14	19	17	22	35	16
a37_gac-miR-103-3p	5482	2540	2682	3486	585	2442	763	3147	1865	843	2845	2274	3082	1432	1229	2970	5445	4616	1077
a172_gac-miR-101b-5p	3522	769	804	2225	486	959	457	1354	1027	241	1240	2010	2176	1477	722	1728	2591	2043	749
a19_gac-miR-101b-3p	278	47	81	290	31	105	10	85	0	63	84	35	10	37	39	46	48	79	43
a138_gac-miR-101a-3p	33017	9708	14380	21336	2961	11730	2069	6778	9897	8694	8739	5663	5132	4791	4277	7629	12498	16406	2817
a9_gac-miR-100-2-5p	156961	27953	42790	123880	51293	56327	16214	92512	202051	31138	44415	86760	72395	134722	59105	165279	265075	86381	64755
a18_gac-miR-1-3p	51051	1503	2532	40808	83363	11716	8575	5464	8703	11015	4454	12870	10770	160941	2472	116461	130999	46318	31981
a194_gac-let-7j-5p	10090	10288	14232	16155	5056	9501	2334	14763	20457	3918	8559	6186	7735	7645	4360	10035	11017	13881	7786
a92_gac-let-7j-3p	214	278	362	430	98	294	150	261	257	66	234	77	153	86	115	261	319	348	128
a192_gac-let-7i-5p	1673	1700	1658	2569	1165	1001	507	3945	3024	1181	1549	1717	1804	2705	993	3877	4149	1497	2151
a184_gac-let-7h-1-5p	26811	14310	25619	26305	8292	18717	5648	40037	62385	6829	17700	28446	26825	22200	19775	31547	40803	51106	21372
a82_gac-let-7h-1-3p	3390	591	1090	1488	499	884	240	2064	3072	311	647	746	1190	671	481	780	1037	3367	536
a191_gac-let-7g-5p	132592	75865	150589	116328	44087	88056	21543	125024	179135	30262	104094	101917	132083	136896	52644	122840	186830	193838	77638
a84_gac-let-7g-1-3p	0	5	9	18	17	0	0	0	0	1	16	10	13	0	0	8	23	0	0
a186_gac-let-7f-5p	15710	13389	23349	23962	7641	21506	4059	24071	45537	6213	13164	13236	13490	17717	11845	27029	24674	28558	16538
a185_gac-let-7e-5p	163186	194148	274483	196258	53437	231046	40962	183834	338100	56315	135579	106073	119277	155175	107633	215288	252512	306157	171348
a83_gac-let-7e-1-3p	539	160	164	257	92	272	52	147	357	92	162	93	86	41	62	100	144	477	50
a193_gac-let-7d-5p	59218	16383	23572	46284	20510	37922	8913	50961	131005	13800	16271	59547	53887	50483	39787	43800	78371	64411	39780
a91_gac-let-7c-2/d-3p	136	26	54	78	99	38	0	138	175	22	22	43	96	95	57	134	178	204	33
a189_gac-let-7c-2-5p	40611	6324	8127	24624	21678	15823	5655	44894	73849	6749	9108	48106	42759	63182	40841	39856	85507	36991	27889
a190_gac-let-7b-5p	172849	31183	45789	140473	79772	68596	23288	306198	500067	39471	49355	371754	258049	163782	178414	132984	218227	304515	124872
a81_gac-let-7b-1-3p	7388	717	1212	4551	2805	2247	590	8431	7219	835	1248	3018	3144	2445	1355	2917	3394	6114	1638
a187_gac-let-7a-5p_gac-let-7c-2-5p	3111	1292	2322	2370	1020	1895	379	2496	3500	584	1929	4017	2413	3313	2055	3717	7397	4069	2406
a188_gac-let-7a-5p	927993	506937	894481	982843	329070	768022	185171	1044388	1895945	239359	578961	1110439	1031757	1067004	746327	1150805	1548913	1962339	826059
a85_gac-let-7a-5-3p	879	677	984	756	176	928	141	748	976	142	586	261	374	360	303	492	730	1238	320
a158_gac-let-7a-3/7-3p	1368	208	161	944	219	469	156	722	1025	196	227	365	384	185	129	317	512	1098	160
a267_REV_gac-let-7b-5p_gac-let-7c-2-5p	24	0	0	7	0	0	0	25	1	0	0	6	0	0	2	0	28	8	2
a257_REV_gac-let-7f-3p	30	12	3	19	13	0	0	17	0	2	9	3	0	14	13	7	3	65	1
a253_REV_gac-miR-103a-5p	4	6	3	16	0	0	8	0	0	0	8	5	0	4	1	6	15	7	2
a252_REV_gac-miR-10c-3p	4	0	0	0	0	0	0	0	41	3	4	0	8	0	0	3	0	0	2
a260_REV_gac-miR-132-3p	49	7	6	92	36	29	36	0	0	14	19	70	43	13	19	83	109	38	26
a250_REV_gac-miR-181b-2/3-5p	112	4	13	37	15	32	12	86	0	26	20	38	64	52	16	55	59	32	24
a268_REV_gac-miR-190a-5p	29	15	11	15	13	10	2	0	0	4	35	2	15	3	0	20	10	12	3
a261_REV_gac-miR-191-5p	47316	52764	68077	38495	10588	48046	7887	139208	55629	10995	37528	24636	41492	24295	38289	32276	65703	87779	38833
a251_REV_gac-miR-193a-2-3p	18	7	0	10	0	12	0	2	0	4	11	0	0	0	0	2	22	0	0
a269_REV_gac-miR-27b-3p_gac-miR-27c-1-3p	110	65	69	65	17	43	7	144	132	26	57	26	63	45	21	49	75	44	14
a255_REV_gac-miR-460-3p	23	2	0	7	0	0	0	0	0	0	0	0	0	7	11	0	0	0	5
a256_REV_gac-miR-730-3p	15	1	5	3	0	2	7	23	56	0	4	21	19	0	11	21	0	0	0
a254_REV_gac-miR-7bb-3p	3	2	2	1	0	0	0	0	128	4	2	5	0	0	3	0	0	0	3
