Gene	D15_M_MP	D21_M_MP	D22_M_MP	D24_M_MP	D46_M_MP	D48_M_MP	D50_M_MP	D52_M_MP	D57_M_MP	D60_M_MP	D27_G_F	D28_G_F	D29_G_F	D31_G_F	D35_G_F	D36_G_F	D38_G_F	D41_G_F	D44_G_F
a111_gac-miR-301b-5p	9	9	38	0	0	13	0	68	0	0	2	0	13	6	33	6	50	21	21
a143_gac-miR-29b-2b-3p	0	0	0	0	0	0	0	57	0	2	0	2	0	0	3	1	0	0	1
a145_gac-miR-29b-1a/2a-3p	47	71	19	194	60	82	67	184	262	13	82	26	35	73	31	94	89	17	33
a107_gac-miR-29b-1a-5p	40	9	30	21	0	31	9	85	0	7	54	49	52	17	19	31	21	22	22
a144_gac-miR-29a-3p_gac-miR-29b-1a/2a-3p	13	1	5	0	0	1	6	13	0	4	1	7	0	7	4	0	5	0	0
a146_gac-miR-29a-3p	1516	306	413	580	344	596	107	1118	2021	146	389	297	279	265	132	264	715	153	76
a33_gac-miR-29a-3b-5p	110	55	57	146	29	57	50	124	445	15	48	53	68	47	14	75	64	115	24
a228_gac-miR-27e-3p	3991	1345	1240	3751	2047	1515	578	9943	3367	1319	818	1316	1606	2095	857	2184	4901	1937	1560
a59_gac-miR-27c-1-5p	492	557	880	706	307	838	228	1241	843	230	468	299	292	379	406	795	1265	646	379
a231_gac-miR-27c-1-3p	7243	12342	11635	9857	3766	8288	1756	10092	5311	4510	6635	3316	3876	4686	4641	5204	12414	4728	4219
a36_gac-miR-27b-5p	334	223	312	590	159	282	87	1149	865	157	207	251	236	333	218	404	640	447	306
a230_gac-miR-27b-3p	10640	5510	7552	16247	3502	4998	2737	25261	11387	5054	4221	5116	5219	5406	4617	6822	10760	6408	4067
a42_gac-miR-27a-5p	204	59	109	214	6	123	20	408	277	89	74	107	98	62	231	187	172	263	69
a227_gac-miR-27a-3p_gac-miR-27b-3p_gac-miR-27e-3p	168	45	91	140	12	105	3	230	236	57	39	26	49	40	53	136	128	25	71
a229_gac-miR-27a-3p	577	298	471	1068	488	632	169	1794	1067	685	236	220	71	131	217	217	297	247	167
a74_gac-miR-26b-3p	880	345	378	407	208	663	151	367	848	137	230	262	372	186	139	174	311	814	69
a73_gac-miR-26a-1b-3p	216	245	284	383	57	158	67	200	217	102	256	141	211	109	98	319	396	311	111
a226_gac-miR-26-5p	344753	169085	235151	232387	119012	212832	48560	290884	253433	61408	155305	123039	151036	96248	54526	191156	266607	213662	70901
a197_gac-miR-24-6-5p	60	50	66	234	52	60	15	363	246	156	33	98	43	59	68	80	88	45	32
a206_gac-miR-24-3p	4382	3075	3818	4537	2404	3303	787	10568	3391	1630	2481	1583	1664	2461	1789	1948	6226	3062	1811
a198_gac-miR-24-3-5p	0	16	8	37	0	13	6	65	0	3	13	0	0	17	11	6	25	36	0
a199_gac-miR-24-2-5p	769	396	534	586	298	379	141	754	555	194	337	261	355	589	403	567	1132	530	432
a119_gac-miR-23b-2-5p	187	58	74	159	75	164	92	503	366	116	66	258	248	145	171	170	199	255	90
a50_gac-miR-23b-2-3p	8029	2380	3822	8634	2903	3663	1189	15924	11294	1828	2017	4585	2740	4129	2962	3962	5652	3439	2577
a49_gac-miR-23a-3p_gac-miR-23b-2-3p	65	50	57	103	24	71	9	0	126	22	34	31	33	14	53	68	86	43	18
a51_gac-miR-23a-3p	119710	69556	98806	86143	35836	76090	13754	129168	120630	29768	44133	60636	38990	58473	51005	58613	111291	68989	45467
a114_gac-miR-23a-3-5p	656	87	150	400	64	484	34	984	389	130	144	390	183	193	182	338	340	363	238
a112_gac-miR-23a-2-5p	181	197	400	213	208	522	36	575	527	103	171	126	181	303	179	171	481	125	76
a118_gac-miR-23a-1-5p	160	13	19	83	45	18	14	126	81	22	37	60	55	222	56	88	124	32	28
a79_gac-miR-22b-5p	6791	1237	2241	2543	1179	1539	506	2821	4708	643	1498	3493	4108	1992	1556	2353	4421	6803	1189
a14_gac-miR-22b-3p	259	132	135	198	45	138	39	193	13	30	73	108	98	112	56	102	236	231	52
a45_gac-miR-22a-5p	5896	732	1009	5281	893	1327	315	3784	3482	951	1131	3599	3204	2113	1371	3411	5862	4421	1019
a13_gac-miR-22a-3p	114069	39338	62802	272223	50796	48994	14610	257065	154365	52657	35130	68791	73495	104895	66388	155545	237791	129189	106072
a219_gac-miR-223-5p	916	2285	2115	1033	308	2495	165	820	1265	351	1152	350	447	792	801	843	1754	2641	768
