Gene	D12_M_MPP	D13_M_MPP	D20_M_MPP	D47_M_MPP	D61_M_MPP	D25_M_I	D45_M_I	D53_M_I	D56_M_I
a14_gac-miR-22b-3p	141	248	188	135	116	107	56	314	257
a45_gac-miR-22a-5p	1926	2187	2208	3225	360	3762	2028	2670	7613
a13_gac-miR-22a-3p	50206	131658	108935	93826	90274	58402	93148	170826	232246
a219_gac-miR-223-5p	421	3538	3195	803	1014	846	1065	605	969
a173_gac-miR-223-3p	17047	105852	73131	33042	22288	42046	32496	16318	48381
a201_gac-miR-222c-5p	188	145	85	338	127	0	110	302	105
a200_gac-miR-222a-5p	178	321	124	980	108	0	321	1330	516
a39_gac-miR-222-3p	3573	9168	4749	11304	4306	4455	6702	19355	17788
a25_gac-miR-221a-5p	0	45	22	0	0	92	27	23	18
a40_gac-miR-221-3p	3998	6000	3492	6613	1654	4986	2890	9827	9014
a77_gac-miR-21a-3p	161	172	63	186	0	0	15	220	19
a237_gac-miR-218a-2-5p_gac-miR-218b-5p	0	26	1	20	0	0	30	0	28
a239_gac-miR-218a-2-5p	0	532	564	804	441	0	976	1690	986
a15_gac-miR-2188-5p	11581	26037	19218	44477	8101	30700	28765	15305	58496
a108_gac-miR-2188-3p	28739	52738	77947	69149	82995	27286	69399	40781	147401
a5_gac-miR-2184-5p	0	300	212	546	308	0	145	418	618
a142_gac-miR-217a-5p	165	10	20	20	54	0	16	52	75
a135_gac-miR-216b-5p	0	0	0	26	0	0	0	58	24
a58_gac-miR-214a-3p	4465	4069	3017	18582	2618	3008	4392	24688	30618
a26_gac-miR-212a-5p	0	69	67	10	0	2	80	24	176
a38_gac-miR-210-5p	513	4252	3009	3862	1176	1712	2396	4702	5000
a94_gac-miR-210-3p	148	1513	534	1553	144	80	381	1074	530
a52_gac-miR-21-5p	107227	391938	277116	317490	160536	105271	198541	370960	501207
a56_gac-miR-20b-5p	204	12	0	0	0	0	0	37	0
a126_gac-miR-20a-5p	0	1099	438	1013	71	279	281	250	218
a203_gac-miR-206-1-3p	4325	2428	24509	79510	5111	3563	738	1445	177508
a240_gac-miR-205-1a-3p	0	256	154	27	0	123	92	38	66
a178_gac-miR-205-1-5p	4581	40547	17665	5876	2345	10888	19924	3218	8153
a101_gac-miR-204-2b-3p	0	6	0	0	0	0	12	0	29
a233_gac-miR-204-1/2b-5p	873	2437	2727	10302	1527	5945	7497	1772	16638
a234_gac-miR-202-5p	509	28	30	0	0	0	237	0	8
a67_gac-miR-200b-5p	0	111	72	0	0	0	44	0	48
a133_gac-miR-200b-3p	3960	39540	19716	2727	2794	8167	11193	2905	3860
a128_gac-miR-200a-3p	350	7446	2864	431	427	519	1739	173	552
a220_gac-miR-19b-3p	507	1213	815	845	0	734	295	348	226
a157_gac-miR-19b-2-5p	0	94	122	100	169	186	90	124	46
a106_gac-miR-19a-1-5p	0	0	0	48	0	0	0	48	0
a222_gac-miR-19a-1-3p	0	248	187	221	0	156	88	89	117
a72_gac-miR-199-5p	3743	13335	6610	21304	5501	4224	7695	35275	45158
a20_gac-miR-199-3p	11613	29862	42172	48126	13321	13598	24518	71740	94222
a153_gac-miR-196d-5p	0	13	70	61	0	0	27	0	300
a69_gac-miR-196d-3p	0	45	124	196	119	208	106	0	832
a154_gac-miR-196a-5p	0	173	684	216	120	87	446	46	1315
a216_gac-miR-194b-5p	0	0	0	36	0	0	0	77	0
a215_gac-miR-194a-5p	0	350	353	1219	384	1722	149	1224	973
a207_gac-miR-193a-2-5p	1065	226	154	1603	1	265	425	1123	1922
a131_gac-miR-18c-5p	0	223	178	22	344	86	38	134	24
a130_gac-miR-18a/b-5p	0	259	177	302	178	0	122	72	26
a32_gac-miR-18a-3p	0	199	253	150	0	349	140	77	184
a76_gac-miR-184-5p	0	8	10	0	0	0	9	0	0
a204_gac-miR-184-3p	2383	13995	8361	1037	624	1247	5315	710	2042
a159_gac-miR-183-5p	161	1196	770	212	340	0	458	216	308
a243_gac-miR-182b-5p	0	30	31	38	0	0	21	0	21
a241_gac-miR-182a-5p_gac-miR-182b-5p	0	39	37	23	0	0	12	0	0
a242_gac-miR-182a-5p	0	227	258	60	292	0	132	0	83
a8_gac-miR-181b-2/3-5p_gac-miR-181c-5p	1084	2125	2138	2806	1069	500	1423	5013	2727
a88_gac-miR-181b-2-3p	0	0	4	79	0	0	0	0	0
a7_gac-miR-181b-1-5p	75	1582	969	967	340	136	798	1937	1798
a6_gac-miR-181a-5p	4315	31860	19841	30336	11563	7179	17734	44452	35542
a23_gac-miR-181a-3-3p	646	689	724	543	725	363	538	745	942
a21_gac-miR-181a-2-3p_gac-miR-181a-3-3p	0	87	75	48	1	0	61	45	60
a22_gac-miR-181a-2-3p	474	1336	860	2277	2872	266	1896	8753	2049
a24_gac-miR-181a-1-3p	0	501	120	399	212	129	194	307	190
a2_gac-miR-17a-5p	102	703	219	380	0	0	139	418	123
a31_gac-miR-17a-1-3p	0	7	7	38	0	0	0	0	0
a150_gac-miR-16c-5p	77685	345634	433016	271277	178808	156894	208579	182438	316702
a149_gac-miR-16a-5p_gac-miR-16c-5p	3811	19944	17967	13731	8108	5117	9724	7061	16787
a151_gac-miR-16a-5p	1381	13992	16799	12818	6874	8480	8993	9838	14493
a152_gac-miR-15c-5p	63535	162149	132000	115245	88489	94873	72341	107995	137032
a147_gac-miR-15b-1-5p	122	965	191	686	0	223	276	429	1009
a148_gac-miR-15a-2-5p	14405	75384	75608	52344	16500	30838	37002	30326	44975
a225_gac-miR-155-5p	263	2243	729	1025	1311	385	739	1826	803
a235_gac-miR-153c-3p	0	0	1	45	0	0	0	0	0
a16_gac-miR-152a-5p	156	1116	625	1299	811	303	816	854	1483
a169_gac-miR-152a-3p	389	2255	1541	1597	174	593	889	1043	570
a29_gac-miR-150-5p	5177	7871	2681	16310	4507	15440	3393	2816	5463
a78_gac-miR-150-3p	0	7	6	148	0	0	16	51	44
a170_gac-miR-148a-3p	250	1047	1034	2055	189	927	523	1533	977
a183_gac-miR-146a-5p	10778	73128	47580	60768	37964	9469	50753	143706	49696
a53_gac-miR-146a-3p	1107	797	824	1044	324	693	584	3760	967
a121_gac-miR-145-5p	1793	5218	5226	5694	1200	1237	2748	7207	6207
a113_gac-miR-145-3p	140	4043	5355	2065	2874	1012	2772	3661	2981
a48_gac-miR-144-5p	1668	11437	11311	56815	17416	5260	13464	10589	18145
a80_gac-miR-144-3p	503	1160	810	6405	928	1219	739	1668	1548
a120_gac-miR-143-5p	0	60	82	40	0	0	7	0	43
a55_gac-miR-143-3p	9464	54550	68857	121726	112070	8631	41753	226881	82237
a66_gac-miR-142-5p	407	3156	880	3078	1230	449	679	2200	799
a218_gac-miR-142-3p	590	1264	677	1268	136	568	206	473	250
a65_gac-miR-140-5p	65	387	342	652	0	0	237	411	544
a139_gac-miR-140-3p	3460	15812	6759	14454	5828	1860	16070	16201	18873
a180_gac-miR-139-5p	1180	1863	1747	2174	601	1344	1765	1340	1394
a54_gac-miR-1388-3p	143	2086	1124	1598	1516	954	734	2428	578
a160_gac-miR-135c-5p	0	32	18	77	0	135	3	173	23
a162_gac-miR-135b-5p	0	9	20	30	0	0	20	0	18
a163_gac-miR-135a-2-5p	0	0	8	0	0	0	7	14	51
a161_gac-miR-135a-1-5p	0	3	11	0	0	0	4	0	9
a246_gac-miR-133b-3p	0	9	12	137	0	47	0	0	435
a41_gac-miR-133a-5p	0	17	69	171	0	0	0	51	200
a245_gac-miR-133a-3p_gac-miR-133b-3p	0	39	18	286	0	2	0	0	612
a236_gac-miR-133a-3p	739	2533	9469	31305	300	1480	275	918	99934
a64_gac-miR-130c-3p	0	97	74	119	0	71	57	71	69
a104_gac-miR-130c-2-5p	0	223	313	128	129	55	47	95	339
a30_gac-miR-130b-5p	6717	10406	9500	5849	6785	2920	5100	7600	11307
a62_gac-miR-130b-3p	0	191	176	118	0	135	80	188	178
a70_gac-miR-1306-5p	1252	154	210	265	130	1288	175	179	316
a96_gac-miR-129-1a/2-5p	0	11	7	34	0	0	60	0	98
a117_gac-miR-128-2-5p	0	7	14	0	0	0	0	0	6
a166_gac-miR-128-2-3p	20053	36020	53094	26567	30399	36035	28827	24190	43297
a68_gac-miR-126b-5p	2670	5858	3931	4466	1086	2378	4705	3597	5727
a179_gac-miR-126b-3p	65183	170403	82745	217750	73301	51250	204115	173360	272683
a175_gac-miR-125b-2/3-5p	33070	49765	52828	104588	27330	55336	99803	121223	255487
a28_gac-miR-125b-2-3p	0	42	133	208	183	455	80	94	563
a176_gac-miR-125a-5p	43604	100264	51159	119043	65384	50524	124474	165819	196440
a61_gac-miR-125a-1-3p_gac-miR-125a-2-3p	0	43	42	74	0	18	59	191	196
a123_gac-miR-122-5p	4982	6872	32060	31438	75676	603411	3325	47689	17015
a11_gac-miR-122-3p	0	152	127	474	413	1375	61	523	252
a141_gac-miR-10c-5p	3511	10489	4717	8896	8742	1911	11200	47287	2857
a140_gac-miR-10b-5p	14837	37422	65116	28155	25789	8811	49398	62643	70206
a132_gac-miR-10545-5p	0	17	4	15	66	0	8	53	1
a90_gac-miR-10545-3p	0	31	3	23	0	0	26	66	107
a37_gac-miR-103-3p	1389	4496	4090	3347	1818	1606	1929	4280	2129
a172_gac-miR-101b-5p	838	1459	1397	2218	40	2620	1062	1011	1703
a19_gac-miR-101b-3p	0	118	73	371	0	0	108	28	47
a138_gac-miR-101a-3p	7721	19798	14546	15213	6053	4562	10195	9578	8571
a9_gac-miR-100-2-5p	24856	92264	88873	79851	64393	19828	101657	251180	181285
a18_gac-miR-1-3p	868	8213	58496	129289	23584	3622	1484	3907	220340
a194_gac-let-7j-5p	2297	16109	15745	15273	12514	5525	9310	11295	14893
a92_gac-let-7j-3p	145	576	288	254	311	237	196	201	501
a192_gac-let-7i-5p	729	3880	2955	3571	2968	624	1607	6452	4055
a184_gac-let-7h-1-5p	13627	27450	37463	32723	41365	31074	12602	49419	33605
a82_gac-let-7h-1-3p	2583	1898	1605	1071	201	2409	1227	613	1660
a191_gac-let-7g-5p	35732	111586	154150	142540	137177	75457	79249	76542	180699
a186_gac-let-7f-5p	4929	24206	24820	28363	31223	12311	14298	28120	23901
a185_gac-let-7e-5p	58401	298007	343103	205277	355976	74508	129626	304643	191602
a83_gac-let-7e-1-3p	192	362	387	167	0	241	231	278	83
a193_gac-let-7d-5p	39157	34684	35295	84904	59504	34434	25055	165762	88737
a91_gac-let-7c-2/d-3p	0	93	89	89	169	231	251	104	378
a189_gac-let-7c-2-5p	10288	11033	16192	52299	24048	34110	10979	62550	86964
a190_gac-let-7b-5p	182043	63508	77153	246195	252435	290373	48457	371933	371317
a81_gac-let-7b-1-3p	4408	2867	2021	4443	280	11929	3419	3949	6699
a187_gac-let-7a-5p_gac-let-7c-2-5p	1150	1630	1831	2979	1225	1365	1928	2698	3621
a188_gac-let-7a-5p	457081	801342	984027	1181453	1331474	945921	534204	1239377	1272516
a85_gac-let-7a-5-3p	318	1610	1147	498	132	451	582	194	651
a158_gac-let-7a-3/7-3p	180	404	457	754	555	269	392	407	537
a257_REV_gac-let-7f-3p	0	30	36	0	0	89	8	0	0
a266_REV_gac-let-7i-1-3p	0	15	11	52	0	0	0	0	6
a253_REV_gac-miR-103a-5p	0	18	1	0	0	0	9	0	0
a252_REV_gac-miR-10c-3p	0	0	0	82	0	0	4	52	19
a260_REV_gac-miR-132-3p	0	48	56	34	0	0	9	59	79
a258_REV_gac-miR-153c-5p	0	0	0	0	0	0	0	24	18
a250_REV_gac-miR-181b-2/3-5p	0	58	46	55	175	0	8	192	76
a268_REV_gac-miR-190a-5p	0	21	14	62	0	0	14	0	0
a261_REV_gac-miR-191-5p	18294	124861	105269	24937	33519	43776	35494	23137	40320
a251_REV_gac-miR-193a-2-3p	0	1	0	0	0	0	0	36	0
a269_REV_gac-miR-27b-3p_gac-miR-27c-1-3p	0	110	108	35	103	0	30	0	176
a264_REV_gac-miR-459-5p	0	0	0	0	0	0	0	107	0
a255_REV_gac-miR-460-3p	0	0	0	0	0	187	18	0	0
a256_REV_gac-miR-730-3p	0	3	4	0	0	0	11	49	8
a254_REV_gac-miR-7bb-3p	0	0	0	0	0	0	0	0	38
a259_REV_gac-miR-9-7-3p	0	0	3	0	0	0	0	0	23
