		B43_F	B54_F	B60_F	T44_F	T47_F	C17_F	C19_F	C31_F	B48_M	B49_M	B59_M	T41_M	T43_M	T45_M	T63_M	T69_M	C13_M	C15_M	C20_M
nomCol	Gene	B43_F	B54_F	B60_F	T44_F	T47_F	C17_F	C19_F	C31_F	B48_M	B49_M	B59_M	T41_M	T43_M	T45_M	T63_M	T69_M	C13_M	C15_M	C20_M
let-7h-1-3p	let-7h-1-3p	949	144	68	333	141	100	460	137	103	267	101	394	547	1293	159	559	353	412	422
let-7g-5p	let-7g-5p	25485	6144	33426	40400	17616	25198	96084	42018	6444	30203	11551	30909	33066	116347	13552	121175	39170	37035	64982
let-7f-5p	let-7f-5p	2389	833	3352	5898	2958	9279	46254	16609	498	6344	2852	5600	7460	15796	2672	28282	15898	15447	19986
let-7e-5p	let-7e-5p	36337	11538	104284	56409	52914	145044	516807	177138	9081	120315	42816	83661	97908	141649	18055	200812	206614	192891	293701
let-7d-5p	let-7d-5p	13019	3932	14520	21688	8792	25513	100597	46394	1859	26772	6860	17332	12417	47661	5699	52124	54162	18534	43883
let-7c-2/d-3p	let-7c-2/d-3p	100	7	5	0	14	0	0	0	7	75	14	87	123	314	8	235	83	0	53
let-7c-2-5p	let-7c-2-5p	6283	2562	11504	10254	2914	8196	44922	23082	1652	14420	5136	8454	6975	19696	580	17613	13436	6684	15258
let-7b-5p	let-7b-5p	58578	11557	48251	90732	25689	130867	329864	160434	4452	64017	28849	58952	38201	141798	18280	167830	175921	97279	228138
let-7b-1-3p	let-7b-1-3p	3210	310	289	4558	987	0	0	0	255	776	174	3897	3033	7679	473	3113	0	0	0
let-7a-5p_gac-let-7c-2-5p	let-7a-5p_gac-let-7c-2-5p	1244	536	1855	1477	1870	638	3485	1195	493	2564	837	1585	1522	6515	1439	8490	1386	826	1110
let-7a-5p	let-7a-5p	165109	55018	227407	298400	186506	391096	1293105	527049	31522	329886	107146	300960	330346	858195	100649	1035377	551347	427019	789401
let-7a-5-3p	let-7a-5-3p	305	149	62	168	96	2	204	75	104	176	12	246	216	880	46	231	463	362	189
let-7a-4-3p	let-7a-4-3p	7	0	0	62	0	0	0	0	1	0	0	0	0	11	0	0	0	0	0
let-7a-3/7-3p	let-7a-3/7-3p	226	31	32	83	143	226	95	31	36	203	13	405	334	653	34	272	104	117	297
REV_let-7f-3p	REV_let-7f-3p	3	2	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0
REV_miR-137-1-3p	REV_miR-137-1-3p	0	0	0	0	0	46	0	0	0	0	0	0	0	0	0	0	0	0	0
REV_miR-181b-2/3-5p	REV_miR-181b-2/3-5p	12	3	0	0	0	0	0	0	0	1	7	0	0	0	0	0	0	0	0
REV_miR-190a-5p	REV_miR-190a-5p	11	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
REV_miR-193a-2-3p	REV_miR-193a-2-3p	12	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0
REV_miR-19a-1-3p	REV_miR-19a-1-3p	0	10	0	0	0	0	0	0	6	9	0	0	0	0	0	0	0	0	0
REV_miR-2184-5p	REV_miR-2184-5p	34	12	19	0	0	0	0	0	8	38	1	0	0	0	0	0	0	0	0
REV_miR-24-3-5p	REV_miR-24-3-5p	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0
REV_miR-29b-1a-5p	REV_miR-29b-1a-5p	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
REV_miR-7bb-3p	REV_miR-7bb-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
REV_miR-9-7-3p	REV_miR-9-7-3p	0	0	0	0	0	0	0	0	0	12	10	0	0	0	0	0	0	0	0
miR-301c-5p	miR-301c-5p	0	0	0	68	0	0	0	0	0	0	0	20	0	3	0	3	0	0	0
miR-301a-5p	miR-301a-5p	0	0	0	0	1	0	0	0	0	0	0	40	18	49	0	13	0	0	0
miR-29b-2b-3p	miR-29b-2b-3p	0	0	0	0	0	0	0	0	0	0	0	1	0	0	11	10	0	0	0
miR-29b-1a-5p	miR-29b-1a-5p	0	0	0	306	21	0	0	0	0	0	0	45	42	275	18	110	0	0	0
miR-26a-1b-3p	miR-26a-1b-3p	0	0	0	0	29	65	34	0	0	0	0	21	16	39	9	72	160	104	91
miR-24-3-5p	miR-24-3-5p	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
miR-223-5p	miR-223-5p	0	0	0	215	409	1074	726	227	0	0	0	1016	947	1050	158	851	542	993	451
miR-2184-5p	miR-2184-5p	0	0	0	9	23	0	0	0	0	0	0	3	56	93	0	35	38	0	0
miR-217a-5p_gac-miR-217b-5p	miR-217a-5p_gac-miR-217b-5p	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0
miR-214a-5p	miR-214a-5p	0	0	0	0	9	0	0	0	0	0	0	33	10	12	0	0	10	41	0
miR-212-3p	miR-212-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0
miR-19b-2-5p	miR-19b-2-5p	0	0	0	60	0	0	0	0	0	0	0	3	11	26	0	6	0	0	0
miR-19a-1-3p	miR-19a-1-3p	0	0	0	0	8	0	0	0	0	0	0	17	29	4	19	80	0	88	0
miR-181b-3-3p	miR-181b-3-3p	0	0	0	15	6	74	0	0	0	0	0	0	2	25	0	8	0	0	0
miR-150-3p	miR-150-3p	0	0	0	181	48	0	271	3	0	0	0	91	40	286	65	645	198	139	182
miR-138bb-3p	miR-138bb-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
miR-1388-5p	miR-1388-5p	0	0	0	169	14	0	0	0	0	0	0	66	94	161	13	178	0	0	0
miR-135c-5p	miR-135c-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0
miR-132b-5p	miR-132b-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
miR-132a-5p	miR-132a-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
miR-132-3p	miR-132-3p	0	0	0	0	90	0	0	0	0	0	0	27	257	444	100	619	0	0	0
miR-129-1a-3p_gac-miR-129-1b/2-3p	miR-129-1a-3p_gac-miR-129-1b/2-3p	0	0	0	31	0	0	0	0	0	0	0	0	13	0	0	22	0	0	0
miR-125a-1-3p	miR-125a-1-3p	0	0	0	0	3	0	0	0	0	0	0	26	26	80	17	185	0	0	0
miR-124-3p	miR-124-3p	0	0	0	37	0	0	0	0	0	0	0	1	2	29	1	5	0	0	0
miR-103a-5p	miR-103a-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
let-7g-1-3p	let-7g-1-3p	0	0	0	0	4	0	0	0	0	0	0	0	16	9	0	4	0	0	0
let-7f-3p	let-7f-3p	0	0	0	0	12	0	0	0	0	0	0	29	13	61	0	29	0	0	0
let-7e-1-3p	let-7e-1-3p	0	0	0	63	28	5	22	86	0	0	0	62	58	102	27	80	61	99	40
REV_let-7a-5p_gac-let-7g-5p	REV_let-7a-5p_gac-let-7g-5p	0	0	0	100	60	0	0	0	0	0	0	73	73	263	54	314	0	0	0
REV_miR-1306-5p	REV_miR-1306-5p	0	0	0	123	11	206	102	4	0	0	0	2	15	32	19	63	332	135	122
REV_miR-135b-3p	REV_miR-135b-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
REV_miR-135b-5p	REV_miR-135b-5p	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	44	0	0	0
REV_miR-181a-2-3p	REV_miR-181a-2-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
REV_miR-183a-3p	REV_miR-183a-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
REV_miR-18a-3p	REV_miR-18a-3p	0	0	0	0	1	0	0	0	0	0	0	57	8	23	0	16	0	0	0
REV_miR-7132b-3p	REV_miR-7132b-3p	0	0	0	3418	828	0	0	0	0	0	0	3046	3030	7064	2566	8544	0	0	0
REV_miR-723-3p	REV_miR-723-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
miR-96-5p	miR-96-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
miR-9-7-3p	miR-9-7-3p	0	0	0	0	0	296	684	159	0	0	0	0	0	0	0	0	963	1021	289
miR-205-1b-3p	miR-205-1b-3p	0	0	0	0	0	66	64	0	0	0	0	0	0	0	0	0	0	0	127
miR-205-1a-3p	miR-205-1a-3p	0	0	0	0	0	77	0	0	0	0	0	0	0	0	0	0	0	182	396
miR-200a-5p	miR-200a-5p	0	0	0	0	0	326	81	0	0	0	0	0	0	0	0	0	0	259	519
miR-194b-5p	miR-194b-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39
miR-10545-3p	miR-10545-3p	0	0	0	0	0	0	29	35	0	0	0	0	0	0	0	0	0	126	125
REV_let-7f-5p_REV_gac-let-7g-5p	REV_let-7f-5p_REV_gac-let-7g-5p	0	0	0	0	0	0	59	0	0	0	0	0	0	0	0	0	67	14	0
REV_miR-18a/b-5p	REV_miR-18a/b-5p	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	54
REV_miR-190b-5p	REV_miR-190b-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44
REV_miR-191-5p	REV_miR-191-5p	0	0	0	0	0	82940	187202	36265	0	0	0	0	0	0	0	0	51170	71652	243602
REV_miR-19b-3p	REV_miR-19b-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	232	0	68
REV_miR-210-3p	REV_miR-210-3p	0	0	0	0	0	328	10	0	0	0	0	0	0	0	0	0	131	53	0
REV_miR-733-3p	REV_miR-733-3p	0	0	0	0	0	0	842	0	0	0	0	0	0	0	0	0	0	0	0
REV_miR-8159-5p	REV_miR-8159-5p	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	37	0	48
REV_miR-9-1/3/5/6-3p	REV_miR-9-1/3/5/6-3p	0	0	0	0	0	0	69	0	0	0	0	0	0	0	0	0	0	1	32
