Gene	D15_M_MP	D21_M_MP	D22_M_MP	D24_M_MP	D46_M_MP	D48_M_MP	D50_M_MP	D52_M_MP	D57_M_MP	D60_M_MP	D27_G_F	D28_G_F	D29_G_F	D31_G_F	D35_G_F	D36_G_F	D38_G_F	D41_G_F	D44_G_F
a103_gac-miR-ENSGACG00000022167-5p	43.9828802846831	28.785798661959	78.1242363095319	90.2218652355765	3070.91464018213	2304.36624082299	1950.08888842505	143.540256220798	168.813111999584	267.019441975053	18.225780440373	152.379390254422	137.025944033084	181.609816082616	173.125834550274	142.935913188509	24.6711311291836	40.2827371910349	151.504517830212
a109_gac-miR-ENSGACG00000022167-3p	18.4252606597997	0	11.948412612046	55.9997784220819	177.414365752035	217.583585288864	64.7972573685537	41.1584964073972	0	89.0064806583509	10.7210473178664	13.0610905932362	8.70005993860848	53.9326120487768	23.0834446067032	24.7240498488232	1.12141505132653	3.83645116105094	8.26388279073884
a10_gac-miR-99a-5p	20535.2501869703	11556.8723845448	6313.35740247264	15031.792374594	41114.4075024742	9450.65580997286	14030.149012134	17883.3666890141	12494.9152166196	13190.3262556132	11747.0515461863	21316.7882723776	20751.8179685659	40397.7277556379	26780.0933787196	21564.0072275205	39457.5492884495	8662.70672165302	14186.3321241017
a57_gac-miR-99a-3p	19.01962390689	5.00622585425374	0	22.2962080754586	0	12.853038793435	0	0	0	4.3417795443098	10.7210473178664	11.9726663771332	22.8376573388473	41.8252909766025	14.8393572471664	0.772626557775725	37.0066966937754	0	4.13194139536942
a244_gac-miR-96-5p	0	0	5.51465197479048	3.6296152680979	0	0	74.0540084212043	47.8467520735992	0	8.6835590886196	2.14420946357329	0	0	1.10066555201585	0	0	0	21.739889912622	0
a165_gac-miR-92a-3p	589048.450934831	795692.040388017	993909.401851139	692158.816846333	465506.031508061	552001.293210052	700365.784643539	321313.577347243	861932.300583372	501327.916863275	787598.154902959	533419.29352463	688073.602947144	460973.041836416	603076.424977257	608735.467087223	410433.983832829	817134.045103088	727812.553204556
a44_gac-miR-92a-2-5p	232.396029612312	73.8418313502427	80.8815622969271	100.073678106128	100.595774395484	93.6435683521694	243.761111053131	276.790888339746	380.630106188764	160.645843139463	185.474118599089	396.186414661498	604.654165733289	192.616471602774	375.930383594881	231.015340774942	174.940748006938	498.738650936622	286.481270078946
a181_gac-miR-9-5p	57.6532349677603	63.8293796417352	50.5509764355794	79.8515358981539	40.2383097581935	0	80.225175789638	32.4123159208253	35.2265843467966	75.9811420254215	82.5520643475716	56.5980592373568	34.8002397544339	344.508317780962	118.714857977331	148.344299092939	142.980419044132	55.6285418352386	148.749890233299
a46_gac-miR-9-1/3/5/6-3p	0	21.2764598805784	15.6248472619064	12.4443952049071	12.8030985594252	11.0168903943729	0	8.23169928147944	0	8.6835590886196	0	2.17684843220603	27.1876873081515	29.7179699044281	9.89290483144424	30.1324357532533	33.0817440141325	25.5763410736729	27.5462759691295
a167_gac-miR-8159-5p	87.9657605693663	27.5342421983956	23.8968252240921	205.851037347838	21.9481689590146	70.6917133638926	0	16.9778797680513	82.8053476203921	52.1013545317176	21.4420946357329	281.901871970681	13.0500899079127	162.898501698346	245.673803314199	103.531958741947	45.4173095787243	188.625515418338	88.1480831012143
a125_gac-miR-737-5p	4390.56130625614	1309.12806088735	1476.08851191892	1336.73545159377	3078.2306965018	3417.07217065465	629.459071580236	1230.63904258118	2560.10345460616	1432.78724962223	1315.47250590221	1897.12340866756	2516.4923372425	1253.65806374606	1549.88842359293	1062.36151694162	746.301716657803	2935.52454673081	891.122027601338
a177_gac-miR-730-5p	117.683922923882	101.376073548638	94.6681922339033	124.443952049071	56.6994364774545	83.5447521573276	92.5675105265053	26.2385414597157	319.32669966317	112.886268152055	80.4078548839983	215.507994788397	225.114050911494	82.5499164011891	138.500667640219	161.478950575127	130.64485347954	61.383218576815	247.916483722165
a168_gac-miR-727b-5p	3.56617948254188	2.50311292712687	0	0	3.65802815983577	0	12.3423347368674	0	0	2.1708897721549	0	0	51.1128521393248	28.6173043524122	13.190539775259	0.772626557775725	7.84990535928569	3.19704263420912	0
a124_gac-miR-727b-3p	23.1801666365222	11.2640081720709	7.35286929972065	34.7406032803657	82.3056335963049	15.6072613920282	0	46.3033084583218	0	4.3417795443098	1.07210473178664	46.8022412924297	43.5002996930424	29.7179699044281	18.1369921909811	41.7218341198892	74.574100913214	0.639408526841823	22.0370207753036
a232_gac-miR-725-3p	93.3150297931791	476.843012617669	603.854391239558	1135.55106244777	64.015492797126	158.826836518875	1092.29662421276	6325.03193540676	179.792826601183	3019.70767306746	2317.89043012272	35.9179991313995	116.363301678888	1124.8801941602	377.579201066788	387.085905445638	1101.22958040265	4126.74263223713	148.749890233299
a223_gac-miR-724-5p	97.4755725228113	415.516745903061	417.275332759147	79.8515358981539	42.0673238381114	134.956907331068	92.5675105265053	651.33320564706	111.627098449589	616.532695291991	542.484994284042	107.753997394199	380.627622314121	486.494173991007	138.500667640219	372.406000847899	433.987624863366	936.094083296429	1481.98964713917
a248_gac-miR-722-3p	55.8701452264894	68.8356054959889	11.948412612046	468.22036958463	179.243379831953	30.2964485845254	86.3963431580717	818.539597302111	31.566679479597	71.6393624811117	30.018932490026	239.453327542663	118.538316663541	119.972545169728	57.7086115167581	225.606954870512	67.2849030795916	54.349724781555	254.803052714448
a217_gac-miR-7147-5p	0	58.8231537874815	27.5732598739524	7.25923053619581	0	51.41215517374	0	9.26066169166436	0	19.5380079493941	8.57683785429315	30.4758780508844	0	2.20133110403171	0	9.2715186933087	2.24283010265305	0	2.75462759691295
