Gene	T9_Immature	T26_Immature	T31_Immature	T32_Immature	T13_Immature	T23_Immature	T1_Immature	T3_Immature	T12_Immature	T44_Mature	T47_Mature	T41_Mature	T43_Mature	T45_Mature	T63_Mature	T69_Mature
miR-29b-1a/2a-3p	32	178	209	7	30	49	5	0	0	18	16	32	11	58	1	31
miR-29b-1a-5p	8	430	16	20	15	31	2	1	0	306	21	45	42	275	18	110
miR-29a-3p	1	799	658	10	10	70	80	76	118	65	44	161	113	407	98	357
miR-27e-3p	533	1485	2125	70	35	149	409	5	68	360	110	648	809	4805	85	1687
miR-27c-1-5p	69	386	849	28	46	30	110	127	14	79	116	290	160	534	43	709
miR-27c-1-3p	414	5824	6436	226	331	199	924	214	637	1366	993	2404	2734	6091	505	4503
miR-27b-5p	18	182	70	4	2	0	44	0	93	1	33	94	59	217	6	300
miR-27b-3p	879	2532	6669	340	410	1038	853	81	973	2034	556	1928	1577	8646	308	5513
miR-27a-5p	10	3	188	9	3	0	57	0	7	0	11	58	48	226	28	278
miR-27a-3p_gac-miR-27b-3p_gac-miR-27e-3p	48	24	188	4	0	30	8	4	6	0	20	34	52	146	18	226
miR-27a-3p	21	130	497	13	6	9	0	7	187	0	11	34	92	310	28	508
miR-26b-3p	91	22	16	9	70	0	0	87	62	0	44	101	36	199	40	82
miR-26a-1b-3p	26	85	139	0	17	4	0	0	101	0	29	21	16	39	9	72
miR-26-5p	7709	54920	46899	3038	6763	4688	9818	3772	7628	20497	13607	20239	23655	95006	8194	66579
miR-24-3p	160	2151	2260	107	153	109	229	209	414	153	195	535	854	1583	153	1535
miR-24-3-5p	0	0	0	0	0	0	108	0	0	0	0	2	0	0	0	0
miR-24-2-5p	69	226	527	10	25	8	120	7	127	386	106	201	318	585	46	488
miR-23b-2-5p	115	422	1009	22	8	117	19	13	4	257	89	302	189	173	46	797
miR-23b-2-3p	447	2286	2854	75	80	397	213	36	533	529	256	700	862	3802	114	2143
miR-23a-3p_gac-miR-23b-2-3p	25	53	0	13	9	26	15	0	92	52	37	12	76	125	72	242
miR-23a-3p	4685	19150	14582	1281	1607	2104	3824	1748	2225	6089	3011	8250	12070	28048	1734	17758
miR-23a-3-5p	0	0	11	10	0	0	0	0	0	119	0	0	38	113	0	59
miR-22b-5p	550	1757	2133	270	194	290	579	107	233	1107	535	771	581	6635	377	1524
miR-22b-3p	2	263	142	9	8	2	0	0	3	70	9	0	15	209	3	56
miR-22a-5p	168	1300	956	88	81	301	206	186	380	538	344	563	814	3584	71	1167
miR-22a-3p	11536	96059	125230	15346	6936	23262	10883	8038	15293	27742	13022	31238	28304	91142	4664	105049
miR-223-5p	116	2003	804	206	458	150	273	172	110	215	409	1016	947	1050	158	851
miR-223-3p	5142	19438	11689	1407	3864	2140	5894	993	2854	8252	7202	16935	16758	22606	2465	9375
miR-222c-5p	13	506	107	30	0	73	0	0	0	0	27	42	49	70	0	86
miR-222a-5p	30	289	0	0	0	0	0	0	0	0	57	70	116	71	42	89
miR-222-3p	461	2774	1451	194	80	215	369	85	208	1122	599	1637	1519	2495	257	2549
miR-221a-5p	0	93	7	2	0	19	46	0	0	0	0	0	1	0	0	0
miR-221-3p	484	3582	1141	135	78	173	230	80	66	683	635	982	1399	2933	418	2339
miR-21a-3p	35	504	144	16	19	102	0	0	5	8	4	74	7	26	8	67
miR-218a-2-5p_gac-miR-218b-5p	0	0	214	8	0	0	0	0	0	0	8	17	5	43	0	46
miR-218a-2-5p	10	513	461	35	26	24	19	1	0	243	24	134	253	225	2	131
miR-2188-5p	1010	3782	4218	448	597	2357	1242	335	1480	3625	4921	3154	1889	23432	5587	12006
