Gene	B9_Immature	B31_Immature	B27_Immature	B11_Immature	B14_Immature	B17_Immature	B19_Immature	B43_Mature	B54_Mature	B60_Mature	B48_Mature	B49_Mature	B59_Mature
miR-ENSGACG00000022167-5p	3.648322609249	2.11762093159149	1.90389390280999	2.69743021612887	3.47664385783809	0.734822538088506	-0.0163695388498761	2.35380095576834	4.58799170049451	4.94236780236115	5.49308953850006	1.7763568971296	-0.0163695388498787
miR-99a-5p	11.6733687371596	11.7756912944304	12.2323777103912	12.3487807464399	12.7654264109904	12.6763245285225	12.5521028196424	12.7428463211032	12.5304848255518	11.9752300843679	12.7092062467815	11.6802022501878	11.4237558536882
miR-99a-3p	0.576177030956684	-0.0163695388498787	3.39242905505806	2.33692962951334	-0.0163695388498761	2.12634293656321	3.42819489658443	3.20705989048033	2.98317347092319	-0.0163695388498787	-0.0163695388498787	-0.0163695388498761	1.79008328806807
miR-92a-3p	17.923537012667	17.974338212017	17.2944626727239	17.4772198662581	17.0282678240013	16.5749137564952	16.6014727038876	17.4025313708248	17.3887178069223	15.9855020230977	17.4676723833221	16.8358785207135	16.0166290227609
miR-92a-2-5p	5.0930662900913	7.33093305661341	6.32353753299951	6.18858621375389	5.64428006084189	6.11294413510235	6.35787207603534	6.5822117236948	6.8900031235628	7.85248865301274	6.73089738983104	6.91164337113324	7.84965152140907
miR-92a-1-5p	7.86725441412801	7.99813475618306	7.90111673834421	7.73477838458337	7.12529864649719	6.59851683810252	7.37581264534439	8.7395176385538	9.08464715218444	9.72471905325848	8.66968716373573	8.77613422010575	9.84500608481275
miR-9-5p	2.46160683571372	3.92891225879238	5.39372221656995	4.56661809957837	5.23332514430192	4.29015036534694	5.06928533162485	-0.0163695388498787	5.69277640472341	5.82113044085613	4.17944901741043	5.60014879875513	7.14728310248905
miR-9-1/3/5/6-3p	2.0006388930549	3.76077348299601	5.01250178311972	3.91567472474559	5.54329761371473	3.28834293754596	4.32952487327253	3.29626107759902	-0.0163695388498761	3.68840193840098	3.97011796305763	2.69414562667527	6.64059136398379
miR-8159-5p	5.11413748244462	-0.0163695388498787	2.58377981132163	2.64326119064481	3.47664385783809	3.75328440280035	3.24198788247502	6.22136019319685	2.48570069723791	5.44764776188367	1.78070164470386	3.78475025900348	5.15232747220202
miR-737-5p	6.87643686716704	7.14703406865735	7.79454430044504	6.96355878059885	7.24803438881756	8.59122984532188	8.60030474447498	5.53423089074037	6.91778619704601	4.15798734004436	7.48892782994482	7.3436938951305	4.81530172183591
