Gene	D12_M_MPP	D13_M_MPP	D20_M_MPP	D47_M_MPP	D61_M_MPP	D27_G_F	D28_G_F	D29_G_F	D31_G_F	D35_G_F	D36_G_F	D38_G_F	D41_G_F	D44_G_F
a103_gac-miR-ENSGACG00000022167-5p	0	21.4571399849642	54.8551150052413	61.3216887457471	141.979542491157	21.1237312523377	155.517868355004	139.826260229647	198.558961834789	181.603194775846	154.926875929943	26.1550621742756	42.2080111117386	154.103274599998
a109_gac-miR-ENSGACG00000022167-3p	0	3.57618999749403	5.77422263213067	0	146.559527732807	12.425724266081	13.3301030018575	8.87785779235857	58.9659947266948	24.2137593034461	26.7981623230172	1.18886646246707	4.01981058207034	8.4056331599999
a10_gac-miR-99a-5p	9473.00442567122	10891.8826690343	10882.2443280793	15886.6099033607	7531.7857298938	13614.866078345	21755.8389409482	21175.9102992233	44167.9368255893	28091.4199004695	23373.0222011065	41830.8609151351	9076.73229431483	14429.6702579998
a57_gac-miR-99a-3p	0	3.57618999749403	0	0	0	12.425724266081	12.219261085036	23.3043767049412	45.7287306043755	15.565988123644	0.837442572594287	39.2325932614133	0	4.20281657999995
a165_gac-miR-92a-3p	1296562.38907459	970487.964538275	822169.907254215	404876.449943796	798108.228209969	912828.496614257	544405.849963526	702135.346278727	503994.390805535	632606.946007598	659802.579210442	435120.964230329	856188.165464757	740296.720850931
a44_gac-miR-92a-2-5p	1016.08437581173	53.0468182961614	162.400011528675	215.239127497572	358.38384515913	214.965029803202	404.34645772301	617.01111656892	210.592838309624	394.33836579898	250.395329205692	185.463168144863	522.575375669145	291.395282879997
a181_gac-miR-9-5p	0	72.1198316161295	116.20623047163	23.9154586108414	146.559527732807	95.6780768488239	57.7637796747157	35.5114311694343	376.660333662356	124.527904989152	160.788973938103	151.580473964552	58.28725344002	151.301396879998
a46_gac-miR-9-1/3/5/6-3p	0	3.57618999749403	23.818668357539	20.849374173554	0	0	2.22168383364291	27.7433056011205	32.4914664820563	10.3773254157626	32.6602603311772	35.0715606427786	26.7987372138023	28.0187771999997
a167_gac-miR-8159-5p	0	10.1325383262331	53.4115593472087	7.97181953694713	228.999262082511	24.8514485321621	287.708056456757	13.3167866885379	178.101371827568	257.703581158105	112.217304727634	48.1490917299164	197.640686951792	89.6600870399989
a125_gac-miR-737-5p	5200.28664208543	1333.32283739902	3586.51403238216	1766.67785276498	407.61868650687	1524.63636744814	1936.1974610198	2567.92036643972	1370.65853048378	1625.78098180281	1151.48353731714	791.190630771836	3075.82506371416	906.407442419989
a177_gac-miR-730-5p	0	59.0071349586514	98.1617847462213	253.258574519936	266.784140326126	93.1929319956077	219.946699530648	229.714570377278	90.2540735612675	145.282555820677	175.025497672206	138.502942877414	64.3169693131255	252.168994799997
