Gene	B9_F	B31_F	B27_F	O25_F	O32_F	O55_F	O59_F	O63_F	T9_F	T26_F	T31_F	T32_F	T13_F	T23_F	B11_M	B14_M	B17_M	B19_M	O49_M	O51_M	O29_M	O33_M	O38_M	O39_M	O46_M	O53_M	T1_M	T3_M	T12_M
miR-140-3p	1.48267816295204	0	-0.00151964958539352	-0.129208775763308	-0.427048115304601	-0.869433060790692	-1.84311467468787	-0.508536442890655	-2.97687769205915	0.745860899341706	0.53191770892451	0.842556581136007	0.750377398158381	0.76335343850322	2.14444647808597	0.849694217995593	0.371821096904158	0.408316215634565	-0.799533088386207	-0.417555584629275	-0.774002604676173	-0.368099725191959	-2.26001880230296	-1.81118746619675	-1.6407654442812	0.163275358482982	0.269469874859084	0.102616688089334	0.357793054931397
miR-139-5p	-0.301475955784615	0.258744556482007	-0.926672103134353	0	2.25477952743853	-0.286629870199851	-2.04660295986422	-0.8037565849287	1.73168423874832	0.670061876297842	0.607856485235255	-0.611179602284553	1.23349906649294	-0.126143301636189	-0.307621969274916	-0.845483494126801	0.609901366148851	-0.245125443904353	0.268361674781472	0.428049366880883	-0.0630742222816938	0.290937776473678	1.04945935924178	0.324025923931504	0.683365033748329	-0.52380101324695	0.699270667134197	-0.769845206871474	-4.30365538406976
miR-1388-3p	1.3023230323173	0	-0.613387859003106	-1.24171972721794	-0.918129680715042	0.622569736508557	0.352136117619482	-2.02420213048379	2.20680178867488	2.27534031181971	2.63858343616676	2.79192066758736	1.98164311005133	0.208183677507941	-1.21684703259795	-0.92314378581756	-2.34594124327958	-1.74002945251842	-0.482739150839851	-1.32572947111078	-0.667715335486145	-0.254039923620422	-2.36280607143103	0.195228179794732	-0.394188528870696	0.452056593466886	2.22285041519277	1.19021588793918	1.21881098431477
miR-135a-1-5p	-0.947400313044096	0	-0.947400313044096	3.35298798253174	1.62654293285712	1.09587304169036	4.87911875609046	-0.947400313044098	-0.947400313044098	-0.947400313044098	-0.947400313044096	-0.947400313044096	-0.947400313044096	-0.947400313044096	1.83290344132034	0.23342851936876	2.2811451258692	-0.679645630289285	2.30469167711663	-0.947400313044096	4.53010801503417	3.51596555420829	5.07110378711432	4.18285745227181	3.58527890768795	3.24968879253743	-0.947400313044096	-0.947400313044096	-0.947400313044096
miR-133b-3p	4.32529528071172	0.00776231297697283	3.30768064403572	-0.522021695711806	-1.11558175525853	-3.06728368913151	3.44659064134166	0.143143684484274	-3.06728368913151	-3.06728368913151	1.89765495370535	-3.06728368913151	-3.06728368913151	2.52741245736332	4.84257800484017	4.95572643063698	3.54439737159296	3.45875213470604	-0.326361556828588	-3.06728368913151	1.04046824668735	-3.06728368913151	-3.06728368913151	1.28089996971466	0	0.843340130305639	-3.06728368913151	-3.06728368913151	-3.06728368913151
miR-133a-5p	2.27295407208751	0	1.83889944214388	-0.349668479748044	-1.63724314206456	-4.14658217615125	-4.14658217615125	-4.14658217615125	2.92513825737348	1.97477960479921	-0.456226224129493	2.76454792740167	-4.14658217615125	3.22419692012754	2.65624344493743	2.40999488640524	3.4427272276753	2.72424703562388	-4.14658217615125	-4.14658217615125	0.339377958700282	-4.14658217615125	-4.14658217615125	-1.39001797646752	-0.168031946171903	-4.14658217615125	3.45070002015706	4.04380951196581	3.87283357489669
miR-133a-3p_gac-miR-133b-3p	7.63226555446052	3.89974789201821	5.14960748598338	0	0	0	0	-2.55351295663786e-15	3.86254257229653	-2.55351295663786e-15	0	0	4.01754114109933	4.55677808952986	7.38220593231387	7.1525716951903	5.94537700733411	6.56384581739049	0	0	0	-2.55351295663786e-15	-2.55351295663786e-15	0	0	0	0	0	0
miR-133a-3p	2.83717259666784	1.16951092657852	3.05877175652005	0	-2.49056342349259	-1.56879189778823	-1.6442185131678	-0.854792037894006	0.130593127360465	-3.11547678442225	-2.04838329141186	0.339221423272127	-0.391056973038578	1.04086889084969	3.79481014085824	3.8637776842784	3.25184525403086	2.45473522683661	-2.27892935891199	-2.08981106556374	0.100029256708003	-1.00897438146229	-4.31287212515941	0.11137054137906	0.00384122064060399	-0.776365806203174	-0.0473814352781829	1.91042573287614	-0.0841394361250583
miR-130c-3p	0	0	0	1.3853650086761	1.03070359167914	5.65119566315207	0	-2.55351295663786e-15	5.08309558952172	-2.55351295663786e-15	6.85953119654459	2.2417749004094	5.13710923345234	0	0.666299381614181	0	1.74179178013955	3.16243132165145	0	0	1.68466160532582	2.79494012890643	5.08001289832568	0	0	0	6.84462131064101	0	0
miR-130c-2-5p	1.04060275306736	-0.716070031065755	1.07321711112628	-1.24585403975453	-1.49500332676331	1.63416945506024	-0.949554034759242	-3.79111603317424	3.52793072967338	3.4144600030899	2.41204986886108	3.0745970122215	3.50126248368335	0.458977690804668	1.10432483773997	1.49473353817173	0.952481412471998	0.627968715229053	-0.0354865710479477	-3.79111603317423	-2.48285230601397	-0.443445671472515	1.43662845235467	-3.79111603317423	-0.436745498183534	-3.79111603317423	-0.576078278538745	0	-3.79111603317423
miR-130b-5p	0.259924090832078	0.369259694121283	0.329710979044862	-1.51791338564273	-2.25331545189528	0.155088171670464	-1.3473147883898	-0.784533369970973	0.786518562256164	0.821541843433508	0.0172827494251404	0	0.595444520568963	-0.135604073759721	0.592035023903135	0.93386862463036	0.45155690410262	0.500867133206979	-1.39549807578795	-0.808297956859283	-1.96561466459696	-1.29583494782561	-0.433006250079064	-1.22633225085525	-1.05784621095708	-1.19115741686326	-0.0692195497882118	1.94143246148105	0.0085451989166323
miR-130b-3p	0.0294935737883095	0.059867545337231	0.898582423432309	-1.77371357282007	-1.34324311824512	-2.17695520863931	2.95894870304884	-2.17695520863931	-2.17695520863931	3.90972874203954	3.03381271821491	2.11942362602286	0.92702282463957	5.19382388763948	0	-0.996126376226454	1.10224170966534	2.43494036154679	-2.17695520863931	-2.17695520863931	-2.17695520863931	-0.517027083520737	-2.17695520863931	-2.17695520863931	-2.17695520863931	-2.17695520863931	0.673925354114546	3.27626607455905	4.84801004806777
