Gene	D25_M_I	D45_M_I	D53_M_I	D56_M_I	D27_G_F	D28_G_F	D29_G_F	D31_G_F	D35_G_F	D36_G_F	D38_G_F	D41_G_F	D44_G_F
a103_gac-miR-ENSGACG00000022167-5p	0	503.792858835447	64.7164263079234	100.586926514348	20.5250733961035	166.642812222836	150.240118453109	202.321612822295	184.058978942002	158.754513981316	27.748059630358	46.1667885665143	165.954506712078
a109_gac-miR-ENSGACG00000022167-3p	0	17.3406962280317	28.6887250643372	14.9810316085199	12.0735725859432	14.2836696191002	9.53905513987997	60.0833880502573	24.541197192267	27.4602402562275	1.26127543774355	4.39683700633469	9.05206400247701
a10_gac-miR-99a-5p	20642.2032792626	15493.455745635	16504.0230678258	39546.7132254336	13229.013482418	23312.1391241732	22753.0312723987	45004.9100328284	28471.2946283429	23950.4782984785	44378.6069147255	9928.05796030373	15539.3765375855
a57_gac-miR-99a-3p	0	1.82533644505597	0	13.9109579221971	12.0735725859432	13.0933638175085	25.0400197421849	46.595280528771	15.7764839093145	0.858132508007111	41.622089445537	0	4.5260320012385
a244_gac-miR-96-5p	0	0	0	11.7708105495514	2.41471451718865	0	0	1.22619159286239	0	0	0	24.9154097025632	0
a165_gac-miR-92a-3p	1358762.01210439	1041488.60413314	569666.676165322	379828.540365571	886958.448166631	583349.828467259	754428.370048504	513544.979581478	641161.564902511	676103.724143627	461622.395750106	936491.840459406	797228.854794154
a44_gac-miR-92a-2-5p	519.89033857763	123.210210041278	322.247772234299	270.19360579652	208.872805736818	433.271311779373	662.964332221658	214.583528750919	399.670925702634	256.581619894126	196.758968287993	571.58881082351	313.804885419203
a181_gac-miR-9-5p	0	105.869513813246	119.425157825962	19.2613263538113	92.9665089117629	61.8959016827676	38.1562205595199	383.797968565929	126.211871274516	164.761441537365	160.812618312302	63.754136591853	162.937152044586
a46_gac-miR-9-1/3/5/6-3p	0	28.2927148983675	0	36.382505334977	0	2.38061160318337	29.8095473121249	33.1071730072846	10.517655939543	33.4671678122773	37.2076254134346	29.3122467088979	30.1735466749234
a167_gac-miR-8159-5p	0	20.0787008956156	23.3512878430652	50.293463257174	24.1471451718865	308.289202612246	14.30858270982	181.476355743634	261.188455831984	114.989756072953	51.0816552286136	216.177819478122	96.5553493597548
a125_gac-miR-737-5p	5074.71412457041	1702.12623501469	484.372427830437	1118.76203905054	1481.42735629524	2074.70301217431	2759.17169921028	1396.63222427027	1647.76609719507	1179.93219850978	839.37880381833	3364.31311601376	976.114234933771
a127_gac-miR-734-3p	0	0	27.3543657590192	0	0	4.76122320636674	0	0	0	0	7.56765262646128	0	0
a177_gac-miR-730-5p	0	50.1967522390391	705.876072513227	89.3511528079581	90.5517943945743	235.680548715154	246.823051744394	91.9643694646795	147.247183153602	179.349694173486	146.938588497123	70.3493921013551	271.56192007431
a168_gac-miR-727b-5p	0	6.38867755769588	0	21.401473726457	0	0	56.0419489467948	31.8809814144222	14.023541252724	0.858132508007111	8.82892806420482	3.66403083861224	0
a124_gac-miR-727b-3p	0	11.8646868928638	60.0461687393104	84.5358212195053	1.20735725859432	51.1831494684425	47.6952756993998	33.1071730072846	19.2823692224955	46.339155432384	83.8748166099458	0.732806167722448	24.1388373399387
a232_gac-miR-725-3p	65.7472559325341	1164.56465194571	34.0261622856092	307.64618481782	2610.30639308093	39.2800914525256	127.584862495895	1253.16780790537	401.423868359224	429.924386511563	1238.57247986416	4729.53100648068	162.937152044586
a223_gac-miR-724-5p	0	61.1487709093749	534.410901779863	113.962847593384	610.922772848728	117.840274357577	417.333662369749	541.976684045178	147.247183153602	413.619868859427	488.113594406752	1072.82822954566	1623.33681111088
a248_gac-miR-722-3p	527.195589236801	16.4280280055037	52.7071925600614	130.548989731388	33.8060032406411	261.867276350171	129.969626280865	133.654883622001	61.3529929806675	250.574692338076	75.6765262646128	62.2885242564081	279.105306743041
a217_gac-miR-7147-5p	0	0	128.765672963188	10.7007368632285	9.65885806875459	33.3285624445672	0	2.45238318572479	0	10.2975900960853	2.52255087548709	0	3.01735466749234
a156_gac-miR-7133-3p	647.732225113113	402.486686134841	471.028834777257	50.293463257174	1227.88233199043	214.255044286503	863.284490159137	122.619159286239	643.329954968713	630.727393385226	250.993812110966	356.14379751311	698.517605524476
a99_gac-miR-7132b-5p	1571.84643349818	593.234344643189	148.781062542958	259.492868933292	1651.66472975704	254.725441540621	937.212167493207	711.191123860188	1842.34273207662	826.381605210848	548.654815418443	468.995947342367	736.23453886813
a98_gac-miR-7132a-5p_gac-miR-7132b-5p	51.1367546141932	229.079723854524	31.3574436749732	181.912526674885	596.434485745596	104.746910540068	284.979272303914	191.285888486533	811.612450001401	335.52981063078	194.867055131378	279.931956069975	259.492501404341
a100_gac-miR-7132a-5p	546.676257661255	81.2274718049905	0	72.7650106699539	268.03331140794	41.660703055709	237.283996604514	224.393061493818	455.76509071353	165.619574045372	73.7846131079975	105.524088152033	178.023925382048
a202_gac-miR-7-5p	81.5752990274034	344.07591989305	250.859549399786	275.543974228134	383.939608232995	134.50455557986	245.630669851909	557.917174752389	173.541323002459	171.626501601422	99.0101218628684	187.598378936947	270.053242740564
a105_gac-miR-551a-3p	2439.95372016293	3342.19103089748	20122.8055038482	750.656690955481	3433.72404344226	6654.99973669911	9695.2571677955	772.500703503308	1705.61320486256	4351.58994810406	1403.1689244897	2038.66675860385	5914.01514828498
