Gene	D25_M_I	D45_M_I	D53_M_I	D56_M_I	D27_G_F	D28_G_F	D29_G_F	D31_G_F	D35_G_F	D36_G_F	D38_G_F	D41_G_F	D44_G_F
a13_gac-miR-22a-3p	58402	93148	170826	232246	35130	68791	73495	104895	66388	155545	237791	129189	106072
a219_gac-miR-223-5p	846	1065	605	969	1152	350	447	792	801	843	1754	2641	768
a173_gac-miR-223-3p	42046	32496	16318	48381	71416	16901	33812	32267	39008	36222	105419	106510	22038
a201_gac-miR-222c-5p	0	110	302	105	54	46	46	21	18	125	123	115	47
a200_gac-miR-222a-5p	0	321	1330	516	140	68	32	34	46	160	115	61	108
a39_gac-miR-222-3p	4455	6702	19355	17788	4013	5997	6348	4704	3386	9843	8494	8002	4957
a25_gac-miR-221a-5p	92	27	23	18	7	40	2	20	0	4	1	0	0
a40_gac-miR-221-3p	4986	2890	9827	9014	3599	5556	5590	3526	1882	7798	6165	6654	3068
a77_gac-miR-21a-3p	0	15	220	19	11	5	0	5	10	14	0	32	4
a238_gac-miR-218b-5p	0	0	0	0	0	1	0	0	0	0	0	0	0
a237_gac-miR-218a-2-5p_gac-miR-218b-5p	0	30	0	28	19	0	0	1	4	4	12	0	9
a239_gac-miR-218a-2-5p	0	976	1690	986	303	244	254	795	110	407	405	145	272
a15_gac-miR-2188-5p	30700	28765	15305	58496	35686	30548	38235	31969	10481	21453	69073	46500	8249
a108_gac-miR-2188-3p	27286	69399	40781	147401	59560	76469	78741	79053	28203	66658	178443	154404	27285
a137_gac-miR-2187a-5p	0	0	0	0	0	0	0	0	0	0	0	0	4
a5_gac-miR-2184-5p	0	145	418	618	68	50	82	147	89	159	294	115	76
a142_gac-miR-217a-5p	0	16	52	75	11	36	25	88	33	59	39	40	36
a135_gac-miR-216b-5p	0	0	58	24	7	7	15	2	0	3	5	0	7
a58_gac-miR-214a-3p	3008	4392	24688	30618	2938	8852	7702	7734	7109	5627	14956	7049	3926
a27_gac-miR-212b-5p	0	10	0	0	0	0	0	16	0	0	20	0	2
a26_gac-miR-212a-5p	2	80	24	176	39	73	44	107	17	104	146	0	56
a38_gac-miR-210-5p	1712	2396	4702	5000	2037	2374	2227	2124	1191	3605	4388	3210	2266
a94_gac-miR-210-3p	80	381	1074	530	683	250	379	203	143	540	563	387	212
a52_gac-miR-21-5p	105271	198541	370960	501207	157103	117849	133790	157583	148233	227448	329855	366226	131629
a56_gac-miR-20b-5p	0	0	37	0	3	0	0	0	0	1	0	0	2
a126_gac-miR-20a-5p	279	281	250	218	400	197	125	92	64	281	263	215	105
a203_gac-miR-206-1-3p	3563	738	1445	177508	2566	33001	14571	91455	2536	120134	92268	30863	20393
a240_gac-miR-205-1a-3p	123	92	38	66	63	8	51	88	29	40	148	288	49
a178_gac-miR-205-1-5p	10888	19924	3218	8153	20050	2657	4607	8402	3558	11247	29948	55127	5353
a101_gac-miR-204-2b-3p	0	12	0	29	0	16	30	10	13	10	26	34	25
a233_gac-miR-204-1/2b-5p	5945	7497	1772	16638	3258	1166	3456	5338	2717	11975	13166	10405	9844
a234_gac-miR-202-5p	0	237	0	8	17	0	2	48	4	22	31	0	43
a67_gac-miR-200b-5p	0	44	0	48	20	0	0	22	1	12	2	44	10
a133_gac-miR-200b-3p	8167	11193	2905	3860	6678	1260	1007	5325	2027	2244	4776	31823	2417
a128_gac-miR-200a-3p	519	1739	173	552	1155	81	84	905	211	276	607	2043	358
a221_gac-miR-19c-3p	0	0	0	0	2	0	0	5	0	2	9	7	0
a220_gac-miR-19b-3p	734	295	348	226	636	425	423	40	68	414	397	817	114
a157_gac-miR-19b-2-5p	186	90	124	46	55	103	138	55	52	67	100	308	25
a106_gac-miR-19a-1-5p	0	0	48	0	3	0	0	0	0	0	0	0	0
a222_gac-miR-19a-1-3p	156	88	89	117	98	37	16	3	12	50	37	391	26
a72_gac-miR-199-5p	4224	7695	35275	45158	7452	9044	10038	8204	7879	10033	22478	4661	5287
a20_gac-miR-199-3p	13598	24518	71740	94222	14825	44853	29720	40640	31774	35960	87705	32608	29109
a153_gac-miR-196d-5p	0	27	0	300	8	79	44	120	35	88	305	28	79
a69_gac-miR-196d-3p	208	106	0	832	59	189	135	323	136	234	793	228	136
a154_gac-miR-196a-5p	87	446	46	1315	100	701	443	1196	291	614	900	546	116
a216_gac-miR-194b-5p	0	0	77	0	11	2	2	3	17	0	6	15	2
a215_gac-miR-194a-5p	1722	149	1224	973	277	1736	778	984	441	1066	225	372	1254
a71_gac-miR-194a-3p	0	0	0	0	1	13	0	30	5	8	0	15	1
a207_gac-miR-193a-2-5p	265	425	1123	1922	406	950	1537	1687	618	1134	4295	950	339
a195_gac-miR-190b-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
a86_gac-miR-190a-3p	0	11	0	0	0	0	0	0	0	0	0	0	0
a131_gac-miR-18c-5p	86	38	134	24	209	33	27	68	44	104	88	52	51
a130_gac-miR-18a/b-5p	0	122	72	26	126	17	53	38	32	40	138	112	37
a32_gac-miR-18a-3p	349	140	77	184	166	115	131	50	78	129	125	406	73
a76_gac-miR-184-5p	0	9	0	0	12	0	0	12	0	0	0	0	0
a204_gac-miR-184-3p	1247	5315	710	2042	2532	256	363	3256	1462	698	2944	17537	291
a159_gac-miR-183-5p	0	458	216	308	395	67	91	460	91	276	599	382	244
a243_gac-miR-182b-5p	0	21	0	21	22	0	0	9	0	14	12	10	6
a241_gac-miR-182a-5p_gac-miR-182b-5p	0	12	0	0	13	4	0	6	7	18	2	0	4
a242_gac-miR-182a-5p	0	132	0	83	78	20	8	97	36	42	206	233	73
a87_gac-miR-181b-3-3p	0	0	0	0	7	0	0	0	0	0	0	0	3
a8_gac-miR-181b-2/3-5p_gac-miR-181c-5p	500	1423	5013	2727	1023	1809	1903	1725	839	2368	3292	1801	1860
a88_gac-miR-181b-2-3p	0	0	0	0	0	0	0	21	0	2	0	0	0
a7_gac-miR-181b-1-5p	136	798	1937	1798	582	540	535	585	365	650	910	984	467
a6_gac-miR-181a-5p	7179	17734	44452	35542	16089	12194	13413	13529	7193	17695	26996	14290	13597
a23_gac-miR-181a-3-3p	363	538	745	942	368	310	394	472	293	598	966	738	358
a21_gac-miR-181a-2-3p_gac-miR-181a-3-3p	0	61	45	60	40	105	75	61	44	188	189	155	61
a22_gac-miR-181a-2-3p	266	1896	8753	2049	702	1223	993	847	663	3106	2600	1592	1703
a24_gac-miR-181a-1-3p	129	194	307	190	229	71	117	109	54	234	345	213	102
a2_gac-miR-17a-5p	0	139	418	123	105	36	78	58	79	164	181	170	66
a31_gac-miR-17a-1-3p	0	0	0	0	4	12	13	6	0	3	12	0	0
a115_gac-miR-1788-5p	0	0	0	0	0	0	0	0	0	0	0	31	0
a150_gac-miR-16c-5p	156894	208579	182438	316702	244875	158362	210284	128152	82089	190396	279133	377826	125561
a149_gac-miR-16a-5p_gac-miR-16c-5p	5117	9724	7061	16787	11388	8931	7133	6971	4557	8629	14792	13817	5425
a151_gac-miR-16a-5p	8480	8993	9838	14493	9059	4663	5068	5039	3134	6403	7045	11721	4324
a152_gac-miR-15c-5p	94873	72341	107995	137032	105889	74467	101621	48799	46996	94455	111205	179681	57189
a147_gac-miR-15b-1-5p	223	276	429	1009	696	296	169	218	88	240	685	279	106
a148_gac-miR-15a-2-5p	30838	37002	30326	44975	56312	29705	39143	30538	20874	37537	62530	57125	24202
a225_gac-miR-155-5p	385	739	1826	803	704	165	328	286	321	1075	665	414	423
a235_gac-miR-153c-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
a16_gac-miR-152a-5p	303	816	854	1483	549	413	415	440	399	710	1173	966	376
a169_gac-miR-152a-3p	593	889	1043	570	792	656	529	633	581	583	1057	986	507
a29_gac-miR-150-5p	15440	3393	2816	5463	4491	7931	3117	2848	2747	4688	4248	7173	5554
a78_gac-miR-150-3p	0	16	51	44	11	22	9	7	3	5	8	0	14
a170_gac-miR-148a-3p	927	523	1533	977	474	868	454	590	330	845	784	962	584
a183_gac-miR-146a-5p	9469	50753	143706	49696	17306	15515	13237	15192	9754	40792	24951	22793	39473
a53_gac-miR-146a-3p	693	584	3760	967	414	390	566	327	156	725	575	721	473
a121_gac-miR-145-5p	1237	2748	7207	6207	2672	6666	2246	1821	1890	5626	5075	3107	2019
a113_gac-miR-145-3p	1012	2772	3661	2981	1415	4019	1499	1517	1627	3549	2730	3100	2679
a48_gac-miR-144-5p	5260	13464	10589	18145	8745	3407	5218	3344	1776	5155	4330	21062	3323
a80_gac-miR-144-3p	1219	739	1668	1548	667	208	175	210	111	137	222	344	141
a120_gac-miR-143-5p	0	7	0	43	46	38	16	1	0	41	90	111	31
a55_gac-miR-143-3p	8631	41753	226881	82237	23691	47936	17451	18360	21069	84307	68504	35801	43884
a66_gac-miR-142-5p	449	679	2200	799	741	136	128	160	378	454	311	308	262
a218_gac-miR-142-3p	568	206	473	250	490	82	98	53	156	169	222	228	127
a65_gac-miR-140-5p	0	237	411	544	185	60	132	39	68	151	248	289	51
a139_gac-miR-140-3p	1860	16070	16201	18873	9831	4520	5366	6377	2922	7542	14542	10719	3222
a180_gac-miR-139-5p	1344	1765	1340	1394	933	1025	1471	1137	1458	1052	1728	2005	807
a54_gac-miR-1388-3p	954	734	2428	578	1074	289	647	179	400	1473	1015	423	635
a160_gac-miR-135c-5p	135	3	173	23	49	15	20	16	1	20	22	67	24
a162_gac-miR-135b-5p	0	20	0	18	5	15	0	6	0	2	14	0	0
a163_gac-miR-135a-2-5p	0	7	14	51	0	0	0	0	0	0	0	0	0
a161_gac-miR-135a-1-5p	0	4	0	9	4	14	0	0	0	9	53	0	0
a246_gac-miR-133b-3p	47	0	0	435	4	7	19	238	0	436	512	57	30
a41_gac-miR-133a-5p	0	0	51	200	40	41	41	261	4	187	424	102	23
a245_gac-miR-133a-3p_gac-miR-133b-3p	2	0	0	612	3	38	15	200	5	508	878	108	36
a236_gac-miR-133a-3p	1480	275	918	99934	3024	7211	6651	46906	423	54975	102348	12615	6777
a64_gac-miR-130c-3p	71	57	71	69	25	19	15	10	9	4	39	20	15
a104_gac-miR-130c-2-5p	55	47	95	339	116	71	90	93	63	73	199	400	123
a30_gac-miR-130b-5p	2920	5100	7600	11307	5296	3574	4648	2973	3976	3910	10311	15267	4783
a62_gac-miR-130b-3p	135	80	188	178	54	11	16	35	20	27	79	95	38
a70_gac-miR-1306-5p	1288	175	179	316	152	252	395	73	80	79	162	453	66
a12_gac-miR-129-1b/2-3p	0	0	0	14	0	0	7	5	0	17	34	0	0
a96_gac-miR-129-1a/2-5p	0	60	0	98	16	13	0	180	0	54	47	0	13
a117_gac-miR-128-2-5p	0	0	0	6	2	5	0	0	0	1	5	0	4
a166_gac-miR-128-2-3p	36035	28827	24190	43297	26521	31270	44253	21746	17784	32018	42508	77761	17165
a68_gac-miR-126b-5p	2378	4705	3597	5727	1984	3269	4648	2892	1688	4727	6232	2926	1423
a179_gac-miR-126b-3p	51250	204115	173360	272683	40704	53394	65184	43984	50942	99858	91762	71468	43003
a175_gac-miR-125b-2/3-5p	55336	99803	121223	255487	39575	108705	96676	132493	68575	119653	239876	110018	47230
a28_gac-miR-125b-2-3p	455	80	94	563	12	156	116	155	132	97	153	138	45
a176_gac-miR-125a-5p	50524	124474	165819	196440	40737	59557	58474	65913	41834	64424	94793	76476	55987
a61_gac-miR-125a-1-3p_gac-miR-125a-2-3p	18	59	191	196	26	66	12	80	45	99	133	31	22
a129_gac-miR-124-3p	0	12	0	0	0	14	0	21	0	18	3	26	4
a123_gac-miR-122-5p	603411	3325	47689	17015	3486	617165	235841	287013	94073	215550	87567	92594	283633
a11_gac-miR-122-3p	1375	61	523	252	61	1637	500	1065	232	1146	415	112	881
a141_gac-miR-10c-5p	1911	11200	47287	2857	4608	7631	10061	2587	3404	17351	10284	7460	7037
a140_gac-miR-10b-5p	8811	49398	62643	70206	10033	35508	17734	28762	22659	48637	66923	32211	16552
a132_gac-miR-10545-5p	0	8	53	1	0	8	43	19	3	23	14	23	2
a90_gac-miR-10545-3p	0	26	66	107	5	35	27	14	19	17	22	35	16
a37_gac-miR-103-3p	1606	1929	4280	2129	2845	2274	3082	1432	1229	2970	5445	4616	1077
a172_gac-miR-101b-5p	2620	1062	1011	1703	1240	2010	2176	1477	722	1728	2591	2043	749
a19_gac-miR-101b-3p	0	108	28	47	84	35	10	37	39	46	48	79	43
a171_gac-miR-101a-5p	0	0	0	8	0	0	0	0	0	0	6	0	0
a138_gac-miR-101a-3p	4562	10195	9578	8571	8739	5663	5132	4791	4277	7629	12498	16406	2817
a9_gac-miR-100-2-5p	19828	101657	251180	181285	44415	86760	72395	134722	59105	165279	265075	86381	64755
a18_gac-miR-1-3p	3622	1484	3907	220340	4454	12870	10770	160941	2472	116461	130999	46318	31981
a194_gac-let-7j-5p	5525	9310	11295	14893	8559	6186	7735	7645	4360	10035	11017	13881	7786
a92_gac-let-7j-3p	237	196	201	501	234	77	153	86	115	261	319	348	128
a192_gac-let-7i-5p	624	1607	6452	4055	1549	1717	1804	2705	993	3877	4149	1497	2151
a184_gac-let-7h-1-5p	31074	12602	49419	33605	17700	28446	26825	22200	19775	31547	40803	51106	21372
a82_gac-let-7h-1-3p	2409	1227	613	1660	647	746	1190	671	481	780	1037	3367	536
a191_gac-let-7g-5p	75457	79249	76542	180699	104094	101917	132083	136896	52644	122840	186830	193838	77638
a84_gac-let-7g-1-3p	0	10	0	0	16	10	13	0	0	8	23	0	0
a186_gac-let-7f-5p	12311	14298	28120	23901	13164	13236	13490	17717	11845	27029	24674	28558	16538
a185_gac-let-7e-5p	74508	129626	304643	191602	135579	106073	119277	155175	107633	215288	252512	306157	171348
a83_gac-let-7e-1-3p	241	231	278	83	162	93	86	41	62	100	144	477	50
a193_gac-let-7d-5p	34434	25055	165762	88737	16271	59547	53887	50483	39787	43800	78371	64411	39780
a91_gac-let-7c-2/d-3p	231	251	104	378	22	43	96	95	57	134	178	204	33
a189_gac-let-7c-2-5p	34110	10979	62550	86964	9108	48106	42759	63182	40841	39856	85507	36991	27889
a190_gac-let-7b-5p	290373	48457	371933	371317	49355	371754	258049	163782	178414	132984	218227	304515	124872
a81_gac-let-7b-1-3p	11929	3419	3949	6699	1248	3018	3144	2445	1355	2917	3394	6114	1638
a187_gac-let-7a-5p_gac-let-7c-2-5p	1365	1928	2698	3621	1929	4017	2413	3313	2055	3717	7397	4069	2406
a188_gac-let-7a-5p	945921	534204	1239377	1272516	578961	1110439	1031757	1067004	746327	1150805	1548913	1962339	826059
a85_gac-let-7a-5-3p	451	582	194	651	586	261	374	360	303	492	730	1238	320
a93_gac-let-7a-4-3p	0	4	0	0	0	0	0	11	0	0	4	0	6
a158_gac-let-7a-3/7-3p	269	392	407	537	227	365	384	185	129	317	512	1098	160
a267_REV_gac-let-7b-5p_gac-let-7c-2-5p	1	0	0	1	0	6	0	0	2	0	28	8	2
a257_REV_gac-let-7f-3p	89	8	0	0	9	3	0	14	13	7	3	65	1
a266_REV_gac-let-7i-1-3p	0	0	0	6	0	0	0	0	0	0	0	0	3
a253_REV_gac-miR-103a-5p	0	9	0	0	8	5	0	4	1	6	15	7	2
a262_REV_gac-miR-10544-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
a252_REV_gac-miR-10c-3p	0	4	52	19	4	0	8	0	0	3	0	0	2
a260_REV_gac-miR-132-3p	0	9	59	79	19	70	43	13	19	83	109	38	26
a263_REV_gac-miR-135b-3p	0	0	0	12	4	0	0	0	0	2	0	0	0
a258_REV_gac-miR-153c-5p	0	0	24	18	0	0	0	0	0	0	0	0	0
a250_REV_gac-miR-181b-2/3-5p	0	8	192	76	20	38	64	52	16	55	59	32	24
a265_REV_gac-miR-183a-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
a268_REV_gac-miR-190a-5p	0	14	0	0	35	2	15	3	0	20	10	12	3
a261_REV_gac-miR-191-5p	43776	35494	23137	40320	37528	24636	41492	24295	38289	32276	65703	87779	38833
a251_REV_gac-miR-193a-2-3p	0	0	36	0	11	0	0	0	0	2	22	0	0
a269_REV_gac-miR-27b-3p_gac-miR-27c-1-3p	0	30	0	176	57	26	63	45	21	49	75	44	14
a264_REV_gac-miR-459-5p	0	0	107	0	7	0	0	4	0	0	0	0	0
a255_REV_gac-miR-460-3p	187	18	0	0	0	0	0	7	11	0	0	0	5
a249_REV_gac-miR-728a-5p	0	0	0	0	0	0	8	0	0	0	0	0	0
a256_REV_gac-miR-730-3p	0	11	49	8	4	21	19	0	11	21	0	0	0
a254_REV_gac-miR-7bb-3p	0	0	0	38	2	5	0	0	3	0	0	0	3
a259_REV_gac-miR-9-7-3p	0	0	0	23	1	0	0	1	0	0	10	0	0
