Gene	T9_Immature	T26_Immature	T31_Immature	T32_Immature	T13_Immature	T23_Immature	T1_Immature	T3_Immature	T12_Immature	T44_Mature	T47_Mature	T41_Mature	T43_Mature	T45_Mature	T63_Mature	T69_Mature
miR-489-3p	7.45928466266526	0.504102242364853	0.285278552405457	3.30919870525636	0.285278552405459	5.98097000696523	0.285278552405457	0.285278552405459	0.285278552405459	6.99758617559977	4.76040248713337	6.16358427904705	4.75244868565362	5.67697718997628	3.70641932500067	4.66853079081968
miR-460-5p	4.81277168052202	3.29296293402334	1.51776297585625	0.285278552405457	0.285278552405459	2.85061950523286	5.73513110391919	0.285278552405459	0.285278552405459	6.85506346421614	5.88456637113279	5.26475250348128	4.68002127383184	6.40013103347126	2.57356472455471	3.775241095555
miR-458-3p	0.285278552405459	0.285278552405459	0.285278552405457	0.285278552405457	2.74198609519184	0.285278552405459	0.285278552405457	0.285278552405459	0.285278552405459	0.285278552405457	4.03957515243731	3.92398702746912	0.909609206440867	3.79603990930691	1.84226087865314	3.8258824781904
miR-456-3p	7.40310069554664	7.61046818146196	6.56945264407185	5.8144872842765	6.78977970400518	7.50026262657471	6.65608599897352	8.22336660833194	7.21153439161692	5.79866822047853	6.02611928532391	4.7268257766424	5.77267271852117	6.34827728683342	6.58348041580605	6.28566478056838
miR-455-5p	5.12213417524448	0.285278552405459	5.11207554334527	5.38502906348265	2.74198609519184	7.07782837916117	2.50584256030418	0.285278552405459	1.54014789185563	0.285278552405457	5.59753938135527	6.37478455741078	6.71179138740299	6.59070303487593	6.17454091681898	5.84474126075514
miR-455-3p	6.41345063520027	4.37705128098555	5.0417775110102	3.97341175400098	0.285278552405459	7.38426769898157	0.285278552405457	0.285278552405459	7.62360329882297	6.97343651645874	7.12699627380257	6.22897448910431	7.80904020119876	7.58715689750644	5.10255819486249	5.77557404194823
miR-454b-3p	2.64613920854858	6.56725191153401	0.285278552405457	0.285278552405457	0.285278552405459	0.285278552405459	0.285278552405457	0.285278552405459	0.285278552405459	0.285278552405457	0.285278552405457	3.92398702746912	1.34393512304794	0.285278552405457	1.84226087865314	2.21494883561561
miR-451-5p	14.5976114280756	15.1462519860625	13.8881284953244	15.533515498546	15.0422786650381	15.9593291619646	14.6808857327845	14.3649914899338	15.0367777659956	14.476631943199	15.6890003070295	14.3433646391118	14.3735417846913	16.1136489869925	16.6244596882957	14.9767366327812
miR-429a-3p	7.15353907865468	5.43740060754505	5.93397719901192	4.60888827340239	3.60420988074718	6.74309323417788	5.26284701200963	4.42713331233699	7.48080146581897	5.19269365961831	4.58845343576171	5.10673099010596	6.77400656010759	4.5288230096428	6.17454091681898	5.26279251166852
miR-425-5p	12.2034918850039	11.5501390236857	12.2231177577941	11.7216110673211	12.8683783093706	11.1768452261589	12.3218325267078	12.3348650353797	11.5287643350949	11.00809898742	10.8589977868551	11.9199182726336	10.9996764608685	10.7908120415034	10.3078848530861	10.6711483686249
miR-375a-3p	12.9578847595068	11.1838219909566	9.76862946877703	10.4461300194407	10.4160567944472	10.8699705171146	10.8284534473575	12.2652009668614	10.8183496136219	11.3476780783747	10.2590555919705	11.2750484616446	10.997815426947	8.18578439224205	11.2977265667688	10.0082713426558
miR-365-2b-5p	7.79020738215637	4.10318255372435	4.90137541078524	5.16963171312831	0.285278552405459	3.20339726546589	2.84134202766078	6.77419304576164	5.83226640000993	0.285278552405457	4.39320182835174	3.20098824121078	4.75244868565362	4.92075366404978	0.285278552405459	4.62629545545043
miR-365-2b-3p	8.33171597288948	8.08358936716733	8.34331243041485	8.4469137823533	7.66998561673725	9.94296783282748	7.64734309559599	5.60205350073906	9.68066453564678	7.97860836018157	9.75580840073766	8.96902836866148	9.02755406211345	11.1168659146144	8.15616904161867	7.45412472765944
miR-338-3p	5.19011759693385	3.76484887578788	4.45262186022825	0.285278552405457	0.285278552405459	3.92654098152042	4.2527261036977	0.285278552405459	0.285278552405459	0.285278552405457	5.64220794110552	7.06794645661771	6.05632034006439	6.48261569040368	5.19867838964975	5.46004509013009
miR-338-1b-5p	0.285278552405459	0.285278552405459	3.53076036608074	0.285278552405457	5.30441882034319	0.285278552405459	0.285278552405457	5.26396833147919	0.285278552405459	3.80178887274205	3.74413001474674	4.49129392732747	1.94793155912111	0.55298272505897	5.19867838964975	2.05433011324638
miR-31a-5p	0.285278552405459	5.75252723077452	6.04081861940432	6.08467835425969	6.06336875713744	2.85061950523286	0.285278552405457	0.285278552405459	0.285278552405459	0.285278552405457	2.53270225923823	4.57415121490412	6.01275158113115	4.74475745639542	3.70641932500067	5.14806774948878
miR-30e-5p	8.74161768356043	9.17305204751661	8.5698462345356	7.95148719577949	7.6504750639078	8.3080049500014	6.83585841751186	8.72797696265034	9.13484995986807	7.91240355315579	8.85828923053476	8.60527298008707	9.03664655438758	7.97685117351418	9.70054388546155	8.66788759214718
miR-30e-3p	9.76486252170038	12.1759959868375	11.1750459858302	12.2288294234892	11.8403702459181	11.4566726079657	11.728426655835	11.906974803833	11.7280229756583	10.2428645856823	10.7837392499363	10.3415409154245	9.95761670976315	9.68110129646694	10.4242912474778	9.69539231103147
miR-30c-2-5p	9.81147364726412	11.9254537713554	10.5149407963737	10.3533043862422	11.3684179538979	10.3197144892351	10.6070083980782	11.4469205501054	11.4894587326705	11.5992028484915	11.3419555449718	11.357406702936	11.7624755571867	11.3589562035873	11.2024011289734	10.6987965647981
miR-30c-1-5p_gac-miR-30c-2-5p	4.72382660575384	4.72069525529509	1.83527349493963	5.48175718434096	4.96857842321873	3.20339726546589	1.43600199979723	3.88246505625689	2.65247235322932	6.72610272100488	5.40359980934441	2.55386045467149	5.60676201829776	5.92722100850044	5.97182988375758	5.4276204738489
miR-30c-1-5p	7.74571920815151	9.0300060454524	9.26051313313698	8.03355471454043	7.70823256534907	9.60455253709867	8.03859129521203	6.36449984534945	8.59412638651463	9.50798722150627	8.77549301874525	9.46598310371054	9.49549463444544	8.5974619060333	8.11980118557901	8.67394758886993
miR-30bb-5p	6.06080250134394	8.55481164166091	7.07091718930201	6.87199270447116	8.07312636748845	8.38762949904965	5.7748559371166	0.285278552405459	7.77595087395306	6.54131477965605	7.12699627380257	8.06137977344787	7.96195709403151	7.66340163758529	7.97801266760207	6.69959063192461
