Gene	C17_F	C19_F	C31_F	C13_M	C15_M	C20_M
miR-15a-2-5p	1653	5139	4441	2746	3156	2820
miR-155-5p	1512	3821	842	5504	2871	9813
miR-152a-5p	755	908	782	669	818	1166
miR-152a-3p	56	120	155	413	58	112
miR-150-5p	28434	7351	5031	18945	26686	72722
miR-150-3p	0	271	3	198	139	182
miR-148a-3p	152	36	109	586	309	273
miR-146a-5p	10628	18149	4157	9785	12548	17423
miR-146a-3p	360	950	114	116	565	595
miR-145-5p	306	306	264	804	121	463
miR-145-3p	116	293	102	500	130	675
miR-144-5p	342	995	1066	960	560	151
miR-144-3p	0	73	61	120	48	0
miR-143-5p	0	0	22	0	0	39
miR-143-3p	4765	34776	27387	10640	3035	5314
miR-142-5p	247	1892	1110	666	1050	321
miR-142-3p	0	0	116	394	817	303
miR-140-5p	77	0	0	0	0	66
miR-140-3p	1290	789	1027	1472	1005	819
miR-139-5p	59	246	73	155	97	90
miR-1388-3p	645	1304	1774	1232	1446	1484
miR-135c-5p	0	0	0	42	0	0
miR-133a-3p	250	549	94	209	153	331
miR-130c-3p	70	35	0	0	0	44
miR-130c-2-5p	74	170	60	90	29	0
miR-130b-5p	5971	14540	4771	6051	7959	10913
miR-130b-3p	0	59	0	0	0	0
miR-129-1b/2-3p	0	32	0	0	57	61
miR-129-1a/2-5p	239	1037	0	0	225	400
miR-128-2-3p	10903	20019	13154	18349	17061	26033
miR-126b-5p	175	477	139	625	147	125
miR-126b-3p	6171	18967	4173	20894	8151	8310
miR-125b-2/3-5p	21661	54177	22964	26779	14617	18869
miR-125b-2-3p	0	168	194	146	7	116
miR-125a-5p	10503	19676	7699	18075	7171	16079
miR-122-5p	63	788	958	1110	428	1363
miR-10c-5p	1841	1771	1619	2991	2314	2293
miR-10b-5p	16684	18459	19342	43020	18194	10481
miR-10545-5p	0	0	0	0	0	43
miR-10545-3p	0	29	35	0	126	125
miR-103-3p	864	518	417	884	1034	1495
miR-101b-5p	0	253	212	324	145	222
miR-101a-3p	1119	1230	967	1059	2084	1800
miR-100-2-5p	40494	83458	46174	57581	24756	44455
miR-1-3p	1665	61876	13010	3522	729	1388
let-7j-5p	1651	10058	4127	2782	3155	5500
let-7j-3p	0	98	19	95	55	0
let-7i-5p	0	1336	627	621	675	1375
let-7h-1-5p	19438	43637	14955	27221	28241	49384
let-7h-1-3p	100	460	137	353	412	422
let-7g-5p	25198	96084	42018	39170	37035	64982
