		B9_F	B31_F	B43_F	B54_F	B60_F	B27_F	C17_F	C19_F	C31_F	O25_F	O32_F	O55_F	O59_F	O63_F	T9_F	T26_F	T31_F	T32_F	T44_F	T47_F	T13_F	T23_F	B11_M	B14_M	B17_M	B19_M	B48_M	B49_M	B59_M	C13_M	C15_M	C20_M	O49_M	O51_M	O29_M	O33_M	O38_M	O39_M	O46_M	O53_M	T1_M	T3_M	T12_M	T41_M	T43_M	T45_M	T63_M	T69_M
nomCol	Gene	B9_F	B31_F	B43_F	B54_F	B60_F	B27_F	C17_F	C19_F	C31_F	O25_F	O32_F	O55_F	O59_F	O63_F	T9_F	T26_F	T31_F	T32_F	T44_F	T47_F	T13_F	T23_F	B11_M	B14_M	B17_M	B19_M	B48_M	B49_M	B59_M	C13_M	C15_M	C20_M	O49_M	O51_M	O29_M	O33_M	O38_M	O39_M	O46_M	O53_M	T1_M	T3_M	T12_M	T41_M	T43_M	T45_M	T63_M	T69_M
miR-221a-5p	miR-221a-5p	0	29	23	6	0	40	0	53	0	42	148	54	84	0	0	93	7	2	0	0	0	19	43	26	11	107	3	0	0	0	79	83	7	0	4	11	43	15	35	19	46	0	0	0	1	0	0	0
miR-221-3p	miR-221-3p	2067	658	1713	406	194	2817	2642	757	214	3842	16465	2861	7387	847	484	3582	1141	135	683	635	78	173	2191	1165	2379	2963	254	1037	202	2116	2739	3782	966	2997	1024	1932	755	2130	1114	2424	230	80	66	982	1399	2933	418	2339
miR-21a-3p	miR-21a-3p	3	0	12	16	11	18	0	0	0	0	0	0	0	0	35	504	144	16	8	4	19	102	0	6	2	0	8	46	13	93	67	35	0	0	0	0	0	0	0	0	0	0	5	74	7	26	8	67
miR-218b-5p	miR-218b-5p	8	6	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	4	1	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
miR-218a-2-5p_gac-miR-218b-5p	miR-218a-2-5p_gac-miR-218b-5p	0	0	3	0	0	35	0	0	0	28	3	0	0	0	0	0	214	8	0	8	0	0	24	4	2	10	3	19	2	0	0	0	0	3	3	9	0	9	0	19	0	0	0	17	5	43	0	46
miR-218a-2-5p	miR-218a-2-5p	195	240	89	65	39	1026	117	241	42	894	332	155	301	128	10	513	461	35	243	24	26	24	687	563	1151	1464	16	48	43	174	67	291	203	436	198	329	186	174	181	231	19	1	0	134	253	225	2	131
miR-2188-5p	miR-2188-5p	58582	16308	20534	8052	5434	51136	1700	2489	1192	32343	26860	11065	18140	7369	1010	3782	4218	448	3625	4921	597	2357	76694	23710	41902	92059	16273	6677	741	2737	2357	1547	10917	17213	12346	11103	2553	13265	6728	30988	1242	335	1480	3154	1889	23432	5587	12006
miR-2188-3p	miR-2188-3p	7747	4585	12415	4628	5349	19847	4035	32524	17546	40759	28847	13562	24642	13204	1956	15926	20743	5623	6229	8609	2591	2496	24030	6678	14646	21202	7069	11649	770	8622	3389	2486	15098	26166	12691	11637	9868	8470	6737	28221	3305	2258	2722	4317	2397	26636	6019	38775
miR-217a-5p	miR-217a-5p	33	7	60	8	0	43	0	0	0	0	373	0	0	37	0	82	196	0	167	1	28	3	96	26	73	168	11	47	0	0	0	0	0	788	0	0	52	0	8	0	0	8	4	63	18	154	22	87
miR-216b-5p	miR-216b-5p	0	0	19	0	0	19	0	0	0	0	104	0	0	0	0	0	0	0	0	10	0	0	9	2	60	40	1	0	0	0	37	0	0	310	0	0	41	0	0	0	0	0	0	3	0	22	1	0
miR-214a-3p	miR-214a-3p	13855	11298	7098	2451	3183	39940	4095	4291	8549	16006	10315	6502	5522	5827	587	874	2396	265	5438	1379	68	983	47517	20628	43293	71220	1932	3545	1122	7235	1826	2109	22462	6367	12889	10446	11997	8984	15094	10093	354	276	437	1773	3958	12244	228	2724
miR-212b-5p	miR-212b-5p	19	0	4	5	0	10	0	0	0	0	0	447	25	0	0	0	0	0	0	0	0	0	7	0	0	8	0	0	10	0	0	0	346	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0
miR-212a-5p	miR-212a-5p	0	8	1	10	0	0	0	0	36	5	0	0	1	0	22	824	413	13	36	110	15	31	0	0	36	1	0	0	4	0	0	0	36	0	0	7	18	0	5	0	36	51	6	85	237	371	49	525
miR-210-5p	miR-210-5p	839	454	3353	718	634	1706	389	1195	907	1574	4497	2270	3871	975	553	5187	7147	471	789	571	534	473	1707	787	1720	1837	868	1475	296	306	860	1215	1799	2182	1088	1379	2157	1831	1413	922	1367	45	766	1413	1923	6923	839	4307
miR-210-3p	miR-210-3p	181	10	240	50	49	85	0	0	0	220	582	106	763	79	6	520	99	17	229	177	48	0	65	19	125	93	113	139	41	0	0	0	40	336	100	115	106	117	60	157	6	0	107	253	294	1041	197	459
miR-21-5p	miR-21-5p	53203	20732	32689	16892	27404	76271	52097	103867	36534	254684	265330	79448	260515	30183	37602	393440	252287	22638	74569	44024	31117	20980	67561	34754	68375	111711	10868	43693	19408	79583	60090	100749	46047	94967	55143	76745	32165	98781	69476	58103	33616	11659	23896	105553	96627	278672	29202	283738
miR-20b-5p	miR-20b-5p	0	1	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
miR-20a-5p	miR-20a-5p	265	35	37	16	0	72	247	0	24	619	431	67	321	5	33	465	555	30	42	46	33	45	60	32	164	340	15	121	0	99	72	76	48	124	48	94	102	67	93	2	41	0	5	96	133	235	103	257
miR-206-1-3p	miR-206-1-3p	34089	12442	10671	3470	28553	119212	4076	6216	12953	14317	7301	10762	11659	9227	17074	9638	4938	3616	6072	6136	1117	6743	173346	76937	135705	181380	3504	18292	551	2195	628	1191	13864	4732	11505	13709	21624	25671	14941	12833	3063	6901	4784	11235	7595	56896	706	23167
miR-205-1-5p	miR-205-1-5p	1186	16875	1556	2486	122	25948	51891	7577	297	994	10177	24179	15682	5065	563	2093	1462	103	885	63	149	220	6828	5417	2660	19519	263	2213	506	2812	85240	124221	20125	3247	8532	25521	3645	21153	17293	27852	334	80	416	3903	2082	1094	86	3329
miR-204-2b-3p	miR-204-2b-3p	43	73	14	9	0	240	90	0	25	0	0	0	0	0	22	111	150	20	58	32	13	8	53	63	154	270	6	5	0	68	7	0	0	0	0	0	0	0	0	0	3	0	106	99	30	12	8	134
miR-204-1/2b-5p	miR-204-1/2b-5p	14270	7045	1802	1281	501	44703	6521	1349	9543	2045	759	326	3282	1518	5698	8757	31658	2290	7398	4792	1255	5413	16614	20305	19429	68742	450	1217	604	56620	5962	2609	1722	359	846	1350	268	166	6872	1202	2713	3150	2214	11403	3015	11978	1216	14046
miR-200b-5p	miR-200b-5p	0	55	20	6	0	1	58	3	0	8	32	196	125	31	23	0	0	0	0	15	0	0	0	18	3	72	0	33	12	57	76	214	26	0	23	71	0	49	69	74	0	0	0	30	80	48	0	69
miR-200b-3p	miR-200b-3p	348	9118	743	854	152	6259	80653	37891	118	8600	20639	52969	26503	7438	1498	4107	2787	148	916	134	396	289	5390	2793	2196	19407	36	1782	822	2016	67410	219846	7662	8606	6456	24248	1132	17073	12130	28498	558	692	1483	2794	6618	1685	252	3948
miR-200a-3p	miR-200a-3p	85	945	273	344	65	1045	4794	14730	251	1208	4522	4552	2222	814	515	527	1248	49	244	63	24	10	671	328	262	2078	32	710	801	237	6243	12993	1948	894	1127	2076	611	1881	1605	3474	48	81	58	572	1408	624	246	1587
miR-19b-3p	miR-19b-3p	132	47	39	8	0	135	0	0	0	945	461	358	456	58	1	549	189	34	0	48	103	17	221	27	186	431	38	39	0	0	0	0	84	268	103	234	0	75	160	359	5	45	16	64	48	194	100	188
miR-199-5p	miR-199-5p	3194	1882	3057	633	908	8149	517	140	1171	2327	4226	1628	2147	716	312	784	2251	129	2145	735	94	1318	8340	4664	8874	12073	785	1153	475	1166	323	196	2075	2415	1969	2118	1228	2175	1909	2368	305	3	213	693	2814	7956	157	2092
miR-199-3p	miR-199-3p	7705	7395	12214	2994	2104	47993	6676	4361	6909	37120	43625	15519	17484	7773	2194	5436	12711	1151	11544	4504	873	4946	38454	23421	38318	60546	1549	6155	1418	16596	2745	3847	9261	18231	14697	18422	6922	23659	13987	12114	1886	714	2110	6620	15658	38885	834	13752
miR-196d-5p	miR-196d-5p	113	53	16	13	15	306	0	48	186	0	0	0	0	0	8	0	3	9	0	2	22	2	579	230	564	666	6	47	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	11	22	86	0	111
miR-196d-3p	miR-196d-3p	95	25	28	31	20	328	69	0	14	0	0	0	0	0	8	0	0	17	18	14	0	0	268	117	354	365	8	0	3	61	13	0	0	0	0	0	0	0	0	0	5	0	8	55	10	132	0	47
miR-196a-5p	miR-196a-5p	218	182	77	32	51	2318	0	106	0	0	0	0	0	0	196	60	328	30	157	73	21	124	1700	1087	2023	3257	13	116	19	183	228	232	0	0	0	0	0	0	0	0	44	0	41	55	109	470	4	236
miR-194a-5p	miR-194a-5p	47	0	1108	14	15	23	130	0	9	12303	12694	586	522	0	1	43	117	11	0	18	28	2	31	13	2	15	15	107	24	82	216	117	691	496	210	526	729	411	293	0	0	0	24	122	66	136	49	203
miR-194a-3p	miR-194a-3p	0	0	40	0	0	0	0	0	0	0	152	35	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0
miR-193a-2-5p	miR-193a-2-5p	555	349	334	89	245	2497	184	37	134	332	135	0	58	46	203	1	263	40	191	92	0	61	1565	873	1435	1706	91	331	74	137	0	18	507	272	120	124	238	61	214	345	6	34	0	44	113	1819	12	359
miR-191-5p	miR-191-5p	14671	29021	24824	11424	11335	41459	0	0	0	0	0	0	0	0	5328	25999	29744	2148	5170	2000	2676	2380	44924	17060	31283	44013	5395	16400	4596	0	0	0	0	0	0	0	0	0	0	0	3198	1877	2311	7577	5033	12055	1286	15870
miR-18c-5p	miR-18c-5p	45	26	24	7	36	52	111	122	0	0	0	0	0	0	31	92	379	53	0	14	0	0	38	44	74	179	2	17	24	64	224	31	0	0	0	0	0	0	0	0	1	0	0	50	28	77	25	131
miR-18a/b-5p	miR-18a/b-5p	128	8	24	1	12	0	0	0	0	44	65	0	5	0	0	352	179	0	71	4	1	2	6	0	27	76	11	20	11	0	0	0	31	0	2	27	15	24	13	150	1	0	0	21	4	60	17	29
miR-18a-3p	miR-18a-3p	93	66	107	21	0	34	277	60	61	87	83	82	281	121	0	0	0	0	0	0	0	0	125	77	83	142	15	43	0	69	75	0	59	0	35	64	0	56	62	146	0	0	0	0	0	0	0	0
miR-184-3p	miR-184-3p	83	1336	358	292	129	3042	24362	57666	1357	673	1002	2880	1536	1710	268	1740	453	77	65	26	75	134	1246	964	553	5469	20	1397	710	871	31926	48980	1386	869	904	651	190	709	1077	2824	114	2	24	385	733	143	14	677
miR-183-5p	miR-183-5p	648	211	194	150	391	764	5044	43318	424	577	250	2720	4837	197	7	651	190	57	32	35	26	91	239	278	207	499	38	237	167	525	7440	11106	626	672	214	695	31	307	189	1443	59	10	128	78	21	256	16	419
miR-182b-5p	miR-182b-5p	65	20	0	9	33	2	2	141	35	90	89	151	1243	50	18	102	0	11	33	19	5	45	32	10	8	20	8	13	0	110	138	1	109	76	37	3	0	32	24	162	0	0	9	25	9	58	0	64
miR-182a-5p_gac-miR-182b-5p	miR-182a-5p_gac-miR-182b-5p	8	0	4	1	0	40	420	8994	52	21	0	23	115	0	0	9	121	1	0	5	2	0	23	19	0	53	2	23	3	30	1151	1497	5	0	4	9	0	7	0	18	0	0	0	3	3	16	7	20
miR-182a-5p	miR-182a-5p	55	40	22	17	102	183	7521	18901	32	350	28	729	233	31	0	333	258	11	0	0	0	61	101	58	26	120	12	54	44	306	7316	12627	136	52	55	217	68	105	96	248	35	0	2	7	5	90	6	119
miR-181b-2/3-5p_gac-miR-181c-5p	miR-181b-2/3-5p_gac-miR-181c-5p	1078	719	817	197	206	3660	1405	6102	1234	908	7029	2199	2306	200	474	1729	3321	249	814	328	207	298	1404	1155	2098	2412	111	469	181	1917	1773	3172	674	1792	509	1535	965	773	699	1461	461	32	312	837	813	2333	231	2796
miR-181b-1-5p	miR-181b-1-5p	692	611	350	80	89	2085	145	79	131	119	167	149	425	111	105	615	875	14	46	52	109	142	776	718	978	1294	51	205	94	343	153	86	157	117	69	78	141	104	184	200	116	0	59	198	160	350	60	346
miR-181a-5p	miR-181a-5p	13059	7350	7169	1470	2420	26278	2883	6357	3472	5015	18748	5674	10757	965	1252	9553	12339	515	4787	1490	732	1336	13517	11363	13823	15815	1701	5255	1970	8665	4525	8493	4774	4213	3046	3804	3094	2878	2808	3952	1426	389	1926	2935	4027	14028	1119	9875
miR-181a-3-3p	miR-181a-3-3p	567	311	344	153	480	1196	124	356	395	190	347	230	179	122	0	0	0	0	0	0	0	0	806	437	585	835	64	709	278	826	348	383	89	202	78	125	109	115	145	268	0	0	0	0	0	0	0	0
miR-181a-2-3p_gac-miR-181a-3-3p	miR-181a-2-3p_gac-miR-181a-3-3p	30	1	64	6	18	44	277	325	150	45	94	66	51	0	1263	17138	14701	1355	3642	1240	897	1572	22	23	10	63	0	64	6	159	329	649	0	62	3	20	0	7	4	81	1883	960	1077	2965	2588	5579	659	7807
miR-181a-2-3p	miR-181a-2-3p	1110	595	1757	297	923	1868	5171	6761	1856	594	2263	1202	1552	331	0	0	0	0	0	0	0	0	1885	979	1230	1801	137	1689	463	4511	4523	10334	278	1321	173	661	116	244	523	946	0	0	0	0	0	0	0	0
miR-181a-1-3p	miR-181a-1-3p	270	123	169	91	350	459	495	332	119	39	12	334	126	0	101	334	115	3	0	15	0	0	246	204	212	234	56	230	180	371	574	1043	48	78	17	61	0	0	26	28	14	17	3	74	110	240	53	343
miR-17a-5p	miR-17a-5p	260	28	9	10	0	63	74	0	0	224	272	153	179	41	1	468	772	25	15	78	51	31	143	69	124	254	30	33	0	0	161	36	46	204	19	23	0	29	38	4	0	0	3	12	68	283	81	61
miR-16c-5p	miR-16c-5p	44890	39092	25529	10028	8677	78794	30862	22198	13807	81673	82292	94522	201888	23400	7478	151759	117727	8904	32797	15423	19634	2756	78510	34082	82108	103292	8391	39682	4641	52505	47138	44908	61964	95844	42073	46722	33611	44062	34304	45586	24455	6852	10408	27173	34066	90473	11603	85429
miR-16a-5p_gac-miR-16c-5p	miR-16a-5p_gac-miR-16c-5p	2462	1205	1855	586	483	4632	963	1091	865	19601	15720	10138	20666	3340	617	14135	8177	699	1839	1406	1284	532	5249	2035	4326	6947	1017	2448	268	2224	1445	2280	6719	12529	6149	6895	4567	6323	4296	8398	1111	234	1226	2063	2856	6614	911	5458
miR-16a-5p	miR-16a-5p	3650	1774	1435	540	696	5343	654	1897	589	0	0	0	0	0	141	2444	2558	129	388	288	300	336	5991	2608	5945	13686	1013	2255	306	1267	1551	779	0	0	0	0	0	0	0	0	288	138	215	793	663	1652	171	1275
miR-15c-5p	miR-15c-5p	105615	75744	61122	19222	16827	136626	24766	23997	9194	84198	56580	38477	107034	21742	5716	66882	52851	5566	27583	11196	7507	4581	156659	53428	133844	174583	18807	44306	5034	33401	34820	37095	54018	45772	43860	40769	16424	39154	31023	67720	12859	2055	7926	16421	21208	81054	10401	36151
miR-15c-3p	miR-15c-3p	49	6	15	1	7	90	0	0	0	10	8	0	45	4	0	0	0	0	0	0	0	0	21	11	3	26	5	6	0	0	0	0	9	0	5	0	110	3	13	0	0	0	0	0	0	0	0	0
miR-15b-1-5p	miR-15b-1-5p	2165	182	216	31	54	662	185	20	65	125	145	93	11	63	32	567	555	22	46	128	73	58	930	226	485	2224	148	90	14	45	64	0	195	300	102	78	19	99	32	381	23	0	126	179	135	722	235	332
miR-15a-2-5p	miR-15a-2-5p	8527	4563	5950	2139	2316	9481	1653	5139	4441	28470	28123	14387	35563	5869	3717	54855	29650	3111	10815	6490	4350	1529	11499	4082	11350	15401	3857	6704	1298	2746	3156	2820	13737	18248	10258	9590	7484	8973	6553	16204	6124	1559	3921	7971	10193	35517	9613	38356
miR-155-5p	miR-155-5p	457	155	196	87	151	315	1512	3821	842	207	206	487	1214	64	329	8566	4492	388	1496	950	354	113	176	160	100	267	75	208	164	5504	2871	9813	135	322	120	502	30	266	352	192	760	134	418	1032	1646	3079	297	2378
miR-152a-5p	miR-152a-5p	229	69	385	20	109	513	755	908	782	256	1204	961	232	123	29	354	89	19	54	37	15	114	546	248	411	647	32	186	80	669	818	1166	507	718	98	142	326	225	239	419	0	5	22	104	200	596	13	317
miR-152a-3p	miR-152a-3p	325	86	181	52	69	705	56	120	155	1122	2853	728	445	214	44	293	238	27	196	35	38	213	719	260	527	1163	82	330	88	413	58	112	373	792	242	407	113	338	722	296	16	0	14	83	195	408	38	585
miR-150-5p	miR-150-5p	1524	14023	2088	2587	488	2157	28434	7351	5031	8344	1646	53423	13204	4746	2221	18203	10309	513	8643	1133	648	349	806	479	1106	2074	601	2260	2126	18945	26686	72722	44019	2790	4777	83994	4684	27061	24525	35507	2799	326	7062	2843	5933	30804	4635	40101
miR-148a-3p	miR-148a-3p	323	121	292	56	75	860	152	36	109	12060	5533	2032	906	173	71	741	1260	38	418	327	30	213	857	293	576	1137	100	164	82	586	309	273	698	1367	394	493	1125	575	775	424	25	18	103	460	734	1069	211	1328
miR-146a-5p	miR-146a-5p	4531	2093	4688	1519	935	8345	10628	18149	4157	78858	84230	53724	189173	52986	2695	53125	30293	4928	8617	3171	2292	4504	5780	3307	3962	9860	710	14288	1576	9785	12548	17423	10848	78312	19282	40646	5528	49168	19103	64295	2187	1771	3553	9217	10258	20031	793	30288
miR-146a-3p	miR-146a-3p	83	61	160	51	86	212	360	950	114	2568	2912	2265	7801	2403	0	0	0	0	0	0	0	0	149	87	70	256	17	115	59	116	565	595	929	2581	751	1349	1364	1680	761	3385	0	0	35	0	9	3	2	23
miR-145-5p	miR-145-5p	435	212	2163	296	87	1075	306	306	264	1605	2673	634	1615	1094	81	634	582	11	434	121	24	69	2337	543	1538	2921	303	1477	37	804	121	463	3541	388	972	2895	1051	1418	1447	1035	41	27	215	374	56	407	25	508
miR-145-3p	miR-145-3p	135	82	1698	119	160	972	116	293	102	975	1812	888	685	425	134	696	887	37	374	20	0	244	1022	367	888	1178	67	1860	174	500	130	675	1281	758	283	1322	1082	762	358	854	80	17	173	212	93	436	12	1291
miR-144-5p	miR-144-5p	5758	942	1265	610	1460	6588	342	995	1066	8369	5594	1968	3962	998	216	3881	4379	1255	513	1158	441	509	6634	2073	4356	8552	1161	2462	160	960	560	151	1544	2842	2024	2240	539	1748	1765	3844	258	321	861	682	620	2896	875	4808
miR-144-3p	miR-144-3p	802	49	294	66	68	262	0	73	61	953	238	285	534	119	3	842	762	22	38	129	5	85	940	110	251	1686	575	397	26	120	48	0	206	275	181	169	99	8	179	834	0	8	27	62	100	210	206	486
miR-143-5p	miR-143-5p	0	5	13	0	11	0	0	0	22	22	47	69	0	0	0	0	0	0	0	0	0	0	15	0	11	21	0	8	0	0	0	39	0	0	0	24	55	12	0	3	0	0	0	0	0	0	0	0
miR-143-3p	miR-143-3p	4068	1799	25105	1733	3487	10615	4765	34776	27387	34322	42160	16774	12050	15740	1213	18305	15445	1190	4077	1170	372	2435	10945	3838	7795	18067	2049	78180	3852	10640	3035	5314	25879	13532	6156	16278	13579	9058	9256	11317	1284	1459	1694	6503	2405	5592	491	23495
miR-142-5p	miR-142-5p	481	113	221	116	403	316	247	1892	1110	321	170	268	1273	121	66	7497	2788	199	922	210	200	53	310	124	180	574	321	913	486	666	1050	321	138	413	123	144	0	105	129	241	658	6	438	316	741	860	413	1227
miR-142-3p	miR-142-3p	514	61	16	20	4	54	0	0	116	294	132	118	570	7	9	1672	106	37	152	135	21	91	120	14	89	219	94	154	10	394	817	303	62	138	49	68	0	74	171	200	193	0	23	155	255	196	241	488
miR-140-5p	miR-140-5p	24	2	6	0	0	73	77	0	0	124	191	0	166	47	0	0	75	2	0	28	28	44	191	43	53	161	17	29	3	0	0	66	89	49	44	79	51	60	55	72	0	0	13	2	3	763	0	58
miR-140-3p	miR-140-3p	3562	992	1501	382	979	3467	1290	789	1027	2611	2626	1452	1079	627	60	5607	4362	443	1731	1000	408	694	13885	2621	3559	5995	592	1106	258	1472	1005	819	930	1546	729	1321	210	500	479	2498	536	231	612	995	753	20159	1125	3306
miR-139-5p	miR-139-5p	320	368	1306	194	84	564	59	246	73	885	5238	674	288	158	491	1650	1426	50	541	122	177	116	785	250	1302	1180	92	306	89	155	97	90	605	862	370	647	649	683	746	480	224	39	7	1215	480	694	62	978
miR-1388-3p	miR-1388-3p	800	252	188	128	313	575	645	1304	1774	305	473	1040	1260	55	560	4124	4788	436	796	112	244	120	341	194	135	340	187	312	433	1232	1446	1484	294	208	199	363	49	512	289	776	529	125	283	638	746	1928	639	2542
miR-135a-1-5p	miR-135a-1-5p	0	1	0	3	0	0	0	0	0	58	19	9	235	0	0	0	0	0	0	1	0	0	20	2	25	1	0	0	0	0	0	0	15	0	59	39	70	65	36	42	0	0	0	0	0	128	0	14
miR-133b-3p	miR-133b-3p	231	8	87	4	22	309	0	0	0	15	11	0	381	8	0	0	99	0	153	31	0	21	816	409	289	447	42	20	9	0	0	0	10	0	22	0	0	37	12	34	0	0	0	29	11	410	10	23
miR-133a-5p	miR-133a-5p	117	18	33	15	16	235	0	0	0	40	18	0	0	0	69	249	39	32	103	28	0	73	377	147	572	569	29	2	0	0	0	0	0	0	29	0	0	11	24	0	93	68	134	54	94	1307	1	290
miR-133a-3p_gac-miR-133b-3p	miR-133a-3p_gac-miR-133b-3p	273	15	50	28	1	130	0	0	0	0	0	0	0	0	7	0	0	0	0	67	4	10	565	223	181	459	102	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72	19	999	10	89
miR-133a-3p	miR-133a-3p	25269	6194	12257	2110	2215	80288	250	549	94	7926	1741	2482	3444	1369	1446	1067	2021	867	9183	5613	513	2334	120908	58756	72720	68731	6713	6410	65	209	153	331	925	1345	3711	2351	140	5275	4166	3613	1194	2245	1250	7369	4669	117050	654	12130
miR-130c-3p	miR-130c-3p	0	0	0	0	0	0	70	35	0	5	4	142	0	0	17	0	377	1	0	4	9	0	2	0	7	39	1	3	4	0	0	44	0	0	3	11	36	0	0	0	55	0	0	21	19	27	15	28
miR-130c-2-5p	miR-130c-2-5p	38	8	11	9	0	106	74	170	60	15	15	121	26	0	82	532	238	31	62	2	41	8	98	60	77	100	2	15	9	90	29	0	22	0	2	17	40	0	15	0	4	3	0	119	31	40	13	97
miR-130b-5p	miR-130b-5p	1915	1609	3555	688	929	5477	5971	14540	4771	1250	927	3712	1913	650	1031	7418	3832	310	1155	244	460	467	5940	3488	4722	8025	251	1530	699	6051	7959	10913	772	1480	400	871	939	943	902	1225	532	1038	603	2093	733	2104	199	1759
miR-130b-3p	miR-130b-3p	5	4	0	5	0	28	0	59	0	1	3	0	144	0	0	243	118	5	0	0	2	73	12	2	26	115	2	0	0	0	0	0	0	0	0	4	0	0	0	0	3	10	67	77	11	11	11	17
miR-1306-5p	miR-1306-5p	189	264	197	55	75	364	0	0	0	442	74	324	128	165	0	0	0	0	0	0	0	0	509	169	389	743	74	79	0	0	0	0	328	254	91	215	41	127	155	102	0	0	0	0	0	0	0	0
miR-129-1b/2-3p	miR-129-1b/2-3p	0	6	5	1	0	0	0	32	0	0	0	0	0	0	19	0	0	3	83	14	5	25	0	0	11	8	0	5	0	0	57	61	0	0	0	0	0	0	0	0	0	116	4	72	3	82	19	65
miR-129-1a/2-5p	miR-129-1a/2-5p	45	10	0	17	13	23	239	1037	0	0	0	14	0	0	2	25	229	4	61	7	0	57	114	20	88	146	2	17	9	0	225	400	14	0	3	3	0	0	8	91	0	0	0	11	0	2	0	51
miR-128-2-3p	miR-128-2-3p	16671	13452	12709	5006	11055	33520	10903	20019	13154	18106	28617	27977	34205	8384	4626	36006	28156	2819	9354	4994	3313	2835	35724	11228	26176	36113	3279	15563	3056	18349	17061	26033	17731	22775	7805	10691	9693	12765	8943	17005	5618	2073	4025	7936	6862	27995	3886	23486
miR-126b-5p	miR-126b-5p	415	195	996	214	137	1459	175	477	139	4219	2604	640	1114	436	274	1376	2748	210	883	350	141	515	1340	806	1808	4698	162	1196	433	625	147	125	862	316	1073	1042	418	701	1560	879	539	0	299	2430	952	1876	156	4433
miR-126b-3p	miR-126b-3p	9514	4156	15499	3504	4867	24707	6171	18967	4173	65946	53751	11742	26359	13778	3541	34288	39716	3913	16496	6036	2077	5460	15808	12343	22921	42793	2149	35719	6821	20894	8151	8310	11093	11441	15715	18520	3854	11475	30208	22382	4923	1773	4513	32319	16075	25893	2405	75540
miR-125b-2/3-5p	miR-125b-2/3-5p	29723	16167	42255	11648	19723	62402	21661	54177	22964	81041	49992	32586	30748	31937	7410	13923	28219	2464	34865	7373	1272	12876	93186	38559	82936	142062	8140	20592	5333	26779	14617	18869	79911	22593	44015	48970	15008	38126	89547	41970	4355	2586	8195	18073	21300	132762	1484	24487
miR-125b-2-3p	miR-125b-2-3p	88	150	146	65	161	374	0	168	194	100	85	105	5	105	204	223	647	34	428	89	8	75	357	143	248	433	16	327	54	146	7	116	79	155	39	45	154	47	77	185	306	291	98	254	177	583	37	745
miR-125a-5p	miR-125a-5p	24539	18885	34077	8934	21452	52704	10503	19676	7699	48738	18840	15567	24455	12817	6966	51280	31888	3325	41633	6640	3154	8350	63724	25940	36991	67248	4588	28703	7379	18075	7171	16079	38448	9869	20967	30261	6656	20276	29994	27504	8941	4425	10288	14716	14528	77535	7306	33497
miR-125a-1-3p_gac-miR-125a-2-3p	miR-125a-1-3p_gac-miR-125a-2-3p	3	59	11	0	0	101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	86	52	69	64	3	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
miR-122-5p	miR-122-5p	159	885	166147	2589	8669	1515	63	788	958	418734	1944070	17290	5657	814	5383	1281	1819	126	313	20	743	393	517	193	751	969	1782	8977	5351	1110	428	1363	14242	160993	6719	3854	287619	2223	26923	157	1118	168	1558	97	625	1362	110	45719
miR-122-3p	miR-122-3p	0	0	1049	16	0	0	0	0	0	4823	4588	319	0	60	0	0	12	0	0	0	19	0	0	0	14	0	7	34	13	0	0	0	185	866	89	36	464	22	139	0	0	0	0	0	0	28	0	102
miR-10c-5p	miR-10c-5p	1188	631	2608	493	1358	2659	1841	1771	1619	2186	8918	30602	15963	4437	454	600	882	114	449	104	77	511	3418	1631	2675	4370	239	4118	1557	2991	2314	2293	5164	13319	1820	3968	2668	7806	4500	11222	581	385	260	236	153	783	56	527
miR-10b-5p	miR-10b-5p	14920	3952	7678	2313	5791	46263	16684	18459	19342	4018	2523	5409	12087	6369	3418	30903	50095	8147	10829	4912	3221	14995	45320	24482	31178	58884	1804	13717	4290	43020	18194	10481	3464	6988	1362	3640	1257	1139	6962	13750	6322	5736	8025	14079	9899	24302	682	19662
miR-10545-5p	miR-10545-5p	11	3	0	1	0	0	0	0	0	22	19	0	1	0	0	299	0	0	0	0	0	0	0	39	2	22	0	0	0	0	0	43	18	0	10	9	0	9	21	0	0	0	0	0	3	0	0	0
miR-103-3p	miR-103-3p	1329	895	1230	357	334	1503	864	518	417	3721	3056	1105	2370	291	154	5653	1321	230	398	417	274	205	1754	706	1949	2858	328	1092	198	884	1034	1495	782	1505	705	786	157	743	673	1056	624	109	212	773	858	1653	539	1902
