MirID;baseMean;log2FoldChange;lfcSE;stat;pvalue;padj
miR-183-5p;383.12100683882;1.32649470402343;0.415309960663825;3.19398721355776;0.00140322332333425;0.342386490893557
miR-182a-5p_gac-miR-182b-5p;17.2593786687508;2.04515715584899;0.744368689558082;2.74750561722735;0.00600504802453025;0.732615858992691
miR-ENSGACG00000022167-5p;77.6584124816815;-2.01226942894317;1.15388050014344;-1.74391492766628;0.0811739252450872;0.998650148790064
miR-ENSGACG00000022167-3p;33.7205698354107;-1.24736865806591;1.7880718758072;-0.697605434626506;0.4854239819414;0.998650148790064
miR-99a-5p;6305.03429623487;-0.348384984381233;0.293876070819288;-1.18548265399759;0.235826668957676;0.998650148790064
miR-92a-3p;207289.372427585;0.122080235637578;0.235136765902403;0.519188205932241;0.603629502780761;0.998650148790064
miR-92a-2-5p;256.8345654418;0.366251595845068;0.852937130115514;0.429400459791762;0.667631819241635;0.998650148790064
miR-92a-1-5p;263.761098209345;0.234192321243189;0.875035801831798;0.267637416381058;0.78897842716015;0.998650148790064
miR-9-5p;273.828853464381;-0.846265406941467;0.664855979933051;-1.27285522351274;0.203069420747208;0.998650148790064
miR-9-1/3/5/6-3p;30.3885588386966;-0.64647409601053;0.999614532170761;-0.646723387070662;0.517810984109115;0.998650148790064
miR-8159-5p;14.3353058382666;1.35392611559363;0.886154562626193;1.52786677707911;0.126545618399315;0.998650148790064
miR-737-5p;317.923521414453;0.050292348707916;0.329684608906639;0.152546850381353;0.878755641528952;0.998650148790064
miR-733-1-5p;2.71521566456101;0.0908666463698993;2.20863606547757;0.0411415206833777;0.967183073889916;0.998650148790064
miR-730-5p;25.9265061669515;-1.4012000214527;0.808769879166702;-1.73250767312995;0.0831832120996087;0.998650148790064
miR-727b-5p;44.5527411638474;-1.20656079383578;1.1816414225999;-1.02108877596813;0.307212380326171;0.998650148790064
miR-727b-3p;38.0992739430788;-0.757523438272274;1.36624996957801;-0.554454495985274;0.579267839238275;0.998650148790064
miR-725-3p;1022.52383555175;-0.912281149944601;0.553641886388701;-1.64778202728705;0.0993974084181333;0.998650148790064
miR-724-5p;109.64547474394;-0.784416593295648;0.778817938410203;-1.00718865682123;0.313844123026235;0.998650148790064
miR-722-3p;71.2443276461705;-0.123654171964806;0.604104999827968;-0.204689866827818;0.837814437887998;0.998650148790064
miR-7147-5p;3.5402612230004;1.98894550667352;1.49115757201987;1.33382651437659;0.18226071931619;0.998650148790064
miR-7133-3p;101.695780285989;0.00657475735157316;0.636730321192198;0.0103258116234558;0.991761340732397;0.998650148790064
miR-7132b-5p;184.5761658838;0.141987799517661;1.48569930906369;0.0955696745979806;0.923862351090049;0.998650148790064
miR-7132a-5p_gac-miR-7132b-5p;1156.58361913561;-0.13905699032911;0.524800291334815;-0.264971252160365;0.791031607940777;0.998650148790064
miR-7132a-5p;52.4543779410738;0.452874932764824;1.39782259702213;0.323985986297269;0.745948643823296;0.998650148790064
miR-7-5p;245.274459405292;0.661961842512797;0.507654339360252;1.30396175347778;0.192246623111678;0.998650148790064
miR-551a-3p;240.30877369354;0.0761741445447119;0.47764585251787;0.159478291590236;0.873292060224581;0.998650148790064
miR-499a-5p;399.529066537675;0.0837155075449012;0.617803518068524;0.135505067706034;0.892212557763721;0.998650148790064
miR-489-3p;70.1417494362752;-0.197446061950865;0.572425717052171;-0.344928706151876;0.730147969092474;0.998650148790064
miR-460-5p;42.8297029480115;0.515928760239086;0.715507909148154;0.721066467110508;0.470868621227348;0.998650148790064
miR-458-3p;21.1698322030331;-0.757892876630806;0.709213937322217;-1.0686378774399;0.285232873970886;0.998650148790064
miR-456-3p;229.646226435887;0.0767259043364849;0.267495712683116;0.286830407735831;0.774242178759048;0.998650148790064
miR-455-5p;102.803360068858;-0.363829894116712;0.430210681251384;-0.845701675882184;0.397719188013557;0.998650148790064
miR-455-3p;180.997127621081;-0.362339741960108;0.444342828774597;-0.815450860227371;0.414814281654003;0.998650148790064
miR-454b-3p;30.8021620984494;-0.239246325720638;0.803882974049811;-0.297613375881516;0.765998264478871;0.998650148790064
miR-451-5p;61687.0061896482;-0.0387299704343558;0.323535533474264;-0.119708552623128;0.904714025070368;0.998650148790064
miR-429a-3p;194.748141194334;-0.266422676607855;0.511866394015619;-0.520492612374402;0.602720275630879;0.998650148790064
miR-425-5p;10270.7622105709;0.0659733590139068;0.36318181051467;0.181653808378826;0.855854418308317;0.998650148790064
miR-375a-3p;9265.47959454182;1.24040234548234;0.500701119952081;2.47733087875068;0.013236912476727;0.998650148790064
miR-365-2b-5p;59.7223758888303;0.621792160202065;0.521196085509674;1.19301003497373;0.232865442989798;0.998650148790064
miR-365-2b-3p;1198.95102855755;-0.543907937915686;0.383119786989943;-1.41968114512959;0.155700529733303;0.998650148790064
miR-34a-5p;7.43173290267763;1.45456169129656;1.21442483447438;1.19773710978672;0.231019377455136;0.998650148790064
miR-338-3p;61.8532753780817;-0.802285324845463;0.502107870979428;-1.59783459136081;0.110079794023488;0.998650148790064
miR-338-1b-5p;6.93197204047544;0.082008662395561;1.36628495711548;0.0600231027711076;0.952137234510338;0.998650148790064
miR-338-1a-5p;9.48880398976654;-0.447177223422518;1.03612487750633;-0.431586223948945;0.666042172649262;0.998650148790064
miR-31a-5p;121.948524631487;0.2690845491111;0.567759417109416;0.473941146553001;0.635541876382506;0.998650148790064
miR-30e-5p;788.682949571833;0.118544201042676;0.241924967790552;0.490003996384972;0.62413107089667;0.998650148790064
