Gene	D12_M_MPP	D13_M_MPP	D20_M_MPP	D47_M_MPP	D61_M_MPP	D27_G_F	D28_G_F	D29_G_F	D31_G_F	D35_G_F	D36_G_F	D38_G_F	D41_G_F	D44_G_F
a229_gac-miR-27a-3p	560	1236	614	1035	341	236	220	71	131	217	217	297	247	167
a74_gac-miR-26b-3p	500	288	455	547	411	230	262	372	186	139	174	311	814	69
a73_gac-miR-26a-1b-3p	0	506	351	182	186	256	141	211	109	98	319	396	311	111
a226_gac-miR-26-5p	63713	260688	274315	259636	109397	155305	123039	151036	96248	54526	191156	266607	213662	70901
a197_gac-miR-24-6-5p	25	151	87	239	0	33	98	43	59	68	80	88	45	32
a206_gac-miR-24-3p	1410	6435	4954	4252	976	2481	1583	1664	2461	1789	1948	6226	3062	1811
a198_gac-miR-24-3-5p	0	4	9	0	0	13	0	0	17	11	6	25	36	0
a199_gac-miR-24-2-5p	493	1174	506	462	662	337	261	355	589	403	567	1132	530	432
a119_gac-miR-23b-2-5p	883	144	157	184	171	66	258	248	145	171	170	199	255	90
a50_gac-miR-23b-2-3p	3591	5754	4841	5097	955	2017	4585	2740	4129	2962	3962	5652	3439	2577
a49_gac-miR-23a-3p_gac-miR-23b-2-3p	259	150	69	153	0	34	31	33	14	53	68	86	43	18
a51_gac-miR-23a-3p	59413	159924	119961	59897	29117	44133	60636	38990	58473	51005	58613	111291	68989	45467
a114_gac-miR-23a-3-5p	328	406	397	326	212	144	390	183	193	182	338	340	363	238
a112_gac-miR-23a-2-5p	0	436	316	370	155	171	126	181	303	179	171	481	125	76
a118_gac-miR-23a-1-5p	0	75	80	89	0	37	60	55	222	56	88	124	32	28
a79_gac-miR-22b-5p	2479	2047	2740	2150	1135	1498	3493	4108	1992	1556	2353	4421	6803	1189
a14_gac-miR-22b-3p	141	248	188	135	116	73	108	98	112	56	102	236	231	52
a45_gac-miR-22a-5p	1926	2187	2208	3225	360	1131	3599	3204	2113	1371	3411	5862	4421	1019
a13_gac-miR-22a-3p	50206	131658	108935	93826	90274	35130	68791	73495	104895	66388	155545	237791	129189	106072
a219_gac-miR-223-5p	421	3538	3195	803	1014	1152	350	447	792	801	843	1754	2641	768
a173_gac-miR-223-3p	17047	105852	73131	33042	22288	71416	16901	33812	32267	39008	36222	105419	106510	22038
a201_gac-miR-222c-5p	188	145	85	338	127	54	46	46	21	18	125	123	115	47
a200_gac-miR-222a-5p	178	321	124	980	108	140	68	32	34	46	160	115	61	108
a39_gac-miR-222-3p	3573	9168	4749	11304	4306	4013	5997	6348	4704	3386	9843	8494	8002	4957
a25_gac-miR-221a-5p	0	45	22	0	0	7	40	2	20	0	4	1	0	0
a40_gac-miR-221-3p	3998	6000	3492	6613	1654	3599	5556	5590	3526	1882	7798	6165	6654	3068
a77_gac-miR-21a-3p	161	172	63	186	0	11	5	0	5	10	14	0	32	4
a237_gac-miR-218a-2-5p_gac-miR-218b-5p	0	26	1	20	0	19	0	0	1	4	4	12	0	9
a239_gac-miR-218a-2-5p	0	532	564	804	441	303	244	254	795	110	407	405	145	272
a15_gac-miR-2188-5p	11581	26037	19218	44477	8101	35686	30548	38235	31969	10481	21453	69073	46500	8249
a108_gac-miR-2188-3p	28739	52738	77947	69149	82995	59560	76469	78741	79053	28203	66658	178443	154404	27285
a5_gac-miR-2184-5p	0	300	212	546	308	68	50	82	147	89	159	294	115	76
a142_gac-miR-217a-5p	165	10	20	20	54	11	36	25	88	33	59	39	40	36
a135_gac-miR-216b-5p	0	0	0	26	0	7	7	15	2	0	3	5	0	7
a58_gac-miR-214a-3p	4465	4069	3017	18582	2618	2938	8852	7702	7734	7109	5627	14956	7049	3926
a26_gac-miR-212a-5p	0	69	67	10	0	39	73	44	107	17	104	146	0	56
a38_gac-miR-210-5p	513	4252	3009	3862	1176	2037	2374	2227	2124	1191	3605	4388	3210	2266
a94_gac-miR-210-3p	148	1513	534	1553	144	683	250	379	203	143	540	563	387	212
a52_gac-miR-21-5p	107227	391938	277116	317490	160536	157103	117849	133790	157583	148233	227448	329855	366226	131629
a56_gac-miR-20b-5p	204	12	0	0	0	3	0	0	0	0	1	0	0	2
a126_gac-miR-20a-5p	0	1099	438	1013	71	400	197	125	92	64	281	263	215	105
a203_gac-miR-206-1-3p	4325	2428	24509	79510	5111	2566	33001	14571	91455	2536	120134	92268	30863	20393
a240_gac-miR-205-1a-3p	0	256	154	27	0	63	8	51	88	29	40	148	288	49
a178_gac-miR-205-1-5p	4581	40547	17665	5876	2345	20050	2657	4607	8402	3558	11247	29948	55127	5353
a101_gac-miR-204-2b-3p	0	6	0	0	0	0	16	30	10	13	10	26	34	25
a233_gac-miR-204-1/2b-5p	873	2437	2727	10302	1527	3258	1166	3456	5338	2717	11975	13166	10405	9844
a234_gac-miR-202-5p	509	28	30	0	0	17	0	2	48	4	22	31	0	43
a67_gac-miR-200b-5p	0	111	72	0	0	20	0	0	22	1	12	2	44	10
a133_gac-miR-200b-3p	3960	39540	19716	2727	2794	6678	1260	1007	5325	2027	2244	4776	31823	2417
a128_gac-miR-200a-3p	350	7446	2864	431	427	1155	81	84	905	211	276	607	2043	358
a220_gac-miR-19b-3p	507	1213	815	845	0	636	425	423	40	68	414	397	817	114
a157_gac-miR-19b-2-5p	0	94	122	100	169	55	103	138	55	52	67	100	308	25
a106_gac-miR-19a-1-5p	0	0	0	48	0	3	0	0	0	0	0	0	0	0
a222_gac-miR-19a-1-3p	0	248	187	221	0	98	37	16	3	12	50	37	391	26
a72_gac-miR-199-5p	3743	13335	6610	21304	5501	7452	9044	10038	8204	7879	10033	22478	4661	5287
a20_gac-miR-199-3p	11613	29862	42172	48126	13321	14825	44853	29720	40640	31774	35960	87705	32608	29109
a153_gac-miR-196d-5p	0	13	70	61	0	8	79	44	120	35	88	305	28	79
a69_gac-miR-196d-3p	0	45	124	196	119	59	189	135	323	136	234	793	228	136
a154_gac-miR-196a-5p	0	173	684	216	120	100	701	443	1196	291	614	900	546	116
a216_gac-miR-194b-5p	0	0	0	36	0	11	2	2	3	17	0	6	15	2
a215_gac-miR-194a-5p	0	350	353	1219	384	277	1736	778	984	441	1066	225	372	1254
a71_gac-miR-194a-3p	0	0	0	0	0	1	13	0	30	5	8	0	15	1
a207_gac-miR-193a-2-5p	1065	226	154	1603	1	406	950	1537	1687	618	1134	4295	950	339
a131_gac-miR-18c-5p	0	223	178	22	344	209	33	27	68	44	104	88	52	51
a130_gac-miR-18a/b-5p	0	259	177	302	178	126	17	53	38	32	40	138	112	37
a32_gac-miR-18a-3p	0	199	253	150	0	166	115	131	50	78	129	125	406	73
a204_gac-miR-184-3p	2383	13995	8361	1037	624	2532	256	363	3256	1462	698	2944	17537	291
a159_gac-miR-183-5p	161	1196	770	212	340	395	67	91	460	91	276	599	382	244
a243_gac-miR-182b-5p	0	30	31	38	0	22	0	0	9	0	14	12	10	6
a241_gac-miR-182a-5p_gac-miR-182b-5p	0	39	37	23	0	13	4	0	6	7	18	2	0	4
a242_gac-miR-182a-5p	0	227	258	60	292	78	20	8	97	36	42	206	233	73
a8_gac-miR-181b-2/3-5p_gac-miR-181c-5p	1084	2125	2138	2806	1069	1023	1809	1903	1725	839	2368	3292	1801	1860
a88_gac-miR-181b-2-3p	0	0	4	79	0	0	0	0	21	0	2	0	0	0
a7_gac-miR-181b-1-5p	75	1582	969	967	340	582	540	535	585	365	650	910	984	467
a6_gac-miR-181a-5p	4315	31860	19841	30336	11563	16089	12194	13413	13529	7193	17695	26996	14290	13597
a23_gac-miR-181a-3-3p	646	689	724	543	725	368	310	394	472	293	598	966	738	358
a21_gac-miR-181a-2-3p_gac-miR-181a-3-3p	0	87	75	48	1	40	105	75	61	44	188	189	155	61
