group	description	lib.size	norm.factors
F	B43_F	1697879	1
F	B54_F	433647	1
F	B60_F	1008138	1
F	T44_F	1525035	1
F	T47_F	671339	1
F	C17_F	2070128	1
F	C19_F	4734631	1
F	C31_F	1744969	1
M	B48_M	408643	1
M	B49_M	1641498	1
M	B59_M	404949	1
M	T41_M	1230353	1
M	T43_M	1217489	1
M	T45_M	4064744	1
M	T63_M	493036	1
M	T69_M	3652519	1
M	C13_M	2325454	1
M	C15_M	2242198	1
M	C20_M	4140901	1
