Gene	B43_F	B54_F	B60_F	T44_F	T47_F	C17_F	C19_F	C31_F	B48_M	B49_M	B59_M	T41_M	T43_M	T45_M	T63_M	T69_M	C13_M	C15_M	C20_M
miR-182a-5p	-1.24353216420449	0.0283943706295897	2.32264621650885	-4.58342144436536	-4.58342144436536	7.38610121677036	8.08912688928553	-0.0257628654096438	-0.079372270555889	0	1.70537775800852	-2.20314411173099	-2.69591726899976	-0.420333407742984	-0.856843341971329	0.240733461561369	2.25183251262755	7.03820068123487	7.3356813889416
miR-181b-2/3-5p_gac-miR-181c-5p	-0.474223449518144	-0.791643626671453	-0.969046246788215	0.11676398882279	-0.164136033101597	0.667630183636632	2.15880007036888	0.882740668419251	-1.22745172571155	-1.23538058436579	-0.567924674547044	0.0940663489172042	-0.101706774383542	-0.103476499762886	0	0.445778745445679	0.58874052564081	0.695087032844505	1.04406238703056
miR-181b-1-5p	0.728557514014616	0.336057193915118	0.248138084405033	-1.56215166071719	-0.383079995891529	-0.172086184451063	-1.64112778123242	0.0810324575573977	0.0790601626646055	0	0.911113999429476	0.443657976468841	-0.0134608909640592	-0.401645949786476	0.483933319551352	-0.13283380983467	0.535573643237816	-0.399545867001455	-1.68852310649337
miR-181a-5p	0.381556130948558	-0.17050123452713	0.305943440051109	0.396625927736975	-0.257082407107562	-0.570174040634964	-0.0559819039756793	0.100278215610023	0.429777998718968	-0.0297351070223826	0.598271647679862	-0.371738887334471	-0.0697661969731751	0.20801675897302	0	-0.00923238335393251	0.4896883970756	-0.228154443388743	0.190196739576736
miR-181a-3-3p	0.278837299307761	0.84037625653256	2.24308890791509	-6.88793968021426	-6.88793968021426	-0.819627854355764	0.0656330163742345	1.23800196259548	-0.0214593349113423	1.35354334140994	2.04475272586713	-6.88793968021427	-6.88793968021426	-6.88793968021427	-6.88793968021427	-6.88793968021426	1.37194847593885	0.34892498616018	0
miR-181a-2-3p_gac-miR-181a-3-3p	-2.3726328300695	-3.94279164535747	-2.6977776969243	4.00289039179044	3.47860207010155	0.0595161051943656	-0.333172202551619	-0.41895503319237	-7.15641719432925	-2.33731661011038	-3.62971308659323	3.64342890252363	3.29323908814887	2.87911849485727	3.23708576793375	3.6524280313407	-1.25403420604917	0	0.487395218043721
miR-181a-2-3p	0.0202869933630474	-0.809081388284021	0.582063055593469	-9.49102625673921	-9.49102625673921	1.93817868979284	1.69876480314118	0.86311648081964	-1.53311701831672	0	0.176413317144062	-9.49102625673921	-9.49102625673921	-9.49102625673921	-9.49102625673921	-9.49102625673921	1.21424564311355	1.43710348562309	2.13904610894446
miR-181a-1-3p	-0.523849021080312	0.307750050737497	2.00070405177352	-6.67560046864181	-2.33756475055467	1.37359524419101	0.178119404810094	-0.268621351100821	0	-0.0483755160502497	1.6316104506889	-1.16884238787193	-0.759152254137367	-1.14870540017475	0.0938999840688561	-0.35784722904248	0.435325730637619	1.27945690083611	1.64993312181462
miR-17a-5p	-1.64422808096995	0	-3.88700352126729	-0.506330372066521	2.77074596068592	1.45101947674511	-3.88700352126729	-3.88700352126729	1.900312308179	0.0237192888899527	-3.88700352126729	-0.849460196990584	1.35022610748271	1.87289694702718	3.48984807910789	0.0206996678987474	-3.88700352126729	2.24890102491076	-0.297457633037655
miR-16c-5p	-0.635663553464667	-0.250126448264536	-0.701399947073643	0.32342203818388	0.264770411933014	0	-1.10160307508241	-0.757766081284954	-0.117300475946029	0.037263209600539	-1.01489256795402	-0.0108909309853527	0.16104004687954	0.0475684088443877	0.524480844826941	0.253914293711743	0.239331723895361	0.302913137652153	-0.256790141419943
miR-16a-5p_gac-miR-16c-5p	-0.0963559092522317	-0.025220553204047	-0.545868322134481	0.488246746405274	1.13029891115303	-0.679216100728398	-1.12445802036621	-0.431889427784878	1.15908192132073	0.339969026674133	-0.80591902975128	0.591041896466722	0.90584812649411	0.59496734958776	1.17450912090266	0.606925726365532	0	-0.402374156520125	-0.234483431175537
miR-16a-5p	0.344241443702375	0.667407855141349	0.790830830876278	-0.941466110640802	-0.343636251252292	-0.425718837280714	0.482404915683896	-0.174797277647677	1.96381734463675	1.03202917081334	0.195417122034256	0.0239697626980639	-0.387560303546639	-0.592445156050678	-0.425173449967875	-0.676763296284077	0	0.510014640865304	-0.969438945891508
miR-15c-5p	0.821113897630875	0.885850282520247	0.451342807547645	0.270952866082682	0	-0.120147040193954	-0.79189076193286	-1.1470249456813	1.24430398278838	0.393573695772348	-0.700334821979943	-0.540162890551267	-0.325334329476915	0.0862764013939863	0.56401432407281	-0.789373754360094	-0.215887250403663	0.0632659968894185	-0.335213747391013
miR-15b-1-5p	0.502154358728365	-0.547529849594564	0	-1.09834109090138	1.36757180295927	0.639207321957413	-3.01603412146824	-0.450598500128233	2.06971608168365	-0.703069759476032	-1.32345151692651	0.76320347748115	0.208290823921172	1.09563440852111	2.90863599693425	0.272143895649621	-1.85798418240509	-1.16343190504877	-5.9991831179698
miR-15a-2-5p	-0.257623400379805	0	-0.127802072338991	1.2018016675625	1.49484522423681	-1.74235695414347	-0.733081339732383	0.0848705578476121	1.24021511266039	-0.0489398074032721	-0.373814209549613	0.698748060103695	0.899237275550085	1.1774894898903	2.7318216303936	1.57749831200554	-1.53760678518418	-1.11805069868283	-1.76966536979933
miR-155-5p	-2.88221022697155	-2.32597061751985	-1.77685590778633	0.631597303894919	1.00596135617699	0.411491156547676	1.12198567654258	-0.0298291939444173	-2.15150960909468	-2.76127670727837	-1.07164000665585	0.0337778702777474	0.55237914374845	-0.065887436609156	0	-0.149333519957883	1.74715505672306	1.02783493827525	2.31046978632766
miR-152a-5p	0.507796670544137	-1.9829572886309	0.180693377091827	-1.69536511175045	-1.2228127533502	1.83600642804514	1.47693371045738	2.28833899759661	-0.941568897158256	-0.496018548804677	0.322607489646312	-0.831798251963319	-0.0522048532052546	0	-2.03821581572967	-0.614850403010827	1.13649614913899	1.64401169398574	1.66552720729835
miR-152a-3p	-0.0453459770446383	-0.110196193912168	0.0531905281432392	0.659832259368771	-0.775638953531315	-1.34737424645476	-0.887276462277099	0.48961370214261	0.926597792276632	0.848909872043902	0.984825319786615	-0.625818564725804	0.437251190968278	-0.0152303709221062	0	0.785762152764232	0.969869062443274	-1.59576892706068	-1.15144629077614
