Gene	D1_P_M	D2_P_M	D3_P_M	D4_P_M	D5_P_M	D6_P_M	D7_P_M	D8_P_M	D9_P_M	D10_P_M	D15_M_MP	D21_M_MP	D22_M_MP	D24_M_MP	D46_M_MP	D48_M_MP	D50_M_MP	D52_M_MP	D57_M_MP	D60_M_MP	D12_M_MPP	D13_M_MPP	D20_M_MPP	D47_M_MPP	D61_M_MPP	D25_M_I	D45_M_I	D53_M_I	D56_M_I	D27_G_F	D28_G_F	D29_G_F	D31_G_F	D35_G_F	D36_G_F	D38_G_F	D41_G_F	D44_G_F
a103_gac-miR-ENSGACG00000022167-5p	319.520912589143	199.954240711758	117.547867129512	127.494426069065	17.6045972292636	90.434731320276	256.598135033717	164.55479847999	144.497954910075	134.456298889232	49.5123255118589	31.8948760551166	82.7218432447945	101.846550888909	3375.27162849904	2550.29347221548	2325.39442884231	173.551311783719	198.113755054569	300.886642920829	0	21.6838943221676	55.6392742944821	64.8416687719458	155.301235840861	0	542.547049740558	63.7445862850761	99.2831973451761	20.9070759582057	159.62025834742	140.871383473629	212.920133979028	190.695725789794	156.704132336333	27.3256840927083	43.7176055632597	164.091145869157
a109_gac-miR-ENSGACG00000022167-3p	116.729002122349	68.3479950069283	35.4730249917462	13.5093431596361	36.0094034234938	39.7912817809215	31.2380338301916	34.3984606992069	64.9429010831798	35.3378734260162	20.7416498765895	0	12.6515760256744	63.2151005517369	194.997824874572	240.804602755008	77.2678528571021	49.7638169989158	0	100.295547640276	0	3.61398238702794	5.85676571520864	0	160.31095312605	0	18.6746267120844	28.2579093841059	14.7868591790688	12.2982799754151	13.6817364297788	8.9442148237225	63.2308276664991	25.4260967719726	27.1055796473657	1.24207654966856	4.16358148221521	8.95042613831766
a10_gac-miR-99a-5p	22253.6917944438	35950.3182673144	11093.3191292816	16985.4660213999	13497.1246120905	35214.5608982649	13336.4091573611	12042.2503091034	16164.2880796034	13781.7706361463	23116.903330199	12805.0993692585	6684.89813233521	16968.5718981005	45189.2381995413	10459.251395612	16730.3298543449	21622.3784860289	14663.6392359089	14863.3109137151	9918.9394745732	11006.9856900914	11037.8070860251	16798.531128748	8238.4800754934	24938.9292452882	16685.2875297024	16256.1838240611	39034.1396200604	13475.2253690624	22329.7339981016	21334.1884082841	47362.4707723167	29497.904555027	23641.1477486868	43703.084438363	9401.36698684195	15364.898204112
a57_gac-miR-99a-3p	11.870745978544	29.8113595242985	0	6.75467157981803	0	0	0	0	4.87071758123848	6.03329546297838	21.4107353564795	5.54693496610723	0	25.168975219673	0	14.2247444665405	0	0	0	4.89246573855006	0	3.61398238702794	0	0	0	0	1.96575018021941	0	13.7306549519924	12.2982799754151	12.5415917272973	23.4785639122716	49.0361520678972	16.3453479248395	0.847049363980179	40.9885261390624	0	4.47521306915883
a244_gac-miR-96-5p	6.92460182081733	0	0	0	21.6056420540963	0	0	0	4.87071758123848	0	0	0	5.83918893492667	4.09727503576073	0	0	88.3061175509739	57.8504372612397	0	9.78493147710012	0	2.40932159135196	2.19628714320324	0	0	0	0	0	11.6182464978398	2.45965599508303	0	0	1.29042505441835	0	0	0	23.5936283992195	0
a165_gac-miR-92a-3p	395234.508897959	462462.166087783	543418.225343657	534316.47464624	686697.722868097	329775.673843266	341852.307576637	405516.945366061	446333.07627437	1603538.74904326	663102.517528809	881632.616980566	1052400.91453446	781340.398794484	511642.127881207	610912.132710869	835155.106738335	388493.056308574	1011536.61968992	564913.448967421	1357597.15549036	980743.867949309	833922.907317126	428117.118066772	872993.334117045	1641591.70523715	1121604.96045342	561112.049354724	374905.499523996	903466.082177927	558766.676370978	707383.416059124	540446.788316112	664280.388114786	667371.558793976	454595.669910768	886810.24099023	788277.455640844
a44_gac-miR-92a-2-5p	302.704022452872	181.776582465235	469.495919008406	238.102173188585	254.466450859356	219.937266570911	536.624795440078	428.586226549577	253.277314224401	503.349221482767	261.612422636984	81.8172907500816	85.6414377122578	112.967725985974	110.565776990737	103.63742397051	290.674303605289	334.661669317709	446.695512751766	181.021232326352	1063.91583618646	53.6074054075811	164.721535740243	227.59425738953	392.010377566043	628.10680593005	132.68813716481	317.408610058678	266.691567336776	212.760243574682	415.012671703292	621.622930248714	225.824384523211	414.082147429268	253.267759830074	193.763941748295	541.265592687978	310.281439461679
a181_gac-miR-9-5p	78.1490776920813	104.703311499975	77.2059955702712	98.7870718548386	140.836777834109	59.3251837461011	127.183423451494	112.492263367676	87.6729164622927	97.3946267595081	64.9012915493285	70.7234208178671	53.5258985701611	90.140050786736	44.2263107962947	0	95.6649606802217	39.1890058866462	41.3408106753437	85.6181504246261	0	72.8819781383968	117.867410018574	25.2882508210588	160.31095312605	0	114.013510452726	117.631762319883	19.0116760873742	94.6967558106965	59.2875245290417	35.77685929489	403.903042032943	130.762783398716	162.633477884194	158.364760082741	60.3719314921206	161.107670489718
a46_gac-miR-9-1/3/5/6-3p	9.89228831545333	13.8150202673579	38.9507725399566	27.8630202667494	32.8085675636277	11.5756456089953	42.3944744838315	122.718832764738	24.3535879061924	21.5474837963513	0	23.5744736059557	16.5443686489589	14.0478001226082	14.0720079806392	12.1926381141776	0	9.95276339978317	0	9.78493147710012	0	3.61398238702794	24.1591585752356	22.0461673824616	0	0	30.4691277934009	0	35.9109437205956	0	2.28028940496314	27.9506713241328	34.8414764692954	10.8968986165597	33.034925195227	36.6412582152225	27.7572098814348	29.8347537943922
a34_gac-miR-8160a-5p	0	0	9.04214362534708	0	0	13.0226013101197	0	0	0	0	0	0	0	1.17065001021735	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.23605370593062	0	0	0	0	0	2.98347537943922
a167_gac-miR-8159-5p	1691.58130194252	675.481780440813	1564.29084718504	166.333787653019	0	292.285051627132	59.1291354642913	194.304818544168	340.950230686694	68.0900487964702	99.0246510237178	30.5081423135897	25.3031520513489	232.374027028144	24.1234422525244	78.236094565973	0	20.5275745120528	97.1777497693145	58.7095888626007	0	10.2396167632458	54.1750828656799	8.42941694035295	250.485864259453	0	21.6232519824135	23.0006239172955	49.6415986725881	24.5965599508303	295.297477942727	13.4163222355837	190.982908053916	270.606315644565	113.504614773344	50.3041002615766	204.709422875581	95.471212142055
a125_gac-miR-737-5p	1089.14094353141	1058.66681627753	2819.06216257936	2191.04659370347	2576.67286719222	1839.8041739797	2394.17216427112	3491.908605033	1581.35964137543	2257.31440250577	4942.53443994732	1450.52349363704	1562.9562382487	1508.96786317016	3383.31277591654	3781.74992174742	750.601999183278	1487.93812826758	3004.45683817174	1614.51369372152	5445.08649373106	1347.41309996358	3637.78360485897	1868.08847731976	445.864838381826	6131.02849441791	1833.0620430546	477.098656113044	1104.26151940832	1508.99895298344	1987.27221642538	2587.11413776173	1469.7941369825	1707.18078326102	1164.69287547275	826.601943804425	3185.83376414167	965.154285248587
a97_gac-miR-734-5p	0	0	0	0	0	0	17.8503050458238	31.6093963181901	0	0	0	1.38673374152681	0	0	0	0	11.0382646938717	0	0	2.44623286927503	0	0	0.73209571440108	0	0	0	8.84587581098736	0	0	6.14913998770757	0	0	6.45212527209174	0	8.47049363980179	0	0	1.49173768971961
a127_gac-miR-734-3p	0	0	0	0	0	0	26.7754575687357	0	0	0	0	0	0	2.92662502554338	0	5.08026588090734	0	0	0	4.89246573855006	0	0	0	0	0	0	0	26.9435880174033	0	0	4.56057880992628	0	0	0	0	7.45245929801135	0	0
a177_gac-miR-730-5p	73.2029335343546	112.701481128446	73.0326985124187	115.673750804384	84.8221502864521	128.779057400073	70.2855761179312	32.5390844451957	56.8250384477823	46.5425650001189	132.478925018217	112.325433063671	100.239410049574	140.478001226082	62.318892485688	92.4608390325135	110.382646938717	31.7244333368089	374.751764303765	127.204109202302	0	59.630709385961	99.5650171585469	267.796092028136	291.816031862262	0	54.0581299560339	695.276002985675	88.1930529608745	92.2370998156135	225.748651091351	231.43155856382	96.7818790813761	152.556580631835	177.033317071857	144.701918036387	66.6173037154434	268.51278414953
a168_gac-miR-727b-5p	2.967686494636	12.360807607636	0.695549509642083	9.28767342224979	0	9.40521205730871	82.557660836935	36.257836953218	43.8364582311464	4.30949675927027	4.01451287933991	2.77346748305361	0	0	4.02057370875406	0	14.7176862584956	0	0	2.44623286927503	73.3735059438937	0	0	0	0	0	6.88012563076795	0	21.1240845415268	0	0	52.5472620893697	33.5510514148771	14.5291981554129	0.847049363980179	8.6945358476799	3.46965123517935	0
