group	description	lib.size	norm.factors
Immature	B9_Immature	1991371	1
Immature	B31_Immature	1193700	1
Immature	B27_Immature	3995062	1
Immature	B11_Immature	4183626	1
Immature	B14_Immature	1774618	1
Immature	B17_Immature	2961052	1
Immature	B19_Immature	4603404	1
Mature	B43_Mature	1697879	1
Mature	B54_Mature	433647	1
Mature	B60_Mature	1008138	1
Mature	B48_Mature	408643	1
Mature	B49_Mature	1641498	1
Mature	B59_Mature	404949	1
