Gene	T9_F	T26_F	T31_F	T32_F	T44_F	T47_F	T13_F	T23_F	T1_M	T3_M	T12_M	T41_M	T43_M	T45_M	T63_M	T69_M
miR-27c-1-5p	69	386	849	28	79	116	46	30	110	127	14	290	160	534	43	709
miR-27c-1-3p	414	5824	6436	226	1366	993	331	199	924	214	637	2404	2734	6091	505	4503
miR-27b-5p	18	182	70	4	1	33	2	0	44	0	93	94	59	217	6	300
miR-27b-3p	879	2532	6669	340	2034	556	410	1038	853	81	973	1928	1577	8646	308	5513
miR-27a-5p	10	3	188	9	0	11	3	0	57	0	7	58	48	226	28	278
miR-27a-3p_gac-miR-27b-3p_gac-miR-27e-3p	48	24	188	4	0	20	0	30	8	4	6	34	52	146	18	226
miR-27a-3p	21	130	497	13	0	11	6	9	0	7	187	34	92	310	28	508
miR-26b-3p	91	22	16	9	0	44	70	0	0	87	62	101	36	199	40	82
miR-26a-1b-3p	26	85	139	0	0	29	17	4	0	0	101	21	16	39	9	72
miR-26-5p	7709	54920	46899	3038	20497	13607	6763	4688	9818	3772	7628	20239	23655	95006	8194	66579
miR-24-3p	160	2151	2260	107	153	195	153	109	229	209	414	535	854	1583	153	1535
miR-24-3-5p	0	0	0	0	0	0	0	0	108	0	0	2	0	0	0	0
miR-24-2-5p	69	226	527	10	386	106	25	8	120	7	127	201	318	585	46	488
miR-23b-2-5p	115	422	1009	22	257	89	8	117	19	13	4	302	189	173	46	797
miR-23b-2-3p	447	2286	2854	75	529	256	80	397	213	36	533	700	862	3802	114	2143
miR-23a-3p_gac-miR-23b-2-3p	25	53	0	13	52	37	9	26	15	0	92	12	76	125	72	242
miR-23a-3p	4685	19150	14582	1281	6089	3011	1607	2104	3824	1748	2225	8250	12070	28048	1734	17758
miR-23a-3-5p	0	0	11	10	119	0	0	0	0	0	0	0	38	113	0	59
miR-22b-5p	550	1757	2133	270	1107	535	194	290	579	107	233	771	581	6635	377	1524
miR-22b-3p	2	263	142	9	70	9	8	2	0	0	3	0	15	209	3	56
miR-22a-5p	168	1300	956	88	538	344	81	301	206	186	380	563	814	3584	71	1167
miR-22a-3p	11536	96059	125230	15346	27742	13022	6936	23262	10883	8038	15293	31238	28304	91142	4664	105049
miR-223-5p	116	2003	804	206	215	409	458	150	273	172	110	1016	947	1050	158	851
miR-223-3p	5142	19438	11689	1407	8252	7202	3864	2140	5894	993	2854	16935	16758	22606	2465	9375
miR-222c-5p	13	506	107	30	0	27	0	73	0	0	0	42	49	70	0	86
miR-222a-5p	30	289	0	0	0	57	0	0	0	0	0	70	116	71	42	89
miR-222-3p	461	2774	1451	194	1122	599	80	215	369	85	208	1637	1519	2495	257	2549
miR-221a-5p	0	93	7	2	0	0	0	19	46	0	0	0	1	0	0	0
miR-221-3p	484	3582	1141	135	683	635	78	173	230	80	66	982	1399	2933	418	2339
miR-21a-3p	35	504	144	16	8	4	19	102	0	0	5	74	7	26	8	67
miR-218a-2-5p_gac-miR-218b-5p	0	0	214	8	0	8	0	0	0	0	0	17	5	43	0	46
miR-218a-2-5p	10	513	461	35	243	24	26	24	19	1	0	134	253	225	2	131
miR-2188-5p	1010	3782	4218	448	3625	4921	597	2357	1242	335	1480	3154	1889	23432	5587	12006
miR-2188-3p	1956	15926	20743	5623	6229	8609	2591	2496	3305	2258	2722	4317	2397	26636	6019	38775
miR-2184-5p	0	257	64	0	9	23	0	0	0	0	0	3	56	93	0	35
miR-217a-5p_gac-miR-217b-5p	0	0	43	0	0	2	0	0	0	0	0	0	2	0	0	0
miR-217a-5p	0	82	196	0	167	1	28	3	0	8	4	63	18	154	22	87
miR-214a-5p	0	0	67	0	0	9	0	0	0	0	0	33	10	12	0	0
miR-214a-3p	587	874	2396	265	5438	1379	68	983	354	276	437	1773	3958	12244	228	2724
miR-212a-5p	22	824	413	13	36	110	15	31	36	51	6	85	237	371	49	525
miR-212-3p	0	110	0	0	0	0	2	0	71	0	0	0	0	20	0	0
miR-210-5p	553	5187	7147	471	789	571	534	473	1367	45	766	1413	1923	6923	839	4307
miR-210-3p	6	520	99	17	229	177	48	0	6	0	107	253	294	1041	197	459
miR-21-5p	37602	393440	252287	22638	74569	44024	31117	20980	33616	11659	23896	105553	96627	278672	29202	283738
miR-20a-5p	33	465	555	30	42	46	33	45	41	0	5	96	133	235	103	257
miR-206-1-3p	17074	9638	4938	3616	6072	6136	1117	6743	3063	6901	4784	11235	7595	56896	706	23167
