Gene	D15_M_MP	D21_M_MP	D22_M_MP	D24_M_MP	D46_M_MP	D48_M_MP	D50_M_MP	D52_M_MP	D57_M_MP	D60_M_MP	D12_M_MPP	D13_M_MPP	D20_M_MPP	D47_M_MPP	D61_M_MPP
a145_gac-miR-29b-1a/2a-3p	47	71	19	194	60	82	67	184	262	13	0	178	23	156	0
a107_gac-miR-29b-1a-5p	40	9	30	21	0	31	9	85	0	7	0	0	11	52	0
a144_gac-miR-29a-3p_gac-miR-29b-1a/2a-3p	13	1	5	0	0	1	6	13	0	4	0	0	0	0	0
a146_gac-miR-29a-3p	1516	306	413	580	344	596	107	1118	2021	146	47	652	315	1279	199
a33_gac-miR-29a-3b-5p	110	55	57	146	29	57	50	124	445	15	0	60	139	26	152
a228_gac-miR-27e-3p	3991	1345	1240	3751	2047	1515	578	9943	3367	1319	263	2331	2380	5237	1024
a35_gac-miR-27e-1-5p	0	0	0	7	0	0	0	19	0	5	0	0	0	0	0
a59_gac-miR-27c-1-5p	492	557	880	706	307	838	228	1241	843	230	567	1325	952	952	741
a231_gac-miR-27c-1-3p	7243	12342	11635	9857	3766	8288	1756	10092	5311	4510	4112	24160	14216	11567	3634
a36_gac-miR-27b-5p	334	223	312	590	159	282	87	1149	865	157	727	319	321	464	181
a230_gac-miR-27b-3p	10640	5510	7552	16247	3502	4998	2737	25261	11387	5054	5039	12431	10449	11098	3760
a42_gac-miR-27a-5p	204	59	109	214	6	123	20	408	277	89	1	286	161	67	145
a227_gac-miR-27a-3p_gac-miR-27b-3p_gac-miR-27e-3p	168	45	91	140	12	105	3	230	236	57	0	98	70	124	0
a229_gac-miR-27a-3p	577	298	471	1068	488	632	169	1794	1067	685	560	1236	614	1035	341
a74_gac-miR-26b-3p	880	345	378	407	208	663	151	367	848	137	500	288	455	547	411
a73_gac-miR-26a-1b-3p	216	245	284	383	57	158	67	200	217	102	0	506	351	182	186
a226_gac-miR-26-5p	344753	169085	235151	232387	119012	212832	48560	290884	253433	61408	63713	260688	274315	259636	109397
a197_gac-miR-24-6-5p	60	50	66	234	52	60	15	363	246	156	25	151	87	239	0
a196_gac-miR-24-4a-5p	0	0	0	3	8	0	0	24	0	0	0	0	6	0	0
a206_gac-miR-24-3p	4382	3075	3818	4537	2404	3303	787	10568	3391	1630	1410	6435	4954	4252	976
a198_gac-miR-24-3-5p	0	16	8	37	0	13	6	65	0	3	0	4	9	0	0
a199_gac-miR-24-2-5p	769	396	534	586	298	379	141	754	555	194	493	1174	506	462	662
a119_gac-miR-23b-2-5p	187	58	74	159	75	164	92	503	366	116	883	144	157	184	171
a50_gac-miR-23b-2-3p	8029	2380	3822	8634	2903	3663	1189	15924	11294	1828	3591	5754	4841	5097	955
a49_gac-miR-23a-3p_gac-miR-23b-2-3p	65	50	57	103	24	71	9	0	126	22	259	150	69	153	0
a51_gac-miR-23a-3p	119710	69556	98806	86143	35836	76090	13754	129168	120630	29768	59413	159924	119961	59897	29117
a114_gac-miR-23a-3-5p	656	87	150	400	64	484	34	984	389	130	328	406	397	326	212
a112_gac-miR-23a-2-5p	181	197	400	213	208	522	36	575	527	103	0	436	316	370	155
a118_gac-miR-23a-1-5p	160	13	19	83	45	18	14	126	81	22	0	75	80	89	0
a79_gac-miR-22b-5p	6791	1237	2241	2543	1179	1539	506	2821	4708	643	2479	2047	2740	2150	1135
a14_gac-miR-22b-3p	259	132	135	198	45	138	39	193	13	30	141	248	188	135	116
a45_gac-miR-22a-5p	5896	732	1009	5281	893	1327	315	3784	3482	951	1926	2187	2208	3225	360
a13_gac-miR-22a-3p	114069	39338	62802	272223	50796	48994	14610	257065	154365	52657	50206	131658	108935	93826	90274
a219_gac-miR-223-5p	916	2285	2115	1033	308	2495	165	820	1265	351	421	3538	3195	803	1014
a173_gac-miR-223-3p	39678	47952	64021	33591	10734	59933	6386	40154	28337	7982	17047	105852	73131	33042	22288
a201_gac-miR-222c-5p	74	57	75	180	4	23	9	58	85	51	188	145	85	338	127
a200_gac-miR-222a-5p	99	115	144	357	46	709	119	226	234	98	178	321	124	980	108
a39_gac-miR-222-3p	7032	2670	3908	12364	3263	7965	2223	16984	12100	2879	3573	9168	4749	11304	4306
a25_gac-miR-221a-5p	10	38	17	19	0	0	0	83	0	12	0	45	22	0	0
a40_gac-miR-221-3p	4618	2119	2876	9089	1164	3818	1159	6755	5266	1566	3998	6000	3492	6613	1654
a77_gac-miR-21a-3p	0	22	11	46	0	38	19	145	0	37	161	172	63	186	0
a238_gac-miR-218b-5p	23	6	0	0	0	0	0	0	0	1	0	6	0	0	0
a237_gac-miR-218a-2-5p_gac-miR-218b-5p	6	11	6	44	0	29	7	59	99	11	0	26	1	20	0
a239_gac-miR-218a-2-5p	821	418	260	1529	132	448	226	2168	818	269	0	532	564	804	441
a15_gac-miR-2188-5p	50745	20031	46392	27085	8753	21316	6622	21249	17468	8182	11581	26037	19218	44477	8101
a108_gac-miR-2188-3p	136354	54636	112940	102918	44002	48608	14432	128867	87356	34464	28739	52738	77947	69149	82995
a137_gac-miR-2187a-5p	0	0	0	12	0	0	0	19	0	0	0	0	0	0	0
a5_gac-miR-2184-5p	297	98	90	507	260	165	47	223	189	122	0	300	212	546	308
a142_gac-miR-217a-5p	81	10	0	107	11	16	7	37	0	8	165	10	20	20	54
a135_gac-miR-216b-5p	24	0	1	3	31	0	4	9	0	0	0	0	0	26	0
a58_gac-miR-214a-3p	14652	1105	1308	7209	5005	3524	1790	8386	9919	1600	4465	4069	3017	18582	2618
a27_gac-miR-212b-5p	4	0	1	4	0	0	74	21	0	0	0	0	0	0	0
a26_gac-miR-212a-5p	29	17	25	131	71	95	4	23	84	11	0	69	67	10	0
a38_gac-miR-210-5p	3365	2201	2654	3732	2368	1938	577	5782	5183	1015	513	4252	3009	3862	1176
a94_gac-miR-210-3p	477	753	573	1081	15	733	326	273	394	223	148	1513	534	1553	144
a52_gac-miR-21-5p	202333	181408	212867	284965	85032	277075	54787	404544	346689	99862	107227	391938	277116	317490	160536
a56_gac-miR-20b-5p	0	0	0	0	0	0	0	0	0	0	204	12	0	0	0
a126_gac-miR-20a-5p	506	338	358	751	90	1094	146	128	481	180	0	1099	438	1013	71
a203_gac-miR-206-1-3p	28243	271	1100	16496	46479	6011	9623	1487	3082	2571	4325	2428	24509	79510	5111
a240_gac-miR-205-1a-3p	11	37	30	296	0	60	38	1453	86	61	0	256	154	27	0
a178_gac-miR-205-1-5p	5101	3010	6146	53536	1100	3475	3150	198196	25002	10425	4581	40547	17665	5876	2345
a101_gac-miR-204-2b-3p	9	0	1	0	0	0	0	0	119	0	0	6	0	0	0
a233_gac-miR-204-1/2b-5p	12851	852	1334	19391	9042	5373	916	5383	21285	826	873	2437	2727	10302	1527
a234_gac-miR-202-5p	324	49	11	14	0	83	0	23	152	23	509	28	30	0	0
a67_gac-miR-200b-5p	5	15	26	25	0	13	11	826	102	9	0	111	72	0	0
a133_gac-miR-200b-3p	1975	3413	9175	23478	441	2254	3774	145057	12821	4707	3960	39540	19716	2727	2794
a128_gac-miR-200a-3p	140	574	1367	3571	26	133	290	26961	1433	1034	350	7446	2864	431	427
a221_gac-miR-19c-3p	37	0	2	2	0	0	0	0	0	0	0	8	5	0	0
a220_gac-miR-19b-3p	1456	450	484	944	41	432	109	240	481	251	507	1213	815	845	0
a157_gac-miR-19b-2-5p	126	88	91	235	123	46	47	84	244	45	0	94	122	100	169
a106_gac-miR-19a-1-5p	12	6	0	0	0	12	0	12	0	0	0	0	0	48	0
a222_gac-miR-19a-1-3p	312	139	115	313	28	82	24	150	108	69	0	248	187	221	0
a72_gac-miR-199-5p	11190	3192	4488	21129	7827	4550	3025	11476	10602	5355	3743	13335	6610	21304	5501
a20_gac-miR-199-3p	67346	11212	19639	61556	20388	21813	5559	29433	62323	12519	11613	29862	42172	48126	13321
a153_gac-miR-196d-5p	130	4	20	29	99	14	14	23	0	15	0	13	70	61	0
a69_gac-miR-196d-3p	412	23	40	121	173	68	53	71	166	14	0	45	124	196	119
a154_gac-miR-196a-5p	1082	103	164	595	397	254	55	149	779	95	0	173	684	216	120
a216_gac-miR-194b-5p	4	0	5	10	0	0	0	0	0	0	0	0	0	36	0
a215_gac-miR-194a-5p	255	216	64	5723	520	325	181	721	3054	182	0	350	353	1219	384
a71_gac-miR-194a-3p	0	1	0	25	0	0	0	0	0	2	0	0	0	0	0
a207_gac-miR-193a-2-5p	1273	122	96	611	298	315	71	230	526	144	1065	226	154	1603	1
a195_gac-miR-190b-5p	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
a86_gac-miR-190a-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
a131_gac-miR-18c-5p	38	76	116	169	41	178	50	248	127	21	0	223	178	22	344
a130_gac-miR-18a/b-5p	86	165	207	224	0	268	49	71	0	69	0	259	177	302	178
a32_gac-miR-18a-3p	171	124	168	228	31	120	64	153	374	86	0	199	253	150	0
a76_gac-miR-184-5p	0	1	3	0	0	0	0	35	67	5	0	8	10	0	0
a204_gac-miR-184-3p	438	1180	2626	6928	207	919	574	8100	7208	2441	2383	13995	8361	1037	624
a159_gac-miR-183-5p	233	156	381	1103	30	136	350	6111	322	132	161	1196	770	212	340
a243_gac-miR-182b-5p	80	6	28	37	0	18	0	0	0	1	0	30	31	38	0
a241_gac-miR-182a-5p_gac-miR-182b-5p	0	16	10	35	0	13	12	170	1	1	0	39	37	23	0
a242_gac-miR-182a-5p	44	30	72	333	33	34	117	2108	425	61	0	227	258	60	292
a87_gac-miR-181b-3-3p	6	0	5	23	0	26	0	0	0	0	0	9	10	0	0
a8_gac-miR-181b-2/3-5p_gac-miR-181c-5p	1607	1179	1319	3446	640	1265	279	11338	3349	676	1084	2125	2138	2806	1069
a88_gac-miR-181b-2-3p	11	0	2	6	0	0	0	0	0	7	0	0	4	79	0
a7_gac-miR-181b-1-5p	800	682	774	1019	239	742	193	1358	1289	343	75	1582	969	967	340
a6_gac-miR-181a-5p	13793	15493	14951	24575	9047	14105	4865	57172	18814	5485	4315	31860	19841	30336	11563
a23_gac-miR-181a-3-3p	527	247	474	587	108	380	106	510	660	162	646	689	724	543	725
