Gene	D15_M_MP	D21_M_MP	D22_M_MP	D24_M_MP	D46_M_MP	D48_M_MP	D50_M_MP	D52_M_MP	D57_M_MP	D60_M_MP	D12_M_MPP	D13_M_MPP	D20_M_MPP	D47_M_MPP	D61_M_MPP
a103_gac-miR-ENSGACG00000022167-5p	46.0996136122312	31.3698564045091	82.1261740599923	94.0090314594952	3323.31279638188	2371.52815587293	2230.97530627438	145.864003811573	173.152879953691	275.810619509335	0	21.0142372567617	54.5148451549914	60.7806302486786	152.288986985994
a109_gac-miR-ENSGACG00000022167-3p	19.3120002970158	0	12.5604736797635	58.3504333196867	191.996034097107	223.925168502743	74.13050859456	41.8248039603078	0	91.9368731697783	0	3.50237287612696	5.73840475315699	0	157.201534953285
a10_gac-miR-99a-5p	21523.5358148999	12594.3153930103	6636.76105433044	15662.7690920159	44493.5963965863	9726.09993488285	16051.0201228316	18172.8773207537	12816.1286105561	13624.5961312091	9074.60693701852	10667.0603230573	10814.7410579185	15746.4378785252	8078.68513220864
a57_gac-miR-99a-3p	19.9349680485324	5.45562720078419	0	23.2321169698752	0	13.2276470845502	0	0	0	4.48472552047699	0	3.50237287612696	0	0	0
a244_gac-miR-96-5p	0	0	5.7971416983524	3.78197252997969	0	0	84.7205812509257	48.6213346038578	0	8.96945104095398	0	2.3349152507513	2.15190178243387	0	0
a165_gac-miR-92a-3p	617397.173882577	867120.11510624	1044822.71305518	721212.976676697	503765.924021885	568089.649004047	801244.89718063	326515.265507083	884090.450103715	517833.316947396	1242034.04975607	950455.85553014	817069.933784199	401304.1112169	856060.60877998
a44_gac-miR-92a-2-5p	243.580390843006	80.4705012115668	85.0247449091685	104.27438546944	108.863730673617	96.3728573302944	278.871913284297	281.27180663307	390.415165640842	165.934844257649	973.351843935606	51.9518643292165	161.39263368254	213.340012172862	384.406878440454
a181_gac-miR-9-5p	60.4278718971139	69.5592468099985	53.1404655682303	83.2033956595532	43.5454922694469	0	91.7806296885028	32.9370331187424	36.1321727816645	78.4826966083473	0	70.6311863352269	115.485395657284	23.7044457969847	157.201534953285
a46_gac-miR-9-1/3/5/6-3p	0	23.1864156033328	16.4252348119985	12.9667629599304	13.8553839039149	11.3379832153288	0	8.36496079206156	0	8.96945104095398	0	3.50237287612696	23.6709196067726	20.6654142845507	0
a167_gac-miR-8159-5p	92.1992272244625	30.0059496043131	25.1209473595271	214.491870628848	23.7520866924256	72.7520589650262	0	17.252731633627	84.9340684867697	53.8167062457239	0	9.92338981569304	53.0802439667021	7.90148193232822	245.627398364507
a125_gac-miR-737-5p	4601.86278045341	1426.64651300507	1551.70159459233	1392.84645461252	3331.23015861269	3516.66446062113	720.124940632868	1250.5616384132	2625.91738813239	1479.95942175741	4981.58293992452	1305.80135398267	3564.26665230463	1751.08995746443	437.216769088823
a177_gac-miR-730-5p	123.347614800294	110.47645081588	99.5175991550495	129.667629599304	61.3595572887661	85.9797060495764	105.900726563657	26.6633125246962	327.535800020803	116.602863532402	0	57.7891524560948	97.5528808036688	251.024002927043	286.155919094651
a168_gac-miR-727b-5p	3.73780650909983	2.7278136003921	0	0	3.95868111540427	0	14.1200968751543	0	0	2.2423627602385	67.1277133748694	0	0	0	0
a124_gac-miR-727b-3p	24.2957423091489	12.2751612017644	7.72952226446986	36.1988799298056	89.070325096596	16.0621428883824	0	47.0529044553463	0	4.48472552047699	0	22.1816948821374	18.6498154477602	27.3512836119054	0
a232_gac-miR-725-3p	97.8059369881122	519.648490874694	634.787015969588	1183.21712009365	69.2769195195747	163.455924687656	1249.62857345115	6427.4267486003	184.414855885638	3119.12659949175	333.872048101324	3735.86440120209	1161.30966192015	344.018367207521	0
a223_gac-miR-724-5p	102.166711248729	452.817057665088	438.650388508665	83.2033956595532	45.5248328271491	138.890294387777	105.900726563657	661.877522671871	114.496755308132	636.831023907733	0	92.2291524046765	157.806130711817	175.656021418681	622.665454854025
a248_gac-miR-722-3p	58.558968642564	75.0148740107826	12.5604736797635	487.87445636738	193.975374654809	31.1794538421541	98.84067812608	831.790788760621	32.3781808043487	73.9979710878703	0	39.6935592627722	77.4684641676193	147.696931504289	116.673014223141
a217_gac-miR-7147-5p	0	64.1036196092143	28.985708491762	7.56394505995938	0	52.9105883382008	0	9.41058089106925	0	20.1812648421465	0	35.6074575739574	20.8017172301941	30.3903151243393	0
a156_gac-miR-7133-3p	226.760261552056	549.654440479007	715.946999746521	570.537570236936	261.272953616682	646.265043273739	564.803875006171	368.581084900212	496.934687997178	361.020404398398	1985.56710087771	1238.67254052357	737.385010780673	254.063034439477	122.813699182254
a99_gac-miR-7132b-5p	161.971615394326	369.618742853129	438.650388508665	226.378070008784	520.566566675661	1081.83256512929	1164.90799220023	472.620284751478	278.733904315697	224.23627602385	0	1470.41287916063	474.852993323741	230.358588642492	400.372659334147
a98_gac-miR-7132a-5p_gac-miR-7132b-5p	37.3780650909983	165.032722823722	206.764720574569	122.103684539344	114.801752346724	479.97462278225	271.81186484672	163.639545494704	114.966004305296	134.54176561431	0	586.647456751265	228.10158893799	144.050093689368	297.209152021054
a100_gac-miR-7132a-5p	57.9360008910474	113.204264416272	94.6866477397558	81.0422684995648	162.305925731575	182.352563379871	204.741404689737	254.608494108374	132.797466197546	76.2403338481088	0	297.701694470791	105.44318733926	143.442287386882	0
a202_gac-miR-7-5p	289.680004455237	373.710463253717	404.833728601609	478.689665937429	126.677795692937	152.117941472327	2029.76392580343	173.050126385773	856.848668822329	345.323865076728	0	294.199321594664	383.755817867373	515.419744508795	429.847947137887
