Gene	D1_P_M	D2_P_M	D3_P_M	D4_P_M	D5_P_M	D6_P_M	D7_P_M	D8_P_M	D9_P_M	D10_P_M	D25_M_I	D45_M_I	D53_M_I	D56_M_I
a72_gac-miR-199-5p	7883	14972	5827	6737	5608	13510	7290	3731	4028	4295	4224	7695	35275	45158
a20_gac-miR-199-3p	34935	94236	33665	56175	31957	93704	56925	53787	30733	44603	13598	24518	71740	94222
a153_gac-miR-196d-5p	163	113	72	170	108	290	384	206	143	173	0	27	0	300
a69_gac-miR-196d-3p	492	638	148	490	149	1033	296	497	296	334	208	106	0	832
a154_gac-miR-196a-5p	988	1099	621	838	730	3064	620	1266	629	719	87	446	46	1315
a216_gac-miR-194b-5p	38	21	11	0	0	14	14	0	2	0	0	0	77	0
a215_gac-miR-194a-5p	6566	4179	4279	1337	512	1359	642	972	1027	372	1722	149	1224	973
a71_gac-miR-194a-3p	132	18	35	16	0	43	0	0	19	0	0	0	0	0
a207_gac-miR-193a-2-5p	569	2363	286	849	783	2837	602	845	642	1185	265	425	1123	1922
a195_gac-miR-190b-5p	0	15	84	6	0	0	0	0	0	0	0	0	0	0
a86_gac-miR-190a-3p	0	0	0	0	0	0	0	27	0	0	0	11	0	0
a131_gac-miR-18c-5p	114	48	539	255	734	165	134	28	80	273	86	38	134	24
a130_gac-miR-18a/b-5p	191	67	359	87	120	135	13	23	52	121	0	122	72	26
a32_gac-miR-18a-3p	86	168	221	94	248	183	64	94	110	546	349	140	77	184
a76_gac-miR-184-5p	58	9	58	0	43	128	3	0	13	6	0	9	0	0
a204_gac-miR-184-3p	21144	3240	13528	953	3016	40768	4235	11220	2374	3872	1247	5315	710	2042
a159_gac-miR-183-5p	855	280	847	387	522	1328	340	608	224	417	0	458	216	308
a243_gac-miR-182b-5p	6	10	0	10	0	41	19	81	15	77	0	21	0	21
a241_gac-miR-182a-5p_gac-miR-182b-5p	47	17	116	11	0	102	9	64	5	25	0	12	0	0
a242_gac-miR-182a-5p	601	123	365	157	205	784	166	562	93	164	0	132	0	83
a87_gac-miR-181b-3-3p	56	0	13	4	0	3	28	0	0	0	0	0	0	0
a8_gac-miR-181b-2/3-5p_gac-miR-181c-5p	3363	2388	2813	2309	1893	3015	1790	2305	1179	1190	500	1423	5013	2727
a88_gac-miR-181b-2-3p	2	0	0	3	0	0	20	0	3	0	0	0	0	0
a7_gac-miR-181b-1-5p	1562	1235	1383	1413	1268	1531	1207	676	753	660	136	798	1937	1798
a6_gac-miR-181a-5p	13642	12847	15513	14998	14663	15032	10826	7444	5473	7430	7179	17734	44452	35542
a23_gac-miR-181a-3-3p	482	586	373	486	200	669	466	517	252	502	363	538	745	942
a21_gac-miR-181a-2-3p_gac-miR-181a-3-3p	56	82	120	57	45	117	14	90	31	72	0	61	45	60
a22_gac-miR-181a-2-3p	1830	2825	1771	1778	402	2969	1812	1377	1110	1061	266	1896	8753	2049
a24_gac-miR-181a-1-3p	362	349	662	277	673	496	299	195	203	126	129	194	307	190
a2_gac-miR-17a-5p	134	103	389	140	1010	145	0	39	62	61	0	139	418	123
a31_gac-miR-17a-1-3p	14	0	8	0	0	0	0	0	0	17	0	0	0	0
a115_gac-miR-1788-5p	11	0	0	0	0	18	0	42	0	0	0	0	0	0
a150_gac-miR-16c-5p	77584	159188	177129	282618	552378	198670	144971	164221	134692	523267	156894	208579	182438	316702
a149_gac-miR-16a-5p_gac-miR-16c-5p	4589	8571	10973	13449	24623	9852	6531	7673	5948	22652	5117	9724	7061	16787
a151_gac-miR-16a-5p	5018	5536	11377	9137	40358	6265	3712	4153	4211	14853	8480	8993	9838	14493
a152_gac-miR-15c-5p	31040	65352	82425	81561	136126	58148	39935	46847	35314	150658	94873	72341	107995	137032
a147_gac-miR-15b-1-5p	82	177	83	72	436	77	10	121	64	145	223	276	429	1009
a148_gac-miR-15a-2-5p	24397	30453	48448	43951	87441	27198	15105	16738	16925	73178	30838	37002	30326	44975
a225_gac-miR-155-5p	1668	296	3159	2222	6230	812	1862	2072	1175	1005	385	739	1826	803
a235_gac-miR-153c-3p	0	9	0	0	0	0	0	0	0	0	0	0	0	0
a16_gac-miR-152a-5p	745	1310	1058	952	1305	1410	787	524	429	952	303	816	854	1483
a169_gac-miR-152a-3p	2711	3188	3859	1869	1711	1068	1863	1952	624	1729	593	889	1043	570
a29_gac-miR-150-5p	11182	30441	11188	2870	1701	4883	1657	8372	1668	6460	15440	3393	2816	5463
a78_gac-miR-150-3p	32	104	36	8	0	0	0	129	4	34	0	16	51	44
a170_gac-miR-148a-3p	2986	3159	3537	1460	1463	1481	1659	1970	724	1350	927	523	1533	977
a183_gac-miR-146a-5p	88678	30960	61150	47960	23411	29520	47667	47591	14962	13356	9469	50753	143706	49696
a53_gac-miR-146a-3p	986	463	825	545	422	684	529	332	253	371	693	584	3760	967
a121_gac-miR-145-5p	2576	10378	3701	2900	3222	4400	1054	1520	1073	2141	1237	2748	7207	6207
a113_gac-miR-145-3p	2286	4554	3071	3570	1264	3364	2008	3410	1204	1303	1012	2772	3661	2981
a48_gac-miR-144-5p	6899	7757	9329	12482	120039	8946	11862	12112	7672	19941	5260	13464	10589	18145
a80_gac-miR-144-3p	562	1005	1118	426	4959	423	711	578	377	1421	1219	739	1668	1548
a120_gac-miR-143-5p	31	60	81	16	153	29	0	0	11	16	0	7	0	43
a55_gac-miR-143-3p	34967	91279	57231	61569	46012	49184	52870	55918	17567	20318	8631	41753	226881	82237
a66_gac-miR-142-5p	1120	333	3814	1190	6256	325	611	707	318	832	449	679	2200	799
a218_gac-miR-142-3p	240	290	1557	528	2690	139	85	356	195	449	568	206	473	250
a65_gac-miR-140-5p	110	1232	231	163	1245	211	159	308	83	161	0	237	411	544
a139_gac-miR-140-3p	3109	28413	4432	4659	16157	4396	4569	3099	2620	9003	1860	16070	16201	18873
a180_gac-miR-139-5p	1559	1171	1241	869	777	997	877	711	384	424	1344	1765	1340	1394
a54_gac-miR-1388-3p	798	323	2851	4498	3930	309	931	560	529	631	954	734	2428	578
a160_gac-miR-135c-5p	295	149	62	118	46	101	211	92	68	12	135	3	173	23
a162_gac-miR-135b-5p	5	31	20	17	0	67	31	0	2	82	0	20	0	18
a163_gac-miR-135a-2-5p	0	0	0	0	0	0	0	0	0	0	0	7	14	51
a161_gac-miR-135a-1-5p	0	88	0	30	0	30	0	0	6	7	0	4	0	9
a246_gac-miR-133b-3p	5	124	7	57	68	110	29	1	5	5	47	0	0	435
a41_gac-miR-133a-5p	30	336	80	237	0	177	28	74	6	66	0	0	51	200
a245_gac-miR-133a-3p_gac-miR-133b-3p	23	155	3	86	0	85	0	46	7	0	2	0	0	612
a236_gac-miR-133a-3p	2068	27735	2135	23694	1701	25101	2408	4565	825	2392	1480	275	918	99934
a64_gac-miR-130c-3p	58	0	61	22	230	35	15	0	17	30	71	57	71	69
a104_gac-miR-130c-2-5p	120	116	237	238	401	420	94	370	122	171	55	47	95	339
a30_gac-miR-130b-5p	6070	10272	9907	7363	5776	15603	6269	9948	6071	10834	2920	5100	7600	11307
a62_gac-miR-130b-3p	49	50	101	48	85	28	0	131	11	66	135	80	188	178
a70_gac-miR-1306-5p	139	466	199	121	114	171	92	470	104	632	1288	175	179	316
a12_gac-miR-129-1b/2-3p	19	0	10	0	0	12	0	0	0	0	0	0	0	14
a96_gac-miR-129-1a/2-5p	0	16	16	70	26	16	9	0	16	45	0	60	0	98
a117_gac-miR-128-2-5p	5	0	23	3	0	10	0	84	2	0	0	0	0	6
a166_gac-miR-128-2-3p	19754	31648	36262	35791	43874	27553	28870	33709	18063	78737	36035	28827	24190	43297
a68_gac-miR-126b-5p	2885	3957	4937	1723	1683	3426	960	2212	877	1727	2378	4705	3597	5727
a179_gac-miR-126b-3p	83994	103435	174169	89415	87671	127712	97715	120211	38703	46678	51250	204115	173360	272683
a175_gac-miR-125b-2/3-5p	86821	268507	71650	86998	66031	248631	50476	81022	63185	88089	55336	99803	121223	255487
a28_gac-miR-125b-2-3p	490	714	152	344	142	730	872	916	252	273	455	80	94	563
a176_gac-miR-125a-5p	46645	98607	48189	47063	28406	128096	52304	63802	37896	36632	50524	124474	165819	196440
a61_gac-miR-125a-1-3p_gac-miR-125a-2-3p	51	152	58	66	112	134	8	131	38	52	18	59	191	196
a129_gac-miR-124-3p	42	19	96	15	99	20	0	0	6	3	0	12	0	0
a123_gac-miR-122-5p	616404	483946	466665	166239	6436	149433	175020	176633	198393	88943	603411	3325	47689	17015
a11_gac-miR-122-3p	2836	2132	2391	602	0	705	418	280	682	188	1375	61	523	252
a141_gac-miR-10c-5p	3632	8566	9152	6998	1732	5928	4280	6487	1277	1771	1911	11200	47287	2857
a140_gac-miR-10b-5p	31801	59112	37972	57380	27124	94933	55242	66993	28735	34197	8811	49398	62643	70206
a132_gac-miR-10545-5p	19	12	0	15	38	22	17	0	6	0	0	8	53	1
a90_gac-miR-10545-3p	142	43	26	20	0	54	117	23	25	49	0	26	66	107
a37_gac-miR-103-3p	2239	3402	4296	2970	5958	2238	1807	1994	1211	3993	1606	1929	4280	2129
a172_gac-miR-101b-5p	707	1076	894	796	2000	661	371	347	417	2216	2620	1062	1011	1703
a19_gac-miR-101b-3p	170	225	308	55	274	20	35	39	48	109	0	108	28	47
a171_gac-miR-101a-5p	0	0	5	0	34	0	0	0	0	0	0	0	0	8
a138_gac-miR-101a-3p	9037	15614	19973	9961	13771	6059	7531	9396	4147	28600	4562	10195	9578	8571
a9_gac-miR-100-2-5p	68691	172197	62711	118648	52939	171155	78163	102560	43147	72353	19828	101657	251180	181285
a18_gac-miR-1-3p	13716	80653	16642	159224	11798	111944	50679	95401	7615	12990	3622	1484	3907	220340
a194_gac-let-7j-5p	7576	5677	13782	16695	29908	9320	10970	10302	6304	12871	5525	9310	11295	14893
a92_gac-let-7j-3p	158	180	269	173	702	224	155	133	74	307	237	196	201	501
a192_gac-let-7i-5p	1615	1726	2074	2853	1728	2637	3499	2934	924	867	624	1607	6452	4055
a184_gac-let-7h-1-5p	20457	21007	38460	43747	42214	37150	39103	39178	19352	37490	31074	12602	49419	33605
a82_gac-let-7h-1-3p	1839	2336	2793	1005	1970	2053	588	1461	686	2484	2409	1227	613	1660
a191_gac-let-7g-5p	58007	67341	96961	141183	175048	110443	110645	122312	64322	174825	75457	79249	76542	180699
a84_gac-let-7g-1-3p	2	23	7	0	0	10	1	0	5	22	0	10	0	0
a186_gac-let-7f-5p	15463	12734	26778	34971	46827	25467	26431	32282	12562	23502	12311	14298	28120	23901
a185_gac-let-7e-5p	115280	109018	223202	273872	352959	193962	251905	269834	115940	246101	74508	129626	304643	191602
a83_gac-let-7e-1-3p	103	106	204	124	434	263	116	251	133	377	241	231	278	83
a193_gac-let-7d-5p	47605	76323	53826	57711	32866	123041	126193	146538	46865	47917	34434	25055	165762	88737
a91_gac-let-7c-2/d-3p	426	560	174	203	80	749	218	175	121	176	231	251	104	378
a189_gac-let-7c-2-5p	34607	67213	28062	48076	25665	101229	68391	84314	35642	32197	34110	10979	62550	86964
a190_gac-let-7b-5p	130398	259961	134944	115851	66552	351488	376309	442284	141933	136681	290373	48457	371933	371317
a81_gac-let-7b-1-3p	6227	11420	5656	2274	1283	7278	2033	4044	1714	3372	11929	3419	3949	6699
a187_gac-let-7a-5p_gac-let-7c-2-5p	1171	1697	1295	2414	1403	1624	1188	1806	1252	2361	1365	1928	2698	3621
a188_gac-let-7a-5p	582928	757392	929215	1259049	1185924	1239326	1034114	1375708	639553	1275707	945921	534204	1239377	1272516
a85_gac-let-7a-5-3p	462	466	1105	547	1683	699	198	430	296	604	451	582	194	651
a93_gac-let-7a-4-3p	12	0	0	0	0	0	0	0	0	5	0	4	0	0
a158_gac-let-7a-3/7-3p	485	1074	499	455	752	1219	211	293	257	569	269	392	407	537
a267_REV_gac-let-7b-5p_gac-let-7c-2-5p	12	0	1	0	0	9	10	0	12	6	1	0	0	1
a257_REV_gac-let-7f-3p	28	38	25	12	18	69	42	0	10	23	89	8	0	0
a266_REV_gac-let-7i-1-3p	0	0	8	0	0	5	0	0	0	0	0	0	0	6
a253_REV_gac-miR-103a-5p	0	0	7	13	35	0	0	0	0	25	0	9	0	0
a262_REV_gac-miR-10544-5p	7	0	0	0	27	0	0	0	0	0	0	0	0	0
a252_REV_gac-miR-10c-3p	0	4	0	0	0	0	0	0	4	0	0	4	52	19
a260_REV_gac-miR-132-3p	30	22	25	30	28	14	11	0	7	58	0	9	59	79
a263_REV_gac-miR-135b-3p	0	18	0	1	0	0	0	0	0	6	0	0	0	12
a258_REV_gac-miR-153c-5p	0	0	0	0	0	0	0	0	0	0	0	0	24	18
a250_REV_gac-miR-181b-2/3-5p	68	78	42	32	141	26	73	90	26	0	0	8	192	76
a265_REV_gac-miR-183a-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0
a268_REV_gac-miR-190a-5p	38	28	13	22	148	38	19	31	1	31	0	14	0	0
a261_REV_gac-miR-191-5p	38812	28481	71029	58787	44732	49574	24924	40303	35177	54417	43776	35494	23137	40320
a251_REV_gac-miR-193a-2-3p	0	8	0	4	0	12	0	0	0	0	0	0	36	0
a269_REV_gac-miR-27b-3p_gac-miR-27c-1-3p	52	50	42	26	32	70	0	205	7	75	0	30	0	176
a264_REV_gac-miR-459-5p	34	0	0	0	0	0	0	0	6	0	0	0	107	0
a255_REV_gac-miR-460-3p	25	9	31	0	27	0	24	0	5	0	187	18	0	0
a249_REV_gac-miR-728a-5p	0	0	18	9	0	0	0	0	0	0	0	0	0	0
a256_REV_gac-miR-730-3p	10	11	0	0	49	0	0	0	0	0	0	11	49	8
a254_REV_gac-miR-7bb-3p	0	0	0	6	66	0	0	0	0	3	0	0	0	38
a259_REV_gac-miR-9-7-3p	0	0	0	3	0	0	0	0	0	5	0	0	0	23
