Gene	D1_P_M	D2_P_M	D3_P_M	D4_P_M	D5_P_M	D6_P_M	D7_P_M	D8_P_M	D9_P_M	D10_P_M	D15_M_MP	D21_M_MP	D22_M_MP	D24_M_MP	D46_M_MP	D48_M_MP	D50_M_MP	D52_M_MP	D57_M_MP	D60_M_MP
a231_gac-miR-27c-1-3p	7601	7760	12886	7101	9117	6219	6223	3930	3101	4150	7243	12342	11635	9857	3766	8288	1756	10092	5311	4510
a36_gac-miR-27b-5p	643	923	550	514	250	519	835	233	265	349	334	223	312	590	159	282	87	1149	865	157
a230_gac-miR-27b-3p	13330	17581	12015	7902	6236	9420	9225	7293	3833	5481	10640	5510	7552	16247	3502	4998	2737	25261	11387	5054
a42_gac-miR-27a-5p	183	108	296	200	88	259	147	226	73	66	204	59	109	214	6	123	20	408	277	89
a227_gac-miR-27a-3p_gac-miR-27b-3p_gac-miR-27e-3p	117	75	174	109	11	132	12	58	52	80	168	45	91	140	12	105	3	230	236	57
a229_gac-miR-27a-3p	793	276	1170	257	458	490	345	233	123	174	577	298	471	1068	488	632	169	1794	1067	685
a74_gac-miR-26b-3p	325	383	422	233	1033	620	236	285	233	1438	880	345	378	407	208	663	151	367	848	137
a73_gac-miR-26a-1b-3p	216	149	230	197	436	179	77	218	159	317	216	245	284	383	57	158	67	200	217	102
a226_gac-miR-26-5p	100716	148537	144579	166390	293821	161126	104596	98255	71535	313173	344753	169085	235151	232387	119012	212832	48560	290884	253433	61408
a197_gac-miR-24-6-5p	147	88	141	112	15	141	75	220	35	1	60	50	66	234	52	60	15	363	246	156
a196_gac-miR-24-4a-5p	5	0	0	0	53	0	0	0	0	0	0	0	0	3	8	0	0	24	0	0
a206_gac-miR-24-3p	5577	5370	6682	3595	3213	4592	3186	2318	2040	1776	4382	3075	3818	4537	2404	3303	787	10568	3391	1630
a198_gac-miR-24-3-5p	20	8	42	15	0	12	16	0	2	0	0	16	8	37	0	13	6	65	0	3
a199_gac-miR-24-2-5p	816	617	547	558	264	723	342	407	275	389	769	396	534	586	298	379	141	754	555	194
a119_gac-miR-23b-2-5p	779	682	311	379	112	298	464	294	247	214	187	58	74	159	75	164	92	503	366	116
a50_gac-miR-23b-2-3p	13450	17098	11091	6861	4224	8852	6048	4203	3464	3092	8029	2380	3822	8634	2903	3663	1189	15924	11294	1828
a49_gac-miR-23a-3p_gac-miR-23b-2-3p	81	58	170	35	67	36	12	45	43	58	65	50	57	103	24	71	9	0	126	22
a51_gac-miR-23a-3p	95580	102048	166318	86670	68625	121288	60602	51289	44554	58529	119710	69556	98806	86143	35836	76090	13754	129168	120630	29768
a114_gac-miR-23a-3-5p	455	293	617	317	79	379	166	200	132	203	656	87	150	400	64	484	34	984	389	130
a112_gac-miR-23a-2-5p	389	256	380	325	209	365	100	189	157	159	181	197	400	213	208	522	36	575	527	103
a118_gac-miR-23a-1-5p	173	130	167	109	0	175	168	75	39	59	160	13	19	83	45	18	14	126	81	22
a79_gac-miR-22b-5p	1708	4986	2574	1993	2963	3119	1540	2771	1480	7601	6791	1237	2241	2543	1179	1539	506	2821	4708	643
a14_gac-miR-22b-3p	78	157	120	131	287	69	38	0	63	191	259	132	135	198	45	138	39	193	13	30
a45_gac-miR-22a-5p	2702	8129	2974	2935	2883	7279	2416	3244	1785	2986	5896	732	1009	5281	893	1327	315	3784	3482	951
a13_gac-miR-22a-3p	191622	218084	227863	218218	72301	268372	239869	214160	116813	111670	114069	39338	62802	272223	50796	48994	14610	257065	154365	52657
a219_gac-miR-223-5p	952	590	2168	1369	2656	1158	901	1056	789	1309	916	2285	2115	1033	308	2495	165	820	1265	351
a173_gac-miR-223-3p	41005	26536	88008	41121	74241	42136	10791	18426	21295	39005	39678	47952	64021	33591	10734	59933	6386	40154	28337	7982
a201_gac-miR-222c-5p	93	98	72	134	306	126	158	147	57	65	74	57	75	180	4	23	9	58	85	51
a200_gac-miR-222a-5p	215	112	180	181	284	114	320	182	54	16	99	115	144	357	46	709	119	226	234	98
a39_gac-miR-222-3p	11533	9460	10742	6730	8245	12339	5843	6293	4218	3430	7032	2670	3908	12364	3263	7965	2223	16984	12100	2879
a25_gac-miR-221a-5p	95	74	61	18	0	27	46	36	7	15	10	38	17	19	0	0	0	83	0	12
a40_gac-miR-221-3p	12117	8789	8401	4635	5859	8101	3125	3935	2516	2704	4618	2119	2876	9089	1164	3818	1159	6755	5266	1566
a77_gac-miR-21a-3p	43	89	206	35	57	9	40	19	32	32	0	22	11	46	0	38	19	145	0	37
a238_gac-miR-218b-5p	1	6	1	0	50	16	0	0	6	0	23	6	0	0	0	0	0	0	0	1
a237_gac-miR-218a-2-5p_gac-miR-218b-5p	24	29	0	5	22	18	0	12	2	0	6	11	6	44	0	29	7	59	99	11
a239_gac-miR-218a-2-5p	588	735	417	632	412	626	929	1000	229	591	821	418	260	1529	132	448	226	2168	818	269
a15_gac-miR-2188-5p	13244	29628	11272	10353	36549	16073	4535	5089	10512	41236	50745	20031	46392	27085	8753	21316	6622	21249	17468	8182
a108_gac-miR-2188-3p	18835	67080	31559	55669	108095	57840	46899	56367	51935	166527	136354	54636	112940	102918	44002	48608	14432	128867	87356	34464
a137_gac-miR-2187a-5p	1	1	0	1	0	2	27	0	0	3	0	0	0	12	0	0	0	19	0	0
a5_gac-miR-2184-5p	158	227	112	112	242	141	410	204	117	76	297	98	90	507	260	165	47	223	189	122
a142_gac-miR-217a-5p	158	154	441	126	25	87	52	78	50	35	81	10	0	107	11	16	7	37	0	8
a135_gac-miR-216b-5p	34	36	82	17	0	14	0	0	0	0	24	0	1	3	31	0	4	9	0	0
a58_gac-miR-214a-3p	5841	17914	3447	5621	6276	16968	4033	3310	3767	5642	14652	1105	1308	7209	5005	3524	1790	8386	9919	1600
a27_gac-miR-212b-5p	10	5	15	19	0	13	0	0	0	0	4	0	1	4	0	0	74	21	0	0
a26_gac-miR-212a-5p	12	54	27	67	21	75	37	0	8	41	29	17	25	131	71	95	4	23	84	11
a38_gac-miR-210-5p	4045	3513	4853	4026	3499	4012	1424	1723	1595	2803	3365	2201	2654	3732	2368	1938	577	5782	5183	1015
a94_gac-miR-210-3p	523	307	798	389	1467	249	266	216	135	482	477	753	573	1081	15	733	326	273	394	223
a52_gac-miR-21-5p	195784	212114	296374	263999	451595	300090	212405	227740	166499	231336	202333	181408	212867	284965	85032	277075	54787	404544	346689	99862
a126_gac-miR-20a-5p	178	384	503	377	1463	259	183	138	102	399	506	338	358	751	90	1094	146	128	481	180
a203_gac-miR-206-1-3p	8246	72617	9943	101256	9786	119642	31322	56500	9443	10888	28243	271	1100	16496	46479	6011	9623	1487	3082	2571
a240_gac-miR-205-1a-3p	491	107	481	79	141	1331	222	401	44	75	11	37	30	296	0	60	38	1453	86	61
a178_gac-miR-205-1-5p	31233	16239	26060	3652	4571	117044	5190	14584	5183	12248	5101	3010	6146	53536	1100	3475	3150	198196	25002	10425
a101_gac-miR-204-2b-3p	94	95	60	62	70	105	169	233	108	27	9	0	1	0	0	0	0	0	119	0
a233_gac-miR-204-1/2b-5p	58764	24841	14589	24307	23732	71781	32561	37371	40880	28229	12851	852	1334	19391	9042	5373	916	5383	21285	826
a234_gac-miR-202-5p	67	103	65	30	0	0	8	117	0	220	324	49	11	14	0	83	0	23	152	23
a67_gac-miR-200b-5p	101	29	79	19	0	179	0	36	4	57	5	15	26	25	0	13	11	826	102	9
a133_gac-miR-200b-3p	59446	11414	45406	4794	8728	71177	9047	28174	6433	15103	1975	3413	9175	23478	441	2254	3774	145057	12821	4707
a128_gac-miR-200a-3p	10690	1046	8349	454	835	5876	1914	3295	746	928	140	574	1367	3571	26	133	290	26961	1433	1034
a221_gac-miR-19c-3p	22	0	10	31	0	15	0	0	2	48	37	0	2	2	0	0	0	0	0	0
a220_gac-miR-19b-3p	382	741	507	504	1508	300	228	286	203	1357	1456	450	484	944	41	432	109	240	481	251
a157_gac-miR-19b-2-5p	110	107	89	114	244	142	56	166	51	221	126	88	91	235	123	46	47	84	244	45
a106_gac-miR-19a-1-5p	0	0	0	0	0	0	0	0	1	11	12	6	0	0	0	12	0	12	0	0
a222_gac-miR-19a-1-3p	48	238	169	118	385	50	31	35	72	320	312	139	115	313	28	82	24	150	108	69
a72_gac-miR-199-5p	7883	14972	5827	6737	5608	13510	7290	3731	4028	4295	11190	3192	4488	21129	7827	4550	3025	11476	10602	5355
a20_gac-miR-199-3p	34935	94236	33665	56175	31957	93704	56925	53787	30733	44603	67346	11212	19639	61556	20388	21813	5559	29433	62323	12519
a153_gac-miR-196d-5p	163	113	72	170	108	290	384	206	143	173	130	4	20	29	99	14	14	23	0	15
a69_gac-miR-196d-3p	492	638	148	490	149	1033	296	497	296	334	412	23	40	121	173	68	53	71	166	14
a154_gac-miR-196a-5p	988	1099	621	838	730	3064	620	1266	629	719	1082	103	164	595	397	254	55	149	779	95
a216_gac-miR-194b-5p	38	21	11	0	0	14	14	0	2	0	4	0	5	10	0	0	0	0	0	0
a215_gac-miR-194a-5p	6566	4179	4279	1337	512	1359	642	972	1027	372	255	216	64	5723	520	325	181	721	3054	182
a71_gac-miR-194a-3p	132	18	35	16	0	43	0	0	19	0	0	1	0	25	0	0	0	0	0	2
a207_gac-miR-193a-2-5p	569	2363	286	849	783	2837	602	845	642	1185	1273	122	96	611	298	315	71	230	526	144
a195_gac-miR-190b-5p	0	15	84	6	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
a131_gac-miR-18c-5p	114	48	539	255	734	165	134	28	80	273	38	76	116	169	41	178	50	248	127	21
a130_gac-miR-18a/b-5p	191	67	359	87	120	135	13	23	52	121	86	165	207	224	0	268	49	71	0	69
a32_gac-miR-18a-3p	86	168	221	94	248	183	64	94	110	546	171	124	168	228	31	120	64	153	374	86
a76_gac-miR-184-5p	58	9	58	0	43	128	3	0	13	6	0	1	3	0	0	0	0	35	67	5
a204_gac-miR-184-3p	21144	3240	13528	953	3016	40768	4235	11220	2374	3872	438	1180	2626	6928	207	919	574	8100	7208	2441
a159_gac-miR-183-5p	855	280	847	387	522	1328	340	608	224	417	233	156	381	1103	30	136	350	6111	322	132
a243_gac-miR-182b-5p	6	10	0	10	0	41	19	81	15	77	80	6	28	37	0	18	0	0	0	1
a241_gac-miR-182a-5p_gac-miR-182b-5p	47	17	116	11	0	102	9	64	5	25	0	16	10	35	0	13	12	170	1	1
a242_gac-miR-182a-5p	601	123	365	157	205	784	166	562	93	164	44	30	72	333	33	34	117	2108	425	61
a87_gac-miR-181b-3-3p	56	0	13	4	0	3	28	0	0	0	6	0	5	23	0	26	0	0	0	0
a8_gac-miR-181b-2/3-5p_gac-miR-181c-5p	3363	2388	2813	2309	1893	3015	1790	2305	1179	1190	1607	1179	1319	3446	640	1265	279	11338	3349	676
a88_gac-miR-181b-2-3p	2	0	0	3	0	0	20	0	3	0	11	0	2	6	0	0	0	0	0	7
a7_gac-miR-181b-1-5p	1562	1235	1383	1413	1268	1531	1207	676	753	660	800	682	774	1019	239	742	193	1358	1289	343
a6_gac-miR-181a-5p	13642	12847	15513	14998	14663	15032	10826	7444	5473	7430	13793	15493	14951	24575	9047	14105	4865	57172	18814	5485
a23_gac-miR-181a-3-3p	482	586	373	486	200	669	466	517	252	502	527	247	474	587	108	380	106	510	660	162
a21_gac-miR-181a-2-3p_gac-miR-181a-3-3p	56	82	120	57	45	117	14	90	31	72	142	28	48	69	26	61	10	99	181	32
a22_gac-miR-181a-2-3p	1830	2825	1771	1778	402	2969	1812	1377	1110	1061	1545	452	601	2862	835	854	216	5562	2674	826
a24_gac-miR-181a-1-3p	362	349	662	277	673	496	299	195	203	126	127	183	167	320	33	220	60	1314	339	71
a2_gac-miR-17a-5p	134	103	389	140	1010	145	0	39	62	61	297	157	110	265	40	355	64	170	0	68
a31_gac-miR-17a-1-3p	14	0	8	0	0	0	0	0	0	17	19	3	20	0	0	0	0	0	191	0
a115_gac-miR-1788-5p	11	0	0	0	0	18	0	42	0	0	0	0	3	0	0	0	0	26	0	0
a150_gac-miR-16c-5p	77584	159188	177129	282618	552378	198670	144971	164221	134692	523267	329043	252911	344638	298756	74262	270599	76157	179884	458349	63681
a149_gac-miR-16a-5p_gac-miR-16c-5p	4589	8571	10973	13449	24623	9852	6531	7673	5948	22652	18140	11689	16406	14786	5845	16368	2997	14983	16488	3484
a151_gac-miR-16a-5p	5018	5536	11377	9137	40358	6265	3712	4153	4211	14853	9883	11120	15422	15286	5295	10353	3911	8657	18213	3484
a152_gac-miR-15c-5p	31040	65352	82425	81561	136126	58148	39935	46847	35314	150658	101428	74835	145003	171269	34562	68038	34409	90140	158910	37086
a147_gac-miR-15b-1-5p	82	177	83	72	436	77	10	121	64	145	355	329	447	689	193	317	215	356	155	199
a148_gac-miR-15a-2-5p	24397	30453	48448	43951	87441	27198	15105	16738	16925	73178	70544	58372	65710	60814	8952	41298	12221	25319	36787	13991
a225_gac-miR-155-5p	1668	296	3159	2222	6230	812	1862	2072	1175	1005	542	401	562	1331	132	1399	496	1938	1625	230
a16_gac-miR-152a-5p	745	1310	1058	952	1305	1410	787	524	429	952	956	429	614	1448	274	689	202	931	1246	241
a169_gac-miR-152a-3p	2711	3188	3859	1869	1711	1068	1863	1952	624	1729	1961	832	1209	3221	197	994	154	664	575	838
a29_gac-miR-150-5p	11182	30441	11188	2870	1701	4883	1657	8372	1668	6460	9354	924	2164	15122	1005	2432	882	289263	13481	996
a78_gac-miR-150-3p	32	104	36	8	0	0	0	129	4	34	2	0	1	4	0	0	0	624	68	3
a170_gac-miR-148a-3p	2986	3159	3537	1460	1463	1481	1659	1970	724	1350	818	569	711	3544	335	407	231	1409	3438	671
a183_gac-miR-146a-5p	88678	30960	61150	47960	23411	29520	47667	47591	14962	13356	37344	27416	27329	66170	14462	40222	12521	105725	92886	33805
a53_gac-miR-146a-3p	986	463	825	545	422	684	529	332	253	371	1469	447	337	1065	237	283	217	2794	1672	551
a121_gac-miR-145-5p	2576	10378	3701	2900	3222	4400	1054	1520	1073	2141	14238	2290	2749	9301	2932	3314	912	9999	7055	1371
a113_gac-miR-145-3p	2286	4554	3071	3570	1264	3364	2008	3410	1204	1303	4783	2209	2534	6724	1755	2318	281	5467	6095	916
a48_gac-miR-144-5p	6899	7757	9329	12482	120039	8946	11862	12112	7672	19941	10985	10750	17366	28440	9719	20973	5863	9507	29623	9054
a80_gac-miR-144-3p	562	1005	1118	426	4959	423	711	578	377	1421	1665	941	858	2314	822	1412	505	996	360	1261
a120_gac-miR-143-5p	31	60	81	16	153	29	0	0	11	16	138	50	33	50	0	33	5	35	0	26
a55_gac-miR-143-3p	34967	91279	57231	61569	46012	49184	52870	55918	17567	20318	69992	35884	42075	158194	45062	60269	14818	139549	127747	28918
a66_gac-miR-142-5p	1120	333	3814	1190	6256	325	611	707	318	832	931	1039	827	2086	463	1614	456	1524	1182	536
a218_gac-miR-142-3p	240	290	1557	528	2690	139	85	356	195	449	510	329	416	1131	151	628	126	410	67	231
a65_gac-miR-140-5p	110	1232	231	163	1245	211	159	308	83	161	347	219	320	555	151	350	167	552	415	112
a139_gac-miR-140-3p	3109	28413	4432	4659	16157	4396	4569	3099	2620	9003	11026	8845	10971	13167	2893	17789	5224	5552	10188	3662
a180_gac-miR-139-5p	1559	1171	1241	869	777	997	877	711	384	424	2011	781	1072	1995	502	1172	206	2445	606	324
a54_gac-miR-1388-3p	798	323	2851	4498	3930	309	931	560	529	631	246	523	1495	2499	117	751	553	1964	1689	204
a160_gac-miR-135c-5p	295	149	62	118	46	101	211	92	68	12	0	28	0	93	11	40	52	77	48	34
a162_gac-miR-135b-5p	5	31	20	17	0	67	31	0	2	82	18	1	4	26	9	31	1	0	0	7
a161_gac-miR-135a-1-5p	0	88	0	30	0	30	0	0	6	7	89	5	1	32	0	7	3	17	101	0
a246_gac-miR-133b-3p	5	124	7	57	68	110	29	1	5	5	73	6	4	31	34	0	17	19	0	0
a41_gac-miR-133a-5p	30	336	80	237	0	177	28	74	6	66	214	1	0	79	54	17	15	0	27	14
a245_gac-miR-133a-3p_gac-miR-133b-3p	23	155	3	86	0	85	0	46	7	0	115	0	0	41	64	35	13	0	0	7
a236_gac-miR-133a-3p	2068	27735	2135	23694	1701	25101	2408	4565	825	2392	16457	427	387	7266	10130	1712	3647	1041	1122	1494
a64_gac-miR-130c-3p	58	0	61	22	230	35	15	0	17	30	53	45	48	23	25	33	7	81	65	21
a104_gac-miR-130c-2-5p	120	116	237	238	401	420	94	370	122	171	196	116	136	115	64	270	21	113	259	32
a30_gac-miR-130b-5p	6070	10272	9907	7363	5776	15603	6269	9948	6071	10834	9418	5902	7467	4696	2823	8382	1481	5452	15224	1628
a62_gac-miR-130b-3p	49	50	101	48	85	28	0	131	11	66	121	191	92	77	19	258	28	43	57	13
a70_gac-miR-1306-5p	139	466	199	121	114	171	92	470	104	632	735	108	218	161	198	163	18	245	874	37
a12_gac-miR-129-1b/2-3p	19	0	10	0	0	12	0	0	0	0	5	0	5	7	0	0	0	14	0	0
a96_gac-miR-129-1a/2-5p	0	16	16	70	26	16	9	0	16	45	28	2	6	17	0	0	55	34	0	8
a117_gac-miR-128-2-5p	5	0	23	3	0	10	0	84	2	0	0	0	0	8	0	0	0	58	0	0
a166_gac-miR-128-2-3p	19754	31648	36262	35791	43874	27553	28870	33709	18063	78737	55605	19579	37613	40393	8729	18818	6420	34589	53158	9849
a68_gac-miR-126b-5p	2885	3957	4937	1723	1683	3426	960	2212	877	1727	8937	2165	2965	6220	1648	2722	414	3604	4126	2211
a179_gac-miR-126b-3p	83994	103435	174169	89415	87671	127712	97715	120211	38703	46678	150054	69566	93678	195199	83369	160186	24449	195958	243737	82067
a175_gac-miR-125b-2/3-5p	86821	268507	71650	86998	66031	248631	50476	81022	63185	88089	226878	21030	29032	108893	102515	72155	18147	119745	206764	25882
a28_gac-miR-125b-2-3p	490	714	152	344	142	730	872	916	252	273	273	26	24	112	167	50	7	256	632	36
a176_gac-miR-125a-5p	46645	98607	48189	47063	28406	128096	52304	63802	37896	36632	97781	35156	47357	95787	86532	89601	16893	136747	229426	30144
a61_gac-miR-125a-1-3p_gac-miR-125a-2-3p	51	152	58	66	112	134	8	131	38	52	28	17	33	46	31	40	24	71	105	2
a129_gac-miR-124-3p	42	19	96	15	99	20	0	0	6	3	5	2	0	0	0	0	0	0	18	0
a123_gac-miR-122-5p	616404	483946	466665	166239	6436	149433	175020	176633	198393	88943	39735	5578	1075	287681	7512	9283	2855	31558	88669	5220
a11_gac-miR-122-3p	2836	2132	2391	602	0	705	418	280	682	188	134	102	18	2435	104	77	15	226	729	36
a141_gac-miR-10c-5p	3632	8566	9152	6998	1732	5928	4280	6487	1277	1771	19851	2049	2431	8093	2391	4871	1516	7425	20552	6156
a140_gac-miR-10b-5p	31801	59112	37972	57380	27124	94933	55242	66993	28735	34197	98076	13208	30153	97615	35581	53042	6086	32891	103919	10814
a132_gac-miR-10545-5p	19	12	0	15	38	22	17	0	6	0	27	6	3	53	0	24	0	16	100	0
a90_gac-miR-10545-3p	142	43	26	20	0	54	117	23	25	49	10	6	4	36	0	0	0	159	181	3
a37_gac-miR-103-3p	2239	3402	4296	2970	5958	2238	1807	1994	1211	3993	5482	2540	2682	3486	585	2442	763	3147	1865	843
a172_gac-miR-101b-5p	707	1076	894	796	2000	661	371	347	417	2216	3522	769	804	2225	486	959	457	1354	1027	241
