Gene	D1_P_M	D2_P_M	D3_P_M	D4_P_M	D5_P_M	D6_P_M	D7_P_M	D8_P_M	D9_P_M	D10_P_M	D15_M_MP	D21_M_MP	D22_M_MP	D24_M_MP	D46_M_MP	D48_M_MP	D50_M_MP	D52_M_MP	D57_M_MP	D60_M_MP
a103_gac-miR-ENSGACG00000022167-5p	296.433359768598	213.358233384124	121.023767914767	121.813278887675	16.3543268441898	88.2874857426091	256.088377282649	155.918041420265	147.282814445744	137.078621471808	51.3823007883119	32.1799308832949	88.9896864496732	98.548358128243	3364.51040829845	2559.00521695765	2216.21092985254	164.703212030094	200.417263941022	287.052225932865
a109_gac-miR-ENSGACG00000022167-3p	108.294540101222	72.9297234113006	36.521965465403	12.9073672993563	33.4520321812972	38.846493726748	31.1759763648443	32.5930369070611	66.1945233464016	36.0270735919496	21.5250178978064	0	13.6101873393618	61.1679464244267	194.376122456789	241.627185824288	73.6399201375053	47.2267274638262	0	95.6840753109551
a10_gac-miR-99a-5p	20645.71164506	38360.2586662227	11421.3495530924	16228.5942475719	12538.5650400431	34378.440648286	13309.9150523339	11410.2055961395	16475.8168609194	14050.5587008604	23989.9796248132	12919.5426859281	7191.41360262124	16419.0626559642	45045.1634711976	10494.9799614988	15944.7960412017	20520.0130830325	14834.1363489355	14179.9132094967
a57_gac-miR-99a-3p	11.0130040780903	31.8097729772694	0	6.45368364967814	0	0	0	0	4.96458925098012	6.1509637839914	22.2193733138646	5.5965097188339	0	24.3539045949106	0	14.2733358714769	0	0	0	4.66751586882708
a244_gac-miR-96-5p	6.42425237888603	0	0	0	20.0712193087783	0	0	0	4.96458925098012	0	0	0	6.28162492585929	3.96458912010173	0	0	84.1599087285775	54.901070676698	0	9.33503173765416
a165_gac-miR-92a-3p	366676.135279338	493463.456500138	559487.150134208	510507.351161403	637928.766940352	321945.614009569	341173.183920946	384233.145847118	454935.100602814	1634812.82030947	688146.489927876	889512.052966319	1132141.44813757	756037.516915537	510010.883285797	612998.994720302	795942.336800521	368686.664294132	1023297.96150986	538939.387309987
a44_gac-miR-92a-2-5p	280.831603991304	193.962030349204	483.378954689157	227.492348651155	236.394360747834	214.715165326025	535.558736838932	406.091622004194	258.158641050966	513.166121407283	271.492967678783	82.5485183528	92.1304989126028	109.309385739948	110.213265310551	103.991447063618	277.026366231568	317.599742194231	451.889332246423	172.698087146602
a181_gac-miR-9-5p	72.502276847428	111.722129481141	79.4889836599948	94.3851233765429	130.834614753518	57.9165906471516	126.930760914009	106.588039614984	89.3626065176422	99.2941296558612	67.3524753576521	71.3554989151322	57.5815618203768	87.2209606422381	44.0853061242203	0	91.1732344559589	37.1910478777631	41.8214886814598	81.6815277044739
a46_gac-miR-9-1/3/5/6-3p	9.17750339840861	14.7411143065395	40.1025503149523	26.6214450549223	30.4785182096264	11.300798175054	42.3102536380029	116.277861398164	24.8229462549006	21.9677277999693	0	23.7851663050441	17.7979372899346	13.5928769832059	14.0271428577064	12.2342878898374	0	9.44534549276524	0	9.33503173765416
a167_gac-miR-8159-5p	1569.35308112787	720.762904777641	1610.54706532728	158.921959873324	0	285.345153920113	59.0116695477409	184.106613880426	347.521247568608	69.4180198479029	102.764601576624	30.7808034535864	27.2203746787236	224.848840097198	24.046530613211	78.5033472931232	0	19.4810250788283	98.3076552122627	56.0101904259249
a125_gac-miR-737-5p	1010.44312416479	1129.63486475376	2902.42207904467	2093.41363386435	2393.67874719505	1796.12060994764	2389.41590281985	3308.63369251139	1611.83664348488	2301.33916432478	5129.20345842244	1463.48729147506	1681.381605155	1460.10153594604	3372.52591850285	3794.66829383123	715.359224192909	1412.0791511684	3039.39026833051	1540.28023671294
a97_gac-miR-734-5p	0	0	0	0	0	0	17.8148436370539	29.950358238921	0	0	0	1.39912742970847	0	0	0	0	10.5199885910722	0	0	2.33375793441354
a177_gac-miR-730-5p	67.9135251482237	120.256458816506	75.1922818405356	110.519332500738	78.7981202492779	125.721379697475	70.1459468208996	30.8312511283011	57.9202079281014	47.4502920479337	137.482372379537	113.329321806386	107.834561227251	135.928769832059	62.1202040841285	92.7766831646001	105.199885910722	30.1070387581892	379.10907921635	121.355412589504
a168_gac-miR-727b-5p	2.75325101952258	13.1894180637459	0.716116969909863	8.87381501830745	0	9.18189851723134	82.3936518213741	34.3548226858212	44.6813032588211	4.39354555999386	4.16613249634962	2.79825485941695	0	0	4.00775510220184	0	14.0266514547629	0	0	2.33375793441354
a124_gac-miR-727b-3p	55.0650203904517	20.1720511563172	55.8571236529693	61.3099946719424	0	74.1614880237916	160.333592733485	86.327503159243	77.7785649320219	54.4799649439238	27.0798612262725	12.5921468673763	8.37549990114571	37.9467815781166	90.1744897995414	17.3319078439363	0	53.1300683968045	0	4.66751586882708
a232_gac-miR-725-3p	4039.01924563963	499.646190179549	1775.97008537646	116.973016150416	835.557426039513	7504.43628812177	263.88237137386	1277.29468960104	297.875355058807	731.964690294977	109.013800321148	533.067550718929	687.837929381592	1240.35002471754	70.1357142885322	176.377650411822	1241.35865374652	7257.56734300349	213.452533140438	3246.25728676923
a223_gac-miR-724-5p	225.766583600852	392.579149426788	238.466950979984	742.173619712986	135.294885711024	869.455159593214	1909.52855234671	3279.56422716185	148.937677529404	250.43209691965	113.874288233556	464.510306663213	475.309619390019	87.2209606422381	46.0891836753212	149.870026650508	105.199885910722	747.36296211505	132.52523686073	662.787253373445
