Gene	D1_P_M	D2_P_M	D3_P_M	D4_P_M	D5_P_M	D6_P_M	D7_P_M	D8_P_M	D9_P_M	D10_P_M	D27_G_F	D28_G_F	D29_G_F	D31_G_F	D35_G_F	D36_G_F	D38_G_F	D41_G_F	D44_G_F
a115_gac-miR-1788-5p	11	0	0	0	0	18	0	42	0	0	0	0	0	0	0	0	0	31	0
a150_gac-miR-16c-5p	77584	159188	177129	282618	552378	198670	144971	164221	134692	523267	244875	158362	210284	128152	82089	190396	279133	377826	125561
a149_gac-miR-16a-5p_gac-miR-16c-5p	4589	8571	10973	13449	24623	9852	6531	7673	5948	22652	11388	8931	7133	6971	4557	8629	14792	13817	5425
a151_gac-miR-16a-5p	5018	5536	11377	9137	40358	6265	3712	4153	4211	14853	9059	4663	5068	5039	3134	6403	7045	11721	4324
a152_gac-miR-15c-5p	31040	65352	82425	81561	136126	58148	39935	46847	35314	150658	105889	74467	101621	48799	46996	94455	111205	179681	57189
a147_gac-miR-15b-1-5p	82	177	83	72	436	77	10	121	64	145	696	296	169	218	88	240	685	279	106
a148_gac-miR-15a-2-5p	24397	30453	48448	43951	87441	27198	15105	16738	16925	73178	56312	29705	39143	30538	20874	37537	62530	57125	24202
a225_gac-miR-155-5p	1668	296	3159	2222	6230	812	1862	2072	1175	1005	704	165	328	286	321	1075	665	414	423
a235_gac-miR-153c-3p	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
a16_gac-miR-152a-5p	745	1310	1058	952	1305	1410	787	524	429	952	549	413	415	440	399	710	1173	966	376
a169_gac-miR-152a-3p	2711	3188	3859	1869	1711	1068	1863	1952	624	1729	792	656	529	633	581	583	1057	986	507
a29_gac-miR-150-5p	11182	30441	11188	2870	1701	4883	1657	8372	1668	6460	4491	7931	3117	2848	2747	4688	4248	7173	5554
a78_gac-miR-150-3p	32	104	36	8	0	0	0	129	4	34	11	22	9	7	3	5	8	0	14
a170_gac-miR-148a-3p	2986	3159	3537	1460	1463	1481	1659	1970	724	1350	474	868	454	590	330	845	784	962	584
a183_gac-miR-146a-5p	88678	30960	61150	47960	23411	29520	47667	47591	14962	13356	17306	15515	13237	15192	9754	40792	24951	22793	39473
a53_gac-miR-146a-3p	986	463	825	545	422	684	529	332	253	371	414	390	566	327	156	725	575	721	473
a121_gac-miR-145-5p	2576	10378	3701	2900	3222	4400	1054	1520	1073	2141	2672	6666	2246	1821	1890	5626	5075	3107	2019
a113_gac-miR-145-3p	2286	4554	3071	3570	1264	3364	2008	3410	1204	1303	1415	4019	1499	1517	1627	3549	2730	3100	2679
a48_gac-miR-144-5p	6899	7757	9329	12482	120039	8946	11862	12112	7672	19941	8745	3407	5218	3344	1776	5155	4330	21062	3323
a80_gac-miR-144-3p	562	1005	1118	426	4959	423	711	578	377	1421	667	208	175	210	111	137	222	344	141
a120_gac-miR-143-5p	31	60	81	16	153	29	0	0	11	16	46	38	16	1	0	41	90	111	31
a55_gac-miR-143-3p	34967	91279	57231	61569	46012	49184	52870	55918	17567	20318	23691	47936	17451	18360	21069	84307	68504	35801	43884
a66_gac-miR-142-5p	1120	333	3814	1190	6256	325	611	707	318	832	741	136	128	160	378	454	311	308	262
a218_gac-miR-142-3p	240	290	1557	528	2690	139	85	356	195	449	490	82	98	53	156	169	222	228	127
a65_gac-miR-140-5p	110	1232	231	163	1245	211	159	308	83	161	185	60	132	39	68	151	248	289	51
a139_gac-miR-140-3p	3109	28413	4432	4659	16157	4396	4569	3099	2620	9003	9831	4520	5366	6377	2922	7542	14542	10719	3222
a180_gac-miR-139-5p	1559	1171	1241	869	777	997	877	711	384	424	933	1025	1471	1137	1458	1052	1728	2005	807
a54_gac-miR-1388-3p	798	323	2851	4498	3930	309	931	560	529	631	1074	289	647	179	400	1473	1015	423	635
a160_gac-miR-135c-5p	295	149	62	118	46	101	211	92	68	12	49	15	20	16	1	20	22	67	24
a162_gac-miR-135b-5p	5	31	20	17	0	67	31	0	2	82	5	15	0	6	0	2	14	0	0
a163_gac-miR-135a-2-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
a161_gac-miR-135a-1-5p	0	88	0	30	0	30	0	0	6	7	4	14	0	0	0	9	53	0	0
a246_gac-miR-133b-3p	5	124	7	57	68	110	29	1	5	5	4	7	19	238	0	436	512	57	30
a41_gac-miR-133a-5p	30	336	80	237	0	177	28	74	6	66	40	41	41	261	4	187	424	102	23
a245_gac-miR-133a-3p_gac-miR-133b-3p	23	155	3	86	0	85	0	46	7	0	3	38	15	200	5	508	878	108	36
a236_gac-miR-133a-3p	2068	27735	2135	23694	1701	25101	2408	4565	825	2392	3024	7211	6651	46906	423	54975	102348	12615	6777
a64_gac-miR-130c-3p	58	0	61	22	230	35	15	0	17	30	25	19	15	10	9	4	39	20	15
a104_gac-miR-130c-2-5p	120	116	237	238	401	420	94	370	122	171	116	71	90	93	63	73	199	400	123
a30_gac-miR-130b-5p	6070	10272	9907	7363	5776	15603	6269	9948	6071	10834	5296	3574	4648	2973	3976	3910	10311	15267	4783
a62_gac-miR-130b-3p	49	50	101	48	85	28	0	131	11	66	54	11	16	35	20	27	79	95	38
a70_gac-miR-1306-5p	139	466	199	121	114	171	92	470	104	632	152	252	395	73	80	79	162	453	66
a12_gac-miR-129-1b/2-3p	19	0	10	0	0	12	0	0	0	0	0	0	7	5	0	17	34	0	0
a96_gac-miR-129-1a/2-5p	0	16	16	70	26	16	9	0	16	45	16	13	0	180	0	54	47	0	13
a117_gac-miR-128-2-5p	5	0	23	3	0	10	0	84	2	0	2	5	0	0	0	1	5	0	4
a166_gac-miR-128-2-3p	19754	31648	36262	35791	43874	27553	28870	33709	18063	78737	26521	31270	44253	21746	17784	32018	42508	77761	17165
a68_gac-miR-126b-5p	2885	3957	4937	1723	1683	3426	960	2212	877	1727	1984	3269	4648	2892	1688	4727	6232	2926	1423
a179_gac-miR-126b-3p	83994	103435	174169	89415	87671	127712	97715	120211	38703	46678	40704	53394	65184	43984	50942	99858	91762	71468	43003
a175_gac-miR-125b-2/3-5p	86821	268507	71650	86998	66031	248631	50476	81022	63185	88089	39575	108705	96676	132493	68575	119653	239876	110018	47230
a28_gac-miR-125b-2-3p	490	714	152	344	142	730	872	916	252	273	12	156	116	155	132	97	153	138	45
a176_gac-miR-125a-5p	46645	98607	48189	47063	28406	128096	52304	63802	37896	36632	40737	59557	58474	65913	41834	64424	94793	76476	55987
a61_gac-miR-125a-1-3p_gac-miR-125a-2-3p	51	152	58	66	112	134	8	131	38	52	26	66	12	80	45	99	133	31	22
a129_gac-miR-124-3p	42	19	96	15	99	20	0	0	6	3	0	14	0	21	0	18	3	26	4
