;baseMean;log2FoldChange;lfcSE;stat;pvalue;padj
miR-ENSGACG00000022167-5p;425.048424519493;-1.82485164030843;0.756441558230993;-2.41241589710646;0.0158471930890253;0.653825209860556
miR-722-3p;172.906032032391;1.94456860398281;0.787255078048811;2.47006168420325;0.0135089755822219;0.653825209860556
miR-214a-3p;11698.4420352092;-1.12519962478547;0.470293968077595;-2.39254530391897;0.0167319622899043;0.653825209860556
miR-148a-3p;1476.16202247996;1.50035218018402;0.62878038236759;2.38613070995415;0.017026698173452;0.653825209860556
miR-101a-3p;5294.03746060381;1.42455764403069;0.488651075593279;2.9152860091449;0.00355362713415075;0.653825209860556
miR-551a-3p;228.411066699086;-1.69063169605635;0.772640861664048;-2.18812100154167;0.0286607894974976;0.6741979146207
miR-34a-5p;24.2774424347534;3.49400203183041;1.62557394454803;2.14939593707739;0.0316030272478453;0.6741979146207
miR-221-3p;2511.27180033993;1.04282677508262;0.460029910356216;2.26686733102881;0.0233983314513612;0.6741979146207
miR-193a-2-5p;192.838166741363;-1.77241733900656;0.80716345523858;-2.1958592494536;0.0281020192634904;0.6741979146207
miR-30e-5p;1476.32742530608;1.04956870210035;0.518899825450282;2.02268077694875;0.0431060700444735;0.7163931376633
miR-206-1-3p;14736.9113445338;-1.0601473866465;0.51375977140533;-2.06350797717499;0.03906439068094;0.7163931376633
miR-199-5p;1975.11244230369;-0.664989877695125;0.331373879847159;-2.00676612774018;0.0447745711039563;0.7163931376633
miR-23a-3-5p;72.0078008097492;-1.51816820663798;0.82499274095714;-1.84022007863564;0.0657359333173779;0.75107464321708
miR-22a-5p;1589.1521551705;0.933694223673517;0.508817163774574;1.83502894585368;0.0665014007015122;0.75107464321708
miR-194a-3p;8.46442660182944;5.17283390718659;2.71624392497353;1.90440698628972;0.0568572000390584;0.75107464321708
miR-182b-5p;105.722162848344;1.76260461143058;0.94530652071402;1.86458526711445;0.0622395595393594;0.75107464321708
miR-150-5p;23461.466255511;-1.36303740891531;0.741225384438411;-1.83889736850825;0.0659302829389229;0.75107464321708
miR-205-1-5p;13888.023717721;-1.08723344643266;0.613276741081413;-1.77282680656616;0.0762574100180482;0.770601195971856
miR-194a-5p;1442.15160903707;2.49829099694456;1.39082992627845;1.79625916134076;0.0724533095943903;0.770601195971856
miR-146a-5p;47837.1502731273;0.855908178404645;0.507139208374269;1.68771840999717;0.0914652960714094;0.87806684228553
miR-ENSGACG00000022167-3p;195.901503432175;-0.901502056908102;0.940507226787528;-0.958527517100899;0.3377968226824;0.922580704474995
miR-99a-5p;16791.1217301052;-0.446093392568648;0.433456478436507;-1.02915382457248;0.303407396718391;0.922580704474995
miR-737-5p;661.435116044432;0.725118548724167;0.56496043322372;1.28348554355669;0.199322021122531;0.922580704474995
miR-7133-3p;301.135422345287;0.968169550829803;0.772438134181335;1.2533942952673;0.21006224656861;0.922580704474995
miR-7132a-5p_gac-miR-7132b-5p;579.576168709477;-0.493956319298878;0.483868659151762;-1.02084793043798;0.307326491848083;0.922580704474995
miR-7-5p;934.223749100571;1.06002292094746;0.777207007134958;1.36388749871808;0.172602975943036;0.922580704474995
miR-458-3p;33.2377550553041;-1.82683995360346;1.35212660156956;-1.35108646740834;0.176667735882108;0.922580704474995
miR-338-1a-5p;19.4385598127569;-1.66330252776351;1.58552563248775;-1.04905432853439;0.294153114581654;0.922580704474995
miR-30e-3p;3393.60492173328;0.650864481197394;0.462882801853983;1.40611074464311;0.159691242296887;0.922580704474995
miR-30c-2-5p;6645.04544252713;0.663355280320649;0.418143691702223;1.58642900391536;0.112642025369558;0.922580704474995
miR-30c-1-5p_gac-miR-30c-2-5p;90.7508918711848;0.862718087827425;0.849435292027761;1.0156372073592;0.309802179897865;0.922580704474995
miR-30bb-5p;657.441787203195;0.584938702609932;0.413566646012193;1.41437591316947;0.157251558450242;0.922580704474995
miR-29a-3p_gac-miR-29b-1a/2a-3p;3.7075633951612;-3.54006597540575;3.06603370640757;-1.15460765092292;0.248251132153431;0.922580704474995
miR-27e-3p;1175.66495081043;-0.612582884919353;0.455262693579373;-1.3455591542173;0.178444731928729;0.922580704474995
miR-26b-3p;73.1393161041146;0.964068179459856;0.746171032430972;1.29202037811491;0.196350087556068;0.922580704474995
miR-26-5p;63829.1328202574;0.331633925842111;0.326956258103268;1.01430670807765;0.310436424166847;0.922580704474995
miR-24-2-5p;103.492408485429;-0.723855576736507;0.687942050887546;-1.05220428930406;0.292705831999918;0.922580704474995
miR-23b-2-5p;140.314016471415;-1.03880601956191;0.930618211852941;-1.11625369709191;0.264313555382337;0.922580704474995
miR-23a-3p_gac-miR-23b-2-3p;13.9974866803621;-1.21739169179334;1.22661600705774;-0.992479867202672;0.320963495721188;0.922580704474995
miR-23a-2-5p;35.0705983148728;-1.13242191222359;1.18791290094117;-0.953286988739989;0.340444682072;0.922580704474995
miR-23a-1-5p;26.841455534988;-1.39192815948228;1.3664628546557;-1.018635929063;0.308375840414924;0.922580704474995
miR-223-3p;48221.5689534038;-0.586687577653535;0.51887738849818;-1.130686344517;0.2581871308768;0.922580704474995
miR-222-3p;1944.25464764653;0.849680789724021;0.531952077805566;1.59728822421216;0.110201474507299;0.922580704474995
miR-212a-5p;6.70123560708126;-3.80717913649675;2.56480872585072;-1.48439105736197;0.13770520580121;0.922580704474995
miR-210-3p;167.197164001318;0.592702650370575;0.588553549074327;1.00704965810294;0.31391091138937;0.922580704474995
miR-21-5p;87165.2614491597;0.531004071240504;0.393156387279899;1.35061794344566;0.176817849890668;0.922580704474995
