Gene	O25_F	O32_F	O55_F	O59_F	O63_F	O49_M	O51_M	O29_M	O33_M	O38_M	O39_M	O46_M	O53_M
miR-ENSGACG00000022167-5p	249.240716357432	101.093184992181	372.522035416838	5.55861849735513	99.8101433852452	765.571030666062	80.57230158866	1153.53076162252	365.592446014545	247.25186781413	310.975085389328	1585.73602312872	188.175303880394
miR-ENSGACG00000022167-3p	146.126944814759	76.3464157493031	27.515832161471	12.6332238576253	377.282341996227	88.8231582540735	266.13275373224	885.338669092049	119.355180904748	0	248.553079198039	251.780986878454	46.8309579792836
miR-99a-5p	16923.6214071351	9352.69919279222	12622.0060863773	7747.70352740444	22004.1442107112	30962.2725813991	6762.37630202198	25235.9616158923	14519.3964662776	16066.0350366707	12061.066541724	24819.7949757491	19207.5045472123
miR-92a-3p	112298.557090142	87292.9121867377	166720.543668827	326482.930797382	363352.838385382	285498.778999605	157497.689203393	191629.345387848	185299.455990572	98349.3220967142	105900.635921871	250588.658647322	211013.484878946
miR-92a-1-5p	334.677841349932	125.313427229891	172.855868706677	262.771056238606	425.191210821144	388.07260808625	257.994137410154	405.335776210818	321.506298112791	234.800334902627	138.463359187949	335.304487333325	252.035701124872
miR-9-5p	193.264668948552	181.125289777657	1380.73034717945	1337.60574204537	0	41.2393234751056	2197.42640696345	51.8098360570218	91.3981115036362	1785.90557759271	307.570248687985	177.941370534292	104.731051480943
miR-9-1/3/5/6-3p	25.3365267219139	55.2853355425988	426.142631423807	91.4645407292072	21.9582315447539	8.45934840514986	319.033759825805	50.2860173494623	8.60217520034223	272.154933637136	148.677869291978	38.735536442839	129.423738415475
miR-8160a-5p_gac-miR-8160b-5p	0	0	0	0	0	0	57.7841758868167	0	0	0	0	0	0
miR-8159-5p	24.158083618569	1773.86948040967	103.713521224006	0	0	0	7921.31526628715	3.04763741511893	0	1901.5269546281	1.13494556711433	44.7879640120326	0
miR-737-5p	1008.74729646318	1480.06741152615	795.136996050713	759.509418320433	325.381067435899	124.77538897596	603.071469466637	696.385149354676	963.443622438329	97.8334728760948	797.866733681377	555.612850851972	390.825631136203
miR-730-5p	3.53532931003449	2.63263502583804	11.288546527783	0	0	14.8038597090122	0	10.6667309529163	7.52690330029945	0	10.214510104029	29.0516523321293	9.36619159585671
