		B9_F	B31_F	B27_F	O25_F	O32_F	O55_F	O59_F	O63_F	T9_F	T26_F	T31_F	T32_F	T13_F	T23_F	B11_M	B14_M	B17_M	B19_M	O49_M	O51_M	O29_M	O33_M	O38_M	O39_M	O46_M	O53_M	T1_M	T3_M	T12_M
nomCol	Gene	B9_F	B31_F	B27_F	O25_F	O32_F	O55_F	O59_F	O63_F	T9_F	T26_F	T31_F	T32_F	T13_F	T23_F	B11_M	B14_M	B17_M	B19_M	O49_M	O51_M	O29_M	O33_M	O38_M	O39_M	O46_M	O53_M	T1_M	T3_M	T12_M
miR-451-5p	miR-451-5p	182963	40515	187721	157458	127905	36596	42204	24853	14753	181682	64519	16367	12334	31886	365810	130219	226646	422315	61040	53930	49250	39381	14792	42510	37214	107352	17662	6238	19894
miR-429a-3p	miR-429a-3p	15	272	170	231	613	655	378	41	84	211	255	8	4	53	207	88	72	617	439	23	245	550	109	261	240	680	25	6	105
miR-425-5p	miR-425-5p	6660	12172	16992	7541	5930	21095	42011	5781	2806	15018	20342	1165	2733	1158	21252	7210	13209	18050	13535	9843	5380	14710	3718	11018	12434	20162	3442	1527	1748
miR-375a-3p	miR-375a-3p	653	10375	6353	959	2656	966824	45009	15906	4734	11649	3707	481	499	936	4132	2267	1086	5520	410991	4766	5915	13761	3601	11654	9132	55274	1222	1455	1068
miR-365-2b-5p	miR-365-2b-5p	41	40	349	27	31	69	12	47	131	80	122	12	0	4	256	117	218	257	124	2	28	43	38	8	114	25	4	32	33
miR-365-2b-3p	miR-365-2b-3p	3757	644	9382	929	501	388	369	753	191	1353	1377	120	74	492	12096	6294	9031	12245	754	507	471	390	177	292	1053	1504	134	14	485
miR-34a-5p	miR-34a-5p	23	12	28	86	135	0	306	0	0	0	0	0	0	0	0	4	28	35	5	0	2	20	0	4	4	0	0	0	0
miR-338-3p	miR-338-3p	22	7	87	205	290	90	96	99	21	62	88	0	0	7	160	96	139	532	172	157	102	36	176	115	91	55	12	0	0
miR-338-1b-5p	miR-338-1b-5p	0	8	26	0	0	0	0	0	0	0	44	0	14	0	8	0	2	12	0	0	0	0	0	0	0	0	0	11	0
miR-338-1a-5p	miR-338-1a-5p	18	0	111	16	20	0	42	0	0	0	0	0	0	0	28	10	75	184	16	0	17	3	51	36	28	0	0	0	0
miR-31a-5p	miR-31a-5p	55	98	347	1608	266	5	148	2	0	264	275	23	24	3	189	277	61	191	167	0	178	268	111	354	135	464	0	0	0
miR-30e-5p	miR-30e-5p	1445	459	800	10003	3486	1325	3190	274	254	2886	1612	85	73	158	1534	458	1369	2196	1077	911	844	741	744	490	989	1561	76	125	332
miR-30e-3p	miR-30e-3p	2898	1438	3716	4721	6140	9593	12249	1442	517	23178	9835	1656	1340	1406	7401	2193	6021	6918	1124	5786	1296	2334	960	2160	1646	6732	2281	1135	2007
miR-30c-2-5p	miR-30c-2-5p	6302	3035	6110	9428	21543	14916	15483	3871	534	19482	6222	451	966	639	7678	4274	7191	11224	2331	7977	2208	6680	1770	8839	3809	7184	1048	825	1701
miR-30c-1-5p_gac-miR-30c-2-5p	miR-30c-1-5p_gac-miR-30c-2-5p	63	53	50	196	214	345	45	67	15	126	10	15	11	4	111	79	74	144	12	105	44	120	0	107	54	83	1	4	3
miR-30c-1-5p	miR-30c-1-5p	2028	1034	2310	3364	3377	4802	1224	607	127	2613	2605	90	76	389	3062	1378	3612	4401	889	1126	895	3615	817	2917	1475	2251	176	24	228
miR-30bb-5p	miR-30bb-5p	634	205	757	1949	1579	945	1411	389	39	1878	567	40	98	167	1110	655	959	1727	404	900	338	474	128	787	565	495	36	0	129
miR-30bb-3p	miR-30bb-3p	17	0	45	74	119	114	199	0	6	565	523	10	4	35	92	6	61	81	34	88	38	33	0	47	4	0	8	0	0
miR-30a-5p	miR-30a-5p	33090	12623	37527	37681	42720	37403	56965	8623	4605	48631	37712	4313	5667	5702	47111	22315	35134	48410	21226	34876	12350	15631	12015	15765	13539	25757	8800	2581	6713
miR-301b-5p	miR-301b-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	6	0	0	0	0	0	0	0	0	0	0	0
