		B9_F	B31_F	B27_F	O25_F	O32_F	O55_F	O59_F	O63_F	T9_F	T26_F	T31_F	T32_F	T13_F	T23_F	B11_M	B14_M	B17_M	B19_M	O49_M	O51_M	O29_M	O33_M	O38_M	O39_M	O46_M	O53_M	T1_M	T3_M	T12_M
nomCol	Gene	B9_F	B31_F	B27_F	O25_F	O32_F	O55_F	O59_F	O63_F	T9_F	T26_F	T31_F	T32_F	T13_F	T23_F	B11_M	B14_M	B17_M	B19_M	O49_M	O51_M	O29_M	O33_M	O38_M	O39_M	O46_M	O53_M	T1_M	T3_M	T12_M
miR-15a-2-5p	miR-15a-2-5p	8527	4563	9481	28470	28123	14387	35563	5869	3717	54855	29650	3111	4350	1529	11499	4082	11350	15401	13737	18248	10258	9590	7484	8973	6553	16204	6124	1559	3921
miR-155-5p	miR-155-5p	457	155	315	207	206	487	1214	64	329	8566	4492	388	354	113	176	160	100	267	135	322	120	502	30	266	352	192	760	134	418
miR-152a-5p	miR-152a-5p	229	69	513	256	1204	961	232	123	29	354	89	19	15	114	546	248	411	647	507	718	98	142	326	225	239	419	0	5	22
miR-152a-3p	miR-152a-3p	325	86	705	1122	2853	728	445	214	44	293	238	27	38	213	719	260	527	1163	373	792	242	407	113	338	722	296	16	0	14
miR-150-5p	miR-150-5p	1524	14023	2157	8344	1646	53423	13204	4746	2221	18203	10309	513	648	349	806	479	1106	2074	44019	2790	4777	83994	4684	27061	24525	35507	2799	326	7062
miR-148a-3p	miR-148a-3p	323	121	860	12060	5533	2032	906	173	71	741	1260	38	30	213	857	293	576	1137	698	1367	394	493	1125	575	775	424	25	18	103
miR-146a-5p	miR-146a-5p	4531	2093	8345	78858	84230	53724	189173	52986	2695	53125	30293	4928	2292	4504	5780	3307	3962	9860	10848	78312	19282	40646	5528	49168	19103	64295	2187	1771	3553
miR-146a-3p	miR-146a-3p	83	61	212	2568	2912	2265	7801	2403	0	0	0	0	0	0	149	87	70	256	929	2581	751	1349	1364	1680	761	3385	0	0	35
miR-145-5p	miR-145-5p	435	212	1075	1605	2673	634	1615	1094	81	634	582	11	24	69	2337	543	1538	2921	3541	388	972	2895	1051	1418	1447	1035	41	27	215
miR-145-3p	miR-145-3p	135	82	972	975	1812	888	685	425	134	696	887	37	0	244	1022	367	888	1178	1281	758	283	1322	1082	762	358	854	80	17	173
miR-144-5p	miR-144-5p	5758	942	6588	8369	5594	1968	3962	998	216	3881	4379	1255	441	509	6634	2073	4356	8552	1544	2842	2024	2240	539	1748	1765	3844	258	321	861
miR-144-3p	miR-144-3p	802	49	262	953	238	285	534	119	3	842	762	22	5	85	940	110	251	1686	206	275	181	169	99	8	179	834	0	8	27
miR-143-5p	miR-143-5p	0	5	0	22	47	69	0	0	0	0	0	0	0	0	15	0	11	21	0	0	0	24	55	12	0	3	0	0	0
miR-143-3p	miR-143-3p	4068	1799	10615	34322	42160	16774	12050	15740	1213	18305	15445	1190	372	2435	10945	3838	7795	18067	25879	13532	6156	16278	13579	9058	9256	11317	1284	1459	1694
miR-142-5p	miR-142-5p	481	113	316	321	170	268	1273	121	66	7497	2788	199	200	53	310	124	180	574	138	413	123	144	0	105	129	241	658	6	438
miR-142-3p	miR-142-3p	514	61	54	294	132	118	570	7	9	1672	106	37	21	91	120	14	89	219	62	138	49	68	0	74	171	200	193	0	23
miR-140-5p	miR-140-5p	24	2	73	124	191	0	166	47	0	0	75	2	28	44	191	43	53	161	89	49	44	79	51	60	55	72	0	0	13
miR-140-3p	miR-140-3p	3562	992	3467	2611	2626	1452	1079	627	60	5607	4362	443	408	694	13885	2621	3559	5995	930	1546	729	1321	210	500	479	2498	536	231	612
miR-139-5p	miR-139-5p	320	368	564	885	5238	674	288	158	491	1650	1426	50	177	116	785	250	1302	1180	605	862	370	647	649	683	746	480	224	39	7
miR-1388-3p	miR-1388-3p	800	252	575	305	473	1040	1260	55	560	4124	4788	436	244	120	341	194	135	340	294	208	199	363	49	512	289	776	529	125	283
miR-135a-1-5p	miR-135a-1-5p	0	1	0	58	19	9	235	0	0	0	0	0	0	0	20	2	25	1	15	0	59	39	70	65	36	42	0	0	0
miR-133b-3p	miR-133b-3p	231	8	309	15	11	0	381	8	0	0	99	0	0	21	816	409	289	447	10	0	22	0	0	37	12	34	0	0	0
miR-133a-5p	miR-133a-5p	117	18	235	40	18	0	0	0	69	249	39	32	0	73	377	147	572	569	0	0	29	0	0	11	24	0	93	68	134
miR-133a-3p_gac-miR-133b-3p	miR-133a-3p_gac-miR-133b-3p	273	15	130	0	0	0	0	0	7	0	0	0	4	10	565	223	181	459	0	0	0	0	0	0	0	0	0	0	0
miR-133a-3p	miR-133a-3p	25269	6194	80288	7926	1741	2482	3444	1369	1446	1067	2021	867	513	2334	120908	58756	72720	68731	925	1345	3711	2351	140	5275	4166	3613	1194	2245	1250
miR-130c-3p	miR-130c-3p	0	0	0	5	4	142	0	0	17	0	377	1	9	0	2	0	7	39	0	0	3	11	36	0	0	0	55	0	0
miR-130c-2-5p	miR-130c-2-5p	38	8	106	15	15	121	26	0	82	532	238	31	41	8	98	60	77	100	22	0	2	17	40	0	15	0	4	3	0
miR-130b-5p	miR-130b-5p	1915	1609	5477	1250	927	3712	1913	650	1031	7418	3832	310	460	467	5940	3488	4722	8025	772	1480	400	871	939	943	902	1225	532	1038	603
miR-130b-3p	miR-130b-3p	5	4	28	1	3	0	144	0	0	243	118	5	2	73	12	2	26	115	0	0	0	4	0	0	0	0	3	10	67
miR-1306-5p	miR-1306-5p	189	264	364	442	74	324	128	165	0	0	0	0	0	0	509	169	389	743	328	254	91	215	41	127	155	102	0	0	0
miR-129-1b/2-3p	miR-129-1b/2-3p	0	6	0	0	0	0	0	0	19	0	0	3	5	25	0	0	11	8	0	0	0	0	0	0	0	0	0	116	4
miR-129-1a/2-5p	miR-129-1a/2-5p	45	10	23	0	0	14	0	0	2	25	229	4	0	57	114	20	88	146	14	0	3	3	0	0	8	91	0	0	0
miR-128-2-3p	miR-128-2-3p	16671	13452	33520	18106	28617	27977	34205	8384	4626	36006	28156	2819	3313	2835	35724	11228	26176	36113	17731	22775	7805	10691	9693	12765	8943	17005	5618	2073	4025
miR-126b-5p	miR-126b-5p	415	195	1459	4219	2604	640	1114	436	274	1376	2748	210	141	515	1340	806	1808	4698	862	316	1073	1042	418	701	1560	879	539	0	299
miR-126b-3p	miR-126b-3p	9514	4156	24707	65946	53751	11742	26359	13778	3541	34288	39716	3913	2077	5460	15808	12343	22921	42793	11093	11441	15715	18520	3854	11475	30208	22382	4923	1773	4513
miR-125b-2/3-5p	miR-125b-2/3-5p	29723	16167	62402	81041	49992	32586	30748	31937	7410	13923	28219	2464	1272	12876	93186	38559	82936	142062	79911	22593	44015	48970	15008	38126	89547	41970	4355	2586	8195
miR-125b-2-3p	miR-125b-2-3p	88	150	374	100	85	105	5	105	204	223	647	34	8	75	357	143	248	433	79	155	39	45	154	47	77	185	306	291	98
miR-125a-5p	miR-125a-5p	24539	18885	52704	48738	18840	15567	24455	12817	6966	51280	31888	3325	3154	8350	63724	25940	36991	67248	38448	9869	20967	30261	6656	20276	29994	27504	8941	4425	10288
miR-125a-1-3p_gac-miR-125a-2-3p	miR-125a-1-3p_gac-miR-125a-2-3p	3	59	101	0	0	0	0	0	0	0	0	0	0	0	86	52	69	64	0	0	0	0	0	0	0	0	0	0	0
miR-122-5p	miR-122-5p	159	885	1515	418734	1944070	17290	5657	814	5383	1281	1819	126	743	393	517	193	751	969	14242	160993	6719	3854	287619	2223	26923	157	1118	168	1558
miR-122-3p	miR-122-3p	0	0	0	4823	4588	319	0	60	0	0	12	0	19	0	0	0	14	0	185	866	89	36	464	22	139	0	0	0	0
miR-10c-5p	miR-10c-5p	1188	631	2659	2186	8918	30602	15963	4437	454	600	882	114	77	511	3418	1631	2675	4370	5164	13319	1820	3968	2668	7806	4500	11222	581	385	260
miR-10b-5p	miR-10b-5p	14920	3952	46263	4018	2523	5409	12087	6369	3418	30903	50095	8147	3221	14995	45320	24482	31178	58884	3464	6988	1362	3640	1257	1139	6962	13750	6322	5736	8025
miR-10545-5p	miR-10545-5p	11	3	0	22	19	0	1	0	0	299	0	0	0	0	0	39	2	22	18	0	10	9	0	9	21	0	0	0	0
miR-103-3p	miR-103-3p	1329	895	1503	3721	3056	1105	2370	291	154	5653	1321	230	274	205	1754	706	1949	2858	782	1505	705	786	157	743	673	1056	624	109	212
miR-101b-5p	miR-101b-5p	832	334	753	999	1654	378	1039	299	221	998	273	26	54	14	1205	365	947	1554	410	772	492	423	288	382	361	634	11	0	29
miR-101b-3p	miR-101b-3p	39	12	57	121	132	0	148	163	0	472	334	11	0	0	89	8	68	113	0	142	15	2	31	16	35	85	12	0	0
miR-101a-3p	miR-101a-3p	4454	1505	8836	26657	7871	6471	14243	5765	380	16334	3579	996	933	829	13084	3034	9494	22038	2015	4326	1895	3339	946	1116	2593	8788	2360	490	1093
miR-100-2-5p	miR-100-2-5p	45970	21619	160377	88728	108798	136199	126863	87546	7988	29116	47979	9053	5139	25071	167155	71533	111928	147345	90905	130728	46797	61192	32597	63933	87434	177793	9217	8673	14041
miR-1-3p	miR-1-3p	32420	10103	162842	20331	6169	4032	13948	4781	6944	11591	27127	7355	3362	12909	160586	95516	113217	194971	3573	5502	5494	2897	3475	5509	11807	7867	4353	10547	11051
let-7j-5p	let-7j-5p	1484	1346	3804	5416	13232	4711	9871	1432	1369	23791	15764	1247	928	965	3055	1724	2967	4847	2877	6441	2053	2542	3992	2767	1996	2687	1760	447	1775
let-7j-3p	let-7j-3p	8	29	11	73	138	0	291	0	1	105	170	6	24	0	0	9	3	9	82	102	36	16	23	41	24	116	0	0	0
let-7i-5p	let-7i-5p	806	556	3069	3502	2700	3522	11477	220	337	6358	5695	330	411	919	1834	1002	2205	2555	765	5555	537	668	2925	1673	622	1140	488	534	1003
let-7h-1-5p	let-7h-1-5p	4531	3550	16758	14587	31090	32022	38512	5075	7082	83025	44008	4564	7101	3237	15470	7507	11491	18261	8036	38553	5562	8081	12291	10754	5862	14069	8105	6732	5727
let-7h-1-3p	let-7h-1-3p	538	645	1145	130	187	53	269	177	142	1795	1088	58	45	90	1304	796	1092	1514	68	87	66	86	149	61	143	178	195	68	82
let-7g-5p	let-7g-5p	34672	21099	84733	48491	72330	60935	74685	14675	17007	211912	137714	18089	15442	9430	73435	30665	55441	80900	37445	80110	19951	27979	38286	34289	18373	37603	26168	12677	20996
let-7f-5p	let-7f-5p	4295	1880	9200	56928	38161	25843	36707	6089	3141	74760	37514	4279	3224	1780	7417	3290	6137	10536	12128	28166	7055	10380	17710	13618	7868	11917	3609	2011	3743
let-7e-5p	let-7e-5p	65695	35487	120603	96198	200073	287204	462025	51701	24640	606259	337549	54744	62379	31826	106227	46845	90496	136000	61734	318911	40774	63149	84884	87922	43668	123426	57816	37919	53312
let-7d-5p	let-7d-5p	12253	12723	75980	56311	31020	49836	75712	25713	15932	92035	45264	6765	3098	5073	56512	26635	51247	79354	48322	38503	20349	36986	54985	24297	24616	39862	8043	10333	7328
let-7c-2/d-3p	let-7c-2/d-3p	29	8	103	69	71	25	0	8	20	137	219	8	31	100	87	35	70	188	45	0	11	79	35	29	68	16	7	0	4
let-7c-2-5p	let-7c-2-5p	8005	7548	35573	62277	25313	59408	31802	23588	4220	7311	10402	1537	846	2246	29946	17175	30126	45333	65645	25791	25825	25934	43305	27089	28832	47174	1469	2593	2381
let-7b-5p	let-7b-5p	16479	24668	128526	202383	212097	155145	100014	69600	48009	106712	63051	12098	8214	10866	107419	47942	73616	118315	158825	138896	56897	99767	282491	99446	91478	141413	16161	21300	17603
let-7b-1-3p	let-7b-1-3p	1348	1690	3356	0	0	0	0	0	631	4596	2901	330	431	730	6252	2379	2854	4609	0	0	0	0	0	0	0	0	600	435	377
let-7a-5p_gac-let-7c-2-5p	let-7a-5p_gac-let-7c-2-5p	822	358	2556	2348	2936	1825	2130	875	964	5872	3260	1122	705	592	2706	1130	1461	2055	1700	2101	1409	837	1329	1482	708	2216	1059	485	761
let-7a-5p	let-7a-5p	269005	188954	747133	894510	1401594	1055155	1058478	302153	200391	957707	598741	126093	97050	67705	608409	263099	482235	693635	794153	1164680	438115	524120	1018228	656778	394737	808909	129317	114832	110761
let-7a-5-3p	let-7a-5-3p	863	350	245	99	472	158	1361	102	1	412	581	21	51	17	486	212	496	841	220	521	176	165	180	169	224	252	33	0	23
let-7a-4-3p	let-7a-4-3p	0	0	0	0	0	0	0	0	0	0	1	0	0	0	19	7	21	0	0	0	0	0	0	0	0	0	0	0	0
let-7a-3/7-3p	let-7a-3/7-3p	88	38	357	230	545	188	82	78	104	532	979	19	24	6	318	186	300	474	81	102	109	198	15	178	168	169	101	105	19
REV_let-7f-3p	REV_let-7f-3p	13	8	0	0	3	0	0	0	0	0	0	0	0	0	0	6	8	3	0	0	0	0	0	2	0	73	0	0	0
REV_miR-137-1-3p	REV_miR-137-1-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	7	16	34	0	0	0	0	0	0	0	0	0	0
REV_miR-181b-2/3-5p	REV_miR-181b-2/3-5p	19	0	63	5	120	0	0	0	0	0	0	0	0	0	19	33	12	124	18	20	4	10	0	9	22	0	0	0	0
REV_miR-190a-5p	REV_miR-190a-5p	5	0	19	82	111	0	98	1	0	0	0	0	0	0	1	9	18	18	37	140	9	6	63	8	46	0	0	0	0
REV_miR-193a-2-3p	REV_miR-193a-2-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0
REV_miR-19a-1-3p	REV_miR-19a-1-3p	6	19	41	178	34	0	1	2	0	0	0	0	0	0	43	20	54	65	19	74	39	50	0	0	16	306	0	0	0
REV_miR-2184-5p	REV_miR-2184-5p	19	1	112	109	75	0	0	0	0	0	0	0	0	0	107	37	70	205	39	18	43	27	0	18	55	60	0	0	0
REV_miR-24-3-5p	REV_miR-24-3-5p	0	0	1	0	0	0	68	0	0	0	0	0	0	0	0	0	0	15	0	0	4	0	0	0	0	0	0	0	0
REV_miR-29b-1a-5p	REV_miR-29b-1a-5p	3	17	22	0	0	0	0	0	0	0	0	0	0	0	6	2	27	6	0	0	0	0	0	0	0	0	0	0	0
REV_miR-7bb-3p	REV_miR-7bb-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	9	0	5	0	0	0	0	0	0	0	0	0	0	0
REV_miR-9-7-3p	REV_miR-9-7-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	14	16	0	0	0	0	0	0	0	0	0	0	0
miR-8160a-5p_gac-miR-8160b-5p	miR-8160a-5p_gac-miR-8160b-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	0	0	0	0	0	0	0	0	0
miR-8160a-5p	miR-8160a-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	2	0	0	0	5	2	0	0	0
miR-7132b-3p	miR-7132b-3p	0	0	0	678	709	1839	3955	278	0	0	0	0	0	0	0	0	0	0	672	1132	275	668	405	693	670	615	0	0	0
miR-33-5p	miR-33-5p	0	0	0	29	3	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	14	0	0	0	0
miR-26a-1b-3p	miR-26a-1b-3p	0	0	0	67	168	121	384	5	26	85	139	0	17	4	0	0	0	0	95	93	51	43	36	35	77	108	0	0	101
miR-216a-1-3p	miR-216a-1-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	63	0	0	0	0	0	0	0	0	0
miR-19c-3p	miR-19c-3p	0	0	0	16	28	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	5	12	0	0	0	0	0	0	0
miR-194b-5p	miR-194b-5p	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	4	0	0	0	0	0
miR-183a-3p	miR-183a-3p	0	0	0	0	3	0	111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
miR-181b-2-3p	miR-181b-2-3p	0	0	0	2	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
miR-17a-1-3p	miR-17a-1-3p	0	0	0	16	10	23	95	0	0	0	0	0	0	0	0	0	0	0	14	0	4	27	0	10	0	0	0	0	0
miR-150-3p	miR-150-3p	0	0	0	18	0	213	0	0	54	421	429	21	10	0	0	0	0	0	87	0	16	133	75	27	45	60	0	0	5
miR-135c-5p	miR-135c-5p	0	0	0	20	954	335	60	0	0	0	37	0	0	0	0	0	0	0	242	0	13	19	0	18	7	0	0	0	6
miR-135a-2-5p	miR-135a-2-5p	0	0	0	30	0	788	0	0	0	0	0	0	0	0	0	0	0	0	255	0	0	0	0	0	0	0	0	0	0
miR-132b-5p	miR-132b-5p	0	0	0	0	0	46	0	0	37	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0
miR-132-3p	miR-132-3p	0	0	0	13	0	94	0	0	72	990	555	30	41	0	0	0	0	0	318	0	7	0	0	0	8	8	331	0	58
miR-125a-1-3p	miR-125a-1-3p	0	0	0	33	23	0	0	0	0	79	448	10	37	51	0	0	0	0	59	63	19	14	0	10	10	0	84	0	0
miR-10545-3p	miR-10545-3p	0	0	0	179	195	209	288	21	0	0	0	0	0	0	0	0	0	0	38	198	29	32	0	57	78	295	0	0	0
miR-101a-5p	miR-101a-5p	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	54	0	0	0	0	0	0	0	0	0
let-7e-1-3p	let-7e-1-3p	0	0	0	120	104	47	324	19	18	229	156	19	28	0	0	0	0	0	53	59	40	126	59	126	62	53	37	2	18
REV_let-7a-5p_gac-let-7g-5p	REV_let-7a-5p_gac-let-7g-5p	0	0	0	7	5	66	0	0	4	437	434	61	71	70	0	0	0	0	0	0	0	0	0	0	0	47	154	132	172
REV_miR-135b-3p	REV_miR-135b-3p	0	0	0	4	0	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
REV_miR-135b-5p	REV_miR-135b-5p	0	0	0	9	10	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	8	5	0	4	1	8	0	0	0
REV_miR-191-5p	REV_miR-191-5p	0	0	0	9875	7952	36602	39796	7836	0	0	0	0	0	0	0	0	0	0	21048	11337	6023	17887	8286	12418	12244	24253	0	0	0
REV_miR-21a-3p	REV_miR-21a-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
REV_miR-29a-3p	REV_miR-29a-3p	0	0	0	9240	237	0	347	120	0	0	0	0	0	0	0	0	0	0	432	137	200	111	352	78	73	109	0	0	0
REV_miR-29b-2a-5p	REV_miR-29b-2a-5p	0	0	0	26	20	0	11	0	0	0	0	0	0	0	0	0	0	0	63	103	12	23	0	30	19	0	0	0	0
REV_miR-727b-3p	REV_miR-727b-3p	0	0	0	24	24	0	136	0	0	0	0	0	0	0	0	0	0	0	50	0	2	13	0	9	2	87	0	0	0
REV_miR-96-5p	REV_miR-96-5p	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	6	7	0	0	0	0
miR-301c-5p	miR-301c-5p	0	0	0	0	0	0	0	0	5	20	108	9	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
miR-301a-5p	miR-301a-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
miR-29b-2b-3p	miR-29b-2b-3p	0	0	0	0	0	0	0	0	0	121	68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	123
miR-29b-1a-5p	miR-29b-1a-5p	0	0	0	0	0	0	0	0	8	430	16	20	15	31	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0
miR-24-3-5p	miR-24-3-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	108	0	0
miR-223-5p	miR-223-5p	0	0	0	0	0	0	0	0	116	2003	804	206	458	150	0	0	0	0	0	0	0	0	0	0	0	0	273	172	110
miR-2184-5p	miR-2184-5p	0	0	0	0	0	0	0	0	0	257	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
miR-217a-5p_gac-miR-217b-5p	miR-217a-5p_gac-miR-217b-5p	0	0	0	0	0	0	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
miR-214a-5p	miR-214a-5p	0	0	0	0	0	0	0	0	0	0	67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
miR-212-3p	miR-212-3p	0	0	0	0	0	0	0	0	0	110	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	71	0	0
miR-19b-2-5p	miR-19b-2-5p	0	0	0	0	0	0	0	0	19	170	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
miR-19a-1-3p	miR-19a-1-3p	0	0	0	0	0	0	0	0	0	84	307	17	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
miR-181b-3-3p	miR-181b-3-3p	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
miR-138bb-3p	miR-138bb-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
miR-1388-5p	miR-1388-5p	0	0	0	0	0	0	0	0	0	655	159	82	24	35	0	0	0	0	0	0	0	0	0	0	0	0	87	2	101
miR-132a-5p	miR-132a-5p	0	0	0	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
miR-129-1a-3p_gac-miR-129-1b/2-3p	miR-129-1a-3p_gac-miR-129-1b/2-3p	0	0	0	0	0	0	0	0	0	0	94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
miR-124-3p	miR-124-3p	0	0	0	0	0	0	0	0	0	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
miR-103a-5p	miR-103a-5p	0	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
let-7g-1-3p	let-7g-1-3p	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
let-7f-3p	let-7f-3p	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0
REV_miR-1306-5p	REV_miR-1306-5p	0	0	0	0	0	0	0	0	5	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
REV_miR-181a-2-3p	REV_miR-181a-2-3p	0	0	0	0	0	0	0	0	0	0	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
REV_miR-183a-3p	REV_miR-183a-3p	0	0	0	0	0	0	0	0	0	0	83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
REV_miR-18a-3p	REV_miR-18a-3p	0	0	0	0	0	0	0	0	46	133	67	17	20	4	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
REV_miR-7132b-3p	REV_miR-7132b-3p	0	0	0	0	0	0	0	0	780	38792	14317	741	950	492	0	0	0	0	0	0	0	0	0	0	0	0	2432	166	1308
REV_miR-723-3p	REV_miR-723-3p	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
