;baseMean;log2FoldChange;lfcSE;stat;pvalue;padj
miR-29b-1a/2a-3p;27.431567883601;2.53668400217182;0.740085116934621;3.42755710678061;0.000609038190888913;0.127288981895783
miR-21a-3p;38.4459891043365;2.25730733904975;0.871926582336446;2.58887317439158;0.00962905511004953;0.503118129500088
miR-150-5p;4592.92917088924;-1.25263100572799;0.478923849442239;-2.61551185472768;0.00890938284143359;0.503118129500088
miR-129-1a/2-5p;16.462995379573;3.44623581350822;1.32564517014826;2.59966685740107;0.0093314300992249;0.503118129500088
miR-725-3p;226.185717515511;-1.29772454125199;0.712049690140349;-1.82251963482521;0.0683761772530864;0.864119334751694
miR-301c-5p;8.83074785275128;2.9939631354165;1.53145158015239;1.9549838690418;0.0505849742614621;0.864119334751694
miR-301a-5p;3.48144697641883;-4.45421534924202;2.49345367552809;-1.78636378648529;0.0740403751084697;0.864119334751694
miR-27b-5p;38.7809127279403;-1.61584467466124;0.872940979555057;-1.85103542221703;0.0641644573150045;0.864119334751694
miR-27a-5p;29.5556867662454;-1.66684453691037;0.985584325501216;-1.69122468142206;0.090793898796929;0.864119334751694
miR-24-3p;401.185638238348;-0.553031040619797;0.330711205556462;-1.67224766300028;0.094475495311815;0.864119334751694
miR-222c-5p;32.745936070073;2.06359317795512;1.23820869225047;1.66659561580406;0.0955948412556646;0.864119334751694
miR-221a-5p;4.06529478623949;4.96096448768469;2.46181725461114;2.01516358632733;0.0438875115215698;0.864119334751694
miR-205-1-5p;648.089469933419;-0.913539567166497;0.512138583061698;-1.78377415289651;0.0744603711633983;0.864119334751694
miR-200b-3p;1309.30740217064;-1.0016129552604;0.502952503267731;-1.99146628906869;0.0464296477996907;0.864119334751694
miR-19b-2-5p;9.16813822929566;2.81719051047188;1.67357525323177;1.6833366202277;0.0923099450753701;0.864119334751694
miR-196a-5p;91.8320047647338;1.25564080133147;0.669759718297113;1.87476309343295;0.0608253226108676;0.864119334751694
miR-191-5p;4995.85538486974;0.471041158195431;0.266947385862425;1.76454681012755;0.0776399615831314;0.864119334751694
miR-182b-5p;19.2591022909777;1.76045263730384;1.05282517201858;1.67212247967868;0.0945001726768428;0.864119334751694
miR-181a-2-3p_gac-miR-181a-3-3p;2477.3489505253;0.487915678674335;0.246173417951888;1.98199985495466;0.0474792568822448;0.864119334751694
miR-146a-5p;6612.74409557525;0.564506194992433;0.319007360970926;1.76957106342095;0.076798622843933;0.864119334751694
miR-146a-3p;4.79195691755353;-5.41130423053129;2.3532858352271;-2.29946747204599;0.0214784084046231;0.864119334751694
miR-130c-2-5p;46.8541975491908;1.63235870555895;0.779117813583079;2.09513718862608;0.0361587989043546;0.864119334751694
let-7j-5p;2439.4187013335;0.469053431844757;0.284515714630334;1.6486028986279;0.0992290145169409;0.864119334751694
REV_miR-18a-3p;18.1698176793411;2.00470718012849;1.16410145814331;1.72210692298755;0.0850501512458286;0.864119334751694
miR-30bb-3p;30.9978040688678;1.58837775756344;0.984173082031385;1.61392115529613;0.106544529295996;0.880374570922901
miR-29b-1a-5p;44.9212287213259;1.32892565644675;0.833434705770675;1.59451681966843;0.110820326563013;0.880374570922901
miR-29a-3p;113.373122735836;-0.894705254734585;0.590685487215356;-1.51468975300622;0.129850990613055;0.880374570922901
miR-27a-3p;60.2190584356008;-1.36265048203573;0.887952666189905;-1.53459810857115;0.124882577560183;0.880374570922901
miR-133a-3p;5019.42299391976;-0.988915971971375;0.654126591469686;-1.51181129901704;0.130581874156028;0.880374570922901
miR-125b-2-3p;223.492693438683;-0.877741161613243;0.574022844880275;-1.5291049292582;0.126238433574991;0.880374570922901
let-7f-5p;6716.2145392693;0.495788358303107;0.320528396881592;1.54678450685372;0.121915217378779;0.880374570922901
miR-99a-5p;2350.8321394926;-0.0838511645818097;0.469594177386433;-0.178560911995312;0.858282488844514;0.985588465686075
miR-92a-3p;174836.052343675;-0.313414040102076;0.378219238662459;-0.828657054068532;0.407298493561704;0.985588465686075
miR-92a-2-5p;357.423031940728;-0.0822275534741349;0.522769667832011;-0.157292127936846;0.87501462403274;0.985588465686075
miR-9-5p;47.4003970943203;-0.379583308866756;1.02766368865469;-0.369365302148281;0.711855457136213;0.985588465686075
miR-8159-5p;7.33582054189312;1.42342886378544;1.77552359972745;0.801695265556562;0.422729255154445;0.985588465686075
miR-737-5p;189.820465606836;0.551403257511064;0.555751623736278;0.99217570216713;0.321111823102297;0.985588465686075
miR-730-5p;57.7023419147214;-0.248526986669332;1.10559192396561;-0.224790884667373;0.822141957599973;0.985588465686075
miR-724-5p;2.03755366502297;-0.50834764829236;2.94854398546482;-0.172406330310254;0.863118095829891;0.985588465686075
miR-722-3p;10.7151981691413;-0.443204288232922;1.43527611736582;-0.308793745586974;0.757478427098518;0.985588465686075
miR-7133-3p;10.9592151717175;-0.692557889029814;1.62412408796628;-0.426419319903711;0.669802325953557;0.985588465686075
miR-7132a-5p_gac-miR-7132b-5p;1784.56841947694;-0.476891209979541;0.385104480848083;-1.23834240757034;0.215589125662331;0.985588465686075
miR-7-5p;82.2657246568427;0.252716393621007;0.702100592790684;0.359943284788464;0.718889546835138;0.985588465686075
miR-551a-3p;137.102346806042;0.66631470726704;0.692761397399272;0.961824243914981;0.336137897598228;0.985588465686075
miR-499a-5p;90.3875117113557;-0.494197295435734;1.13191288799039;-0.436603647400054;0.662398817014439;0.985588465686075
miR-489-3p;36.4992603377798;1.11457108932468;1.33145758075146;0.837105969756567;0.402533005100673;0.985588465686075
