Gene	T9_F	T26_F	T31_F	T32_F	T44_F	T47_F	T13_F	T23_F	T1_M	T3_M	T12_M	T41_M	T43_M	T45_M	T63_M	T69_M
miR-20a-5p	55.8116857199128	93.4106967245807	131.252532841229	87.4961819564828	29.8890428832974	70.4931826691086	90.8584612122718	90.4971576872226	61.3627450984586	0	8.50251245317213	64.2297953196378	88.3319584019031	58.767366752796	245.381737978518	63.2606315197768
miR-206-1-3p	28876.6279388421	1936.11246243335	1167.79280571169	10546.2064651547	4321.101628271	9403.17758386197	3075.42124770023	13560.4963174432	4584.2460545507	23492.4810551582	8135.20391519509	7516.89323350137	5044.21972979289	14228.2046756046	1681.93696128965	5702.56439851622
miR-205-1-5p	952.181183645784	420.448576869994	345.749915340318	300.403558050591	629.804832183767	96.5450110468227	410.239718806924	442.430548693088	499.881874704517	272.337122795631	707.409036103921	2611.34261596403	1382.76043152453	273.580847776846	204.881839477209	819.434405950727
miR-204-2b-3p	37.2077904799418	22.2980372826418	35.4736575246565	58.3307879709885	41.2753449340774	49.0387357698147	35.7927271442283	16.0883835888396	4.4899569584238	0	180.253264007249	66.2369764233765	19.9245018951661	3.00088681290873	19.0587757653218	32.984142504475
miR-204-1/2b-5p	9636.81773430494	1759.13434670355	7486.83366610383	6678.87522267819	5264.74141072939	7343.55068152975	3455.37481276973	10885.8025457986	4060.41774273459	10723.274210078	3764.91251426462	7629.29537531073	2002.41244046419	2995.38518708506	2896.93391632891	3457.42735535714
miR-200b-5p	38.8990536835756	0	0	0	0	22.9869073921006	0	0	0	0	0	20.0718110373868	53.1320050537763	12.0035472516349	0	16.9843718866327
miR-200b-3p	2533.51227904331	825.027379457748	659.100556808117	431.647830985315	651.865792407153	205.349706036099	1090.30153454726	581.19285714683	835.131994266827	2355.71611218221	2521.84519361085	1869.35466794863	4395.34511807364	421.374523312601	600.351436607636	971.801452296026
miR-200a-3p	871.000549871366	105.865456287858	295.140830605142	142.910430528922	173.641106274395	96.5450110468227	66.0788808816523	20.1104794860495	71.8393113347808	275.741336830577	98.6291444567966	382.702530446175	935.123288946463	156.046114271254	586.057354783644	390.640553392551
miR-19b-3p	1.69126320363372	110.284887100634	44.6968084810672	99.1623395506805	0	73.558103654722	283.588530450424	34.1878151262841	7.483261597373	153.189631572543	27.2080398501508	42.8198635464252	31.8792030322658	48.5143368086911	238.234697066522	46.2762596331441
miR-19b-2-5p	32.1340008690407	34.1501471896316	0	20.415775789846	42.6986326904249	0	0	0	0	0	0	2.00718110373868	7.30565069489424	6.50192142796891	0	1.47690190318545
miR-19a-1-3p	0	16.8741903760533	72.6027524004636	49.5811697753402	0	12.2596839424537	13.7664335170109	0	0	0	0	11.3740262545192	19.2603518319939	1.00029560430291	45.2645924426392	19.692025375806
miR-199-5p	527.674119533721	157.492443509831	532.341353920011	376.233582412876	1526.47611868269	1126.35846221293	258.808950119805	2650.56119626132	456.478957439753	10.2126421048362	362.207030505132	463.658834963636	1868.91827776658	1989.58795695849	374.02847439444	514.946463577327
miR-199-3p	3710.63146877238	1092.00117719316	3006.03773863939	3356.93684773039	8215.21692963775	6902.20205960142	2403.6192920701	9946.64315380007	2822.6862745291	2430.60882095101	3588.06025523864	4429.17963558336	10399.2616891504	9724.12364332966	1986.87737353479	3385.05916210105
miR-196d-5p	13.5301056290698	0	0.70947315049313	26.2488545869448	0	3.06492098561342	60.5723074748479	4.0220958972099	1.4966523194746	0	0	7.35966404704183	14.6113013897885	21.5063554925126	0	27.3226852089308
miR-196d-3p	13.5301056290698	0	0	49.5811697753402	12.8095898071275	21.4544468992939	0	0	7.483261597373	0	13.6040199250754	36.7983202352092	6.64150063172204	33.009754941996	0	11.569064908286
miR-196a-5p	331.487587912209	12.0529931257523	77.5690644539155	87.4961819564828	111.728088873278	111.86961597489	57.8190207714457	249.369945627013	65.8527020568824	0	69.7206021160114	36.7983202352092	72.3923568857702	117.534733505592	9.52938788266088	58.0914748586277
miR-194a-5p	1.69126320363372	8.63797840678918	27.669452869232	32.0819333840437	0	27.5842888705208	77.092027695261	4.0220958972099	0	0	40.8120597752262	81.6253648853731	43.8339041693654	34.0100505462989	116.735001562596	49.9685143911077
miR-193a-2-5p	343.326430337645	0.200883218762539	62.197146193231	116.661575941977	135.923980731186	140.986365338217	0	122.673924864902	8.9799139168476	115.743277188143	0	29.4386561881673	75.048957138459	454.884426056748	28.5881636479827	88.3679638739294
miR-191-5p	9011.05034896046	5222.76280460725	7034.18979608921	6264.72662808417	3679.19885015828	3064.92098561342	7367.79521830423	4786.29411767977	4786.29411767977	6389.7097435925	3929.86125585616	5069.470407676	3342.6672679457	3014.64087746789	3063.69820427547	3906.40553392551
miR-18c-5p	52.4291593126453	18.4812561261536	89.6301080122987	154.57658812312	0	21.4544468992939	0	0	1.4966523194746	0	0	33.4530183956447	18.5962017688217	19.255690382831	59.5586742666305	32.2456915528823
miR-18a/b-5p	0	70.7108930044137	42.3318979794234	0	50.5267153503361	6.12984197122684	2.75328670340218	4.0220958972099	1.4966523194746	0	0	14.0502677261708	2.65660025268881	15.0044340645436	40.4998985013088	7.13835919872967
miR-184-3p	453.258538573837	349.536800646818	107.130445724463	224.573533688306	46.2568520812936	39.8439728129744	206.496502755163	269.480425113063	170.618364420104	6.80842806989078	40.8120597752262	257.588241646464	486.821996305225	35.760567853829	33.3528575893131	166.643764742758
miR-183-5p	11.838842425436	130.774975414413	44.9332995312315	166.242745717317	22.7726041015599	53.6361172482348	71.5854542884566	183.00536332305	88.3024868490014	34.0421403494539	217.664318801206	52.1867086972057	13.9471513266163	64.0189186753862	38.1175515306435	103.136982905784
miR-182b-5p	30.442737665407	20.490088313779	0	32.0819333840437	23.4842479797337	29.1167493633275	13.7664335170109	90.4971576872226	0	0	15.3045224157098	16.7265091978224	5.97735056854983	14.5042862623922	0	15.7536203006448
miR-182a-5p_gac-miR-182b-5p	0	1.80794896886285	28.6154170698896	2.91653939854943	0	7.66230246403355	5.50657340680435	0	0	0	0	2.00718110373868	1.99245018951661	4.00118241721164	16.6764287946565	4.9230063439515
miR-182a-5p	0	66.8941118479255	61.0146909424091	32.0819333840437	0	0	0	122.673924864902	52.382831181611	0	3.40100498126885	4.68342257539026	3.32075031586102	22.5066510968155	14.2940818239913	29.2918877465114
