Gene	B43_F	B54_F	B60_F	T44_F	T47_F	C17_F	C19_F	C31_F	B48_M	B49_M	B59_M	T41_M	T43_M	T45_M	T63_M	T69_M	C13_M	C15_M	C20_M
miR-9-5p	0.167968456165149	5.13828039237921	6.21881323772435	3.4589659463359	2.78304257730113	8.3099331209519	8.35675006994602	8.25705002628541	3.93912421023351	5.26326891451115	6.82601141828001	5.33198092571581	4.6313017438892	4.92947301089158	6.85419784590944	5.56394863508055	9.54347785664855	10.7525147583538	7.05216827068426
miR-9-1/3/5/6-3p	3.02032269928282	0.167968456165149	4.07408453796125	0.167968456165149	0.167968456165149	0.167968456165149	0.167968456165146	0.167968456165149	3.73423649820304	2.43971171105532	6.32110821476088	0.167968456165146	0.167968456165149	0.416434467067063	0.167968456165146	0.167968456165149	0.167968456165146	0.167968456165146	0.167968456165149
miR-8159-5p	5.89174971547166	2.0782903949238	5.8442871718555	4.52262465803581	3.48577274965243	0.167968456165149	0.167968456165146	0.167968456165149	1.657297899182	3.48041292490436	4.84370005720845	3.49186391825861	1.2245369743918	3.97203126284241	0.167968456165146	1.88888926621209	0.167968456165146	0.167968456165146	0.167968456165149
miR-737-5p	5.20966986623239	6.35249022132722	4.54800023177547	5.48692827871132	5.09764792338992	7.17854548261076	6.18020941221792	4.72562703512087	7.22274822925716	6.99762307928985	4.51108977088934	6.61969063841313	7.38148144431252	5.68897065391087	7.45346850833108	6.27116787509416	7.96365366136211	8.93146480177031	7.80513005497134
miR-733-1-5p	0.167968456165149	2.87236669278639	3.36362636935143	0.167968456165149	0.167968456165149	3.77617611393403	6.73686069557209	0.167968456165149	3.20892013448105	0.167968456165149	0.167968456165146	0.167968456165146	0.167968456165149	0.167968456165146	0.167968456165146	0.167968456165149	0.167968456165146	6.61280622431139	4.39938098440673
miR-730-5p	2.74749211726886	2.87236669278639	0.167968456165149	5.57493401959443	4.50600417425229	0.167968456165149	0.167968456165146	0.167968456165149	0.167968456165146	2.77805833778235	0.167968456165146	3.40258263664456	5.80020834594771	5.48643963253897	4.10128521869385	6.19192103579149	0.167968456165146	0.167968456165146	4.89311773726501
miR-727b-5p	5.8803818765888	5.83076455402558	5.02514822268988	0.167968456165149	0.167968456165149	6.10435430021919	4.27496068514633	4.14968178054183	5.23562958422847	4.69925474420077	5.34123903130367	0.167968456165146	0.167968456165149	0.167968456165146	0.167968456165146	0.167968456165149	7.37953569314308	7.48103063091103	4.44572812650579
miR-727b-3p	4.83882749218628	4.60705782014646	4.28266371050585	0.167968456165149	0.167968456165149	6.63438261496823	5.07533157762867	6.9797079245827	4.88529847950481	5.5982434204501	3.89907054277784	0.167968456165146	0.167968456165149	0.167968456165146	0.167968456165146	0.167968456165149	7.07612351068687	6.74229958409153	5.40805175364603
miR-725-3p	6.92305092714948	8.12972879044435	5.74206485446925	7.97021342998886	4.41155479916257	11.8665676687362	10.1062509302103	4.76816357150916	4.27801931123486	7.93037925267765	8.52233815864529	8.98713303456945	10.2928880001789	6.20061067188806	6.60532506757654	7.70430099308782	4.04433841340834	12.0906167083822	12.7758720150882
miR-724-5p	3.17719904899222	3.1493323876931	2.6697854237382	0.167968456165149	0.167968456165149	7.2821013225025	11.5501674035576	8.60089881579925	4.11849995022061	4.26954747666148	4.07807095137554	0.167968456165146	3.17154538887864	3.22624853536283	0.167968456165146	0.713238508649552	7.51024680072731	6.62699753824042	7.54797716078334
miR-722-3p	5.74904047964012	2.0782903949238	0.167968456165149	0.167968456165149	3.05708827675028	5.56193432684141	6.4600054799243	0.167968456165149	4.27801931123486	4.23334284281201	4.07807095137554	3.80224631838867	3.35380926971279	4.43329302589683	0.167968456165146	4.60547629719335	5.26769619865081	6.26809946769665	6.66342893836404
miR-7147-5p	2.93498620933472	2.0782903949238	4.46486136005656	0.167968456165149	0.167968456165149	0.167968456165149	0.167968456165146	0.167968456165149	3.49535726209106	1.60189240091217	0.167968456165146	0.167968456165146	0.167968456165149	0.167968456165146	0.167968456165146	0.167968456165149	0.167968456165146	5.6007946203305	0.167968456165149
miR-7133-3p	5.59064923404544	5.7078202226451	4.96591021909186	4.7285259581032	0.167968456165149	0.167968456165149	3.08668797922228	4.33086663197922	6.89370826148327	5.9723120868265	7.52673961105666	6.02809759120869	4.82900617005731	3.25843797436149	0.167968456165146	2.46192583608957	6.43845535006606	5.38395795493038	6.81235893980821
miR-7132b-5p	7.78839828283205	8.60203873661353	7.39916524821595	0.167968456165149	0.167968456165149	5.76624762827864	8.96267861424115	7.648408815758	8.22712318364841	8.15505138137875	9.1664632349816	0.167968456165146	0.167968456165149	0.167968456165146	0.167968456165146	0.167968456165149	8.66492126568935	9.32115166110662	7.41743086240217
miR-7132a-5p_gac-miR-7132b-5p	7.63788482138658	7.87739139666499	5.18953195808312	10.4529366270779	8.96383374077781	7.77563293994696	6.22579705005643	0.93747722589063	7.40665514620692	7.16072641635791	6.61016173682163	9.63490110215135	10.3669983958545	10.0334280270491	11.673506308345	10.1336998145778	7.28659513594299	6.69593277257064	7.14287404486429
miR-7132a-5p	6.3364556360465	6.53233824041787	5.63204344714057	0.167968456165149	0.167968456165149	5.23485668667232	5.41411027259006	6.9797079245827	5.80618080399214	6.47690926433099	6.8752801085247	0.167968456165146	0.167968456165149	0.167968456165146	0.167968456165146	0.167968456165149	5.44331016856367	8.00573728804862	5.32370286193715
miR-7-5p	4.92986383057462	5.25997103596054	7.50699373091678	5.84650518540388	6.32763836082358	0.167968456165149	7.94676689471047	7.95036624630477	5.07107191442138	5.11196478994435	6.2102762191595	4.54856086676597	5.27562825534642	5.27456435683885	6.46268641523939	5.86150919902019	5.29849013781408	4.66165272243758	5.39629966424263
miR-551a-3p	9.75359340311378	8.09743882717637	4.83959649821048	7.97021342998886	7.60042112709895	6.7351494062857	0.167968456165146	5.16825366937679	6.17394005074858	9.46089858399195	6.13135622278383	6.10085578570618	6.51595981172126	8.14038867069527	0.167968456165146	7.49739823735799	5.31364408098031	5.08820764620297	4.94243903745739
miR-499a-5p	5.78606288860886	7.55955788635136	5.24041224200763	6.72102974281235	5.83993632747585	5.16432492195412	11.893407394976	9.77340524538969	7.8992018479317	7.50622029490776	4.51108977088934	6.992865107477	6.44741121540611	8.70420927309288	3.65314593560933	5.52406058062213	8.33807470674607	7.32873344534527	5.56325663874582
