Gene	B9_F	B31_F	B27_F	O25_F	O32_F	O55_F	O59_F	O63_F	T9_F	T26_F	T31_F	T32_F	T13_F	T23_F	B11_M	B14_M	B17_M	B19_M	O49_M	O51_M	O29_M	O33_M	O38_M	O39_M	O46_M	O53_M	T1_M	T3_M	T12_M
miR-454b-3p	5.79967894846974	4.4164857773474	5.62297076824419	4.35287535009749	4.43460702602257	4.15408204175256	-0.338137178565099	-0.338137178565101	2.42854150772017	6.68691288623498	-0.338137178565099	-0.338137178565099	-0.338137178565099	-0.338137178565099	5.73505449295422	5.9872468013215	5.91658951457931	6.73413890378658	3.79002645490985	3.93085626400194	4.28379346615074	4.41247435040905	-0.338137178565101	3.97248438243139	2.83132263693009	1.45989127743511	-0.338137178565099	-0.338137178565099	-0.338137178565099
miR-451-5p	16.6752844915853	14.8608797704118	15.2661352711165	15.2937628546032	14.687386554238	13.2938264123283	12.9514520384325	14.3085376013004	14.4630655670655	15.2734337721247	13.9280055138727	15.5594815848845	15.1778403397279	15.7947298670753	16.3740362300401	15.9939567888998	15.8738901193934	16.0560041862157	14.7445976088983	14.2153235201608	14.8118547263457	14.0381793167806	13.3812921106728	14.1035407301405	14.1445206257667	15.0977765060073	14.8209172899766	14.3667662595946	14.8897018045416
miR-429a-3p	3.22820719524058	7.64783757009486	5.18889848147481	5.90011422768197	6.99137101672498	7.49600154128267	6.16445767781798	5.09859988568692	7.01545987044382	5.54804921632649	5.96325840407274	4.60851358017177	3.67940396253423	6.57402336616629	5.61032787955626	5.48843857917108	4.31233367653015	6.64857458140788	7.63093498573972	3.15427192119724	7.16857163503202	7.88103654235783	6.31128343642878	6.76638885387387	6.87752920104975	7.80027444153364	5.38396579007312	4.39990646993989	7.33096975524408
miR-425-5p	11.895687199042	13.1260791756985	11.8007637608132	10.9102601856354	10.2573792606834	12.4991250365312	12.9448400866738	12.2046941150081	12.0688592601579	11.6771026272062	12.2629019731467	11.7474018877635	13.0038651117225	11.0120465497601	12.2688300796637	11.8194582130293	11.7733496336355	11.5081305653438	12.5716834419251	11.7616741991674	11.6177326056829	12.6175905877032	11.3893921947298	12.1557861351113	12.5630912240503	12.6852788367319	12.4617504684463	12.3365494194725	11.3815357412355
miR-375a-3p	8.5480726035521	12.8956463836739	10.3819536162866	7.93917146062341	9.09975120711354	18.0172124792313	13.0442768298961	13.6647203048306	12.8232957661779	11.3107168349818	9.8078061261875	10.4716526915139	10.551113272687	10.7051227961874	9.90710147327153	10.1509316943462	8.17255924419366	9.79976104161727	17.4958421436426	10.7157051373304	11.7544717539081	12.5213911778779	11.3432768468343	12.2367353335107	12.1178716944268	14.1401310254243	10.968115150747	12.2668794294382	10.6710145350742
miR-365-2b-5p	4.59949435322613	4.91493631210849	6.21045368113138	2.94086666611602	2.8450964890175	4.3018922319604	1.60550267609693	5.2913783196	7.65339716157784	4.18827786956787	4.91944721681755	5.1777969917767	-0.338137178565099	2.98584889354459	5.9123623645132	5.89305683457673	5.87159919511042	5.40091943886586	5.82160679427914	0.581531975961984	4.09949441796418	4.25999478388501	4.81763164715923	2.03690971580928	5.81421667038968	3.16300831776413	2.87690057607039	6.77033714063505	5.67650147668808
miR-365-2b-3p	11.0699775558914	8.88800075082621	10.944134944157	7.89346939681397	6.70229833242671	6.74490728217181	6.13008028150234	9.26571029236547	8.19562114669545	8.20815935625574	8.38123554633783	8.47106603033793	7.80203261653226	9.77788938577419	11.4559365462483	11.6234820874851	11.2249368560151	10.9485102432656	8.40887118039656	7.4886734084469	8.10770548793933	7.38706383197272	7.00517284885503	6.92719403081224	9.00341495122794	8.94266452939191	7.78379407241187	5.59107155531024	9.53300072221901
miR-34a-5p	3.80188381434017	3.26364673958713	2.73740045350652	4.5064967105901	4.83985783303663	-0.338137178565099	5.86334202015489	-0.338137178565101	-0.338137178565101	-0.338137178565101	-0.338137178565099	-0.338137178565099	-0.338137178565099	-0.338137178565099	-0.338137178565099	1.48322187777347	3.037320949155	2.68647374256742	1.60390335964943	-0.338137178565099	0.970126548595168	3.22258255167991	-0.338137178565101	1.29122569839873	1.45290406286621	-0.338137178565099	-0.338137178565099	-0.338137178565099	-0.338137178565099
miR-338-3p	3.74146816301996	2.56851532760059	4.25199545595056	5.73026703222226	5.92149268235686	4.67165638525551	4.23317529357457	6.35075732031602	5.04168330112451	3.83860731535707	4.46263910219272	-0.338137178565099	-0.338137178565099	3.73010206871768	5.24561530435575	5.61184944948378	5.23339184387936	6.43654668385883	6.28803277681037	5.81154883066926	5.91543795408542	4.01519107528662	6.99704939489193	5.5972211586291	5.49423867398407	4.2292822754304	4.35438057326367	-0.338137178565099	-0.338137178565099
miR-338-1b-5p	-0.338137178565099	2.73690882354338	2.64358998192177	-0.338137178565099	-0.338137178565099	-0.338137178565099	-0.338137178565099	-0.338137178565101	-0.338137178565101	-0.338137178565101	3.51349252504866	-0.338137178565099	5.42168543552986	-0.338137178565099	1.40515714168551	-0.338137178565099	0.401588212759894	1.44728437293346	-0.338137178565099	-0.338137178565099	-0.338137178565099	-0.338137178565101	-0.338137178565101	-0.338137178565099	-0.338137178565099	-0.338137178565099	-0.338137178565099	5.24959088433531	-0.338137178565099
miR-338-1a-5p	3.47079976851662	-0.338137178565099	4.59045858996217	2.28470356149192	2.29764086016947	-0.338137178565099	3.11651553753734	-0.338137178565101	-0.338137178565101	-0.338137178565101	-0.338137178565099	-0.338137178565099	-0.338137178565099	-0.338137178565099	2.86630996911295	2.53672846331062	4.3689277810189	4.92953370133662	2.99756898115488	-0.338137178565099	3.42204996383961	1.05143285957869	5.23177652870824	3.97248438243139	3.84967171904866	-0.338137178565099	-0.338137178565099	-0.338137178565099	-0.338137178565099
miR-31a-5p	5.01126904382641	6.18515304180708	6.20225113335816	8.68295813788707	5.79856392823906	1.11305098720004	4.83618572160755	1.27730820176284	-0.338137178565101	5.86643884295538	6.07086182155472	6.101237908358	6.18815624824188	2.61805076848376	5.48130657506403	7.12529868567079	4.08346772303996	4.98202742030508	6.24590952082201	-0.338137178565099	6.71065000692707	6.84892309356553	6.33725601037637	7.20333168110122	6.05498366993724	7.25124597426908	-0.338137178565099	-0.338137178565099	-0.338137178565099
