Gene	C17_F	C19_F	C31_F	C13_M	C15_M	C20_M
miR-ENSGACG00000022167-5p	0	0	0	0	43.3043718133748	0
miR-99a-5p	2164.53216786535	2390.03153837512	3314.96458926801	2204.3503975787	1724.47631754595	1809.47521023009
miR-92a-3p	218815.061657476	100645.711377621	229817.454161435	242401.07167228	208852.173659039	190568.736919348
miR-92a-2-5p	556.492713463199	122.883989768443	36.4804715565379	30.6284893819681	102.968172978469	63.8387961272866
miR-92a-1-5p	588.393569648988	654.140026343127	737.539968425657	644.099114944329	403.211817551201	719.250436367429
miR-9-7-3p	349.727904851607	424.508328290986	252.191085977805	867.506919848096	982.528080476793	204.993467564287
miR-9-5p	623.838965410975	522.567269621359	610.651371707264	1615.20239593732	3429.70624761929	270.960223562483
miR-737-5p	283.563166095898	114.195222815119	50.755438687357	538.701077953439	969.055609245965	458.220692202524
miR-733-1-5p	24.811777033391	168.810329378871	0	0	192.46387472611	41.1405575042514
miR-730-5p	0	0	0	0	0	58.8735564284976
miR-727b-5p	133.510990703485	29.1694319147315	33.3082566385781	358.533493353627	353.171210122412	42.5591974181911
miR-727b-3p	193.768163498863	52.1326017199456	250.604978518825	290.069811205698	210.747942825091	85.1183948363821
miR-725-3p	7364.37172614887	1761.33718668102	52.3415461463369	33.3310031509653	8674.34683390579	14438.9170440783
miR-724-5p	304.83040355309	4794.95810581309	775.606547441175	392.765334427591	194.388513473371	383.03277676372
miR-722-3p	90.9765157891005	139.020271253188	0	81.0754130699156	151.084141659997	206.412107478227
miR-7147-5p	0	0	0	0	94.3072986157941	0
miR-7133-3p	0	11.7918980080829	38.0665790155178	185.572612137807	80.8348273849663	229.110346101262
miR-7132b-5p	105.154674093895	796.263428651074	399.699079662937	877.416137001086	1270.26157319233	349.694738786137
miR-7132a-5p_gac-miR-7132b-5p	430.070801912111	117.918980080829	1.58610745897991	336.01254527865	204.011707209677	288.693222486729
miR-7132a-5p	72.0723047160406	66.4070045718355	250.604978518825	91.8854681459043	509.066948650562	80.1531551375932
miR-7-5p	0	392.856391532447	493.279419742751	82.8770889159137	48.1159686815276	84.4090748794123
miR-551a-3p	207.946321803658	0	69.7887281951159	83.7779268389127	65.4377174068775	61.0015162994072
miR-499a-5p	68.5277651398419	6083.37811974889	1751.06263471382	699.050228247272	317.565393298082	95.04887423396
miR-489-3p	0	55.856358985656	0	88.282116453908	20.2087068462416	314.938060894614
miR-460-5p	76.7983574843056	0	195.091217454529	79.2737372239174	22.1333455935027	0
miR-458-3p	98.0655949414979	20.4806649614072	69.7887281951159	126.117309219869	6.73623561541386	124.840312426694
miR-456-3p	20.0857242651261	78.8195287908701	272.810482944544	54.9511133029428	205.936345956938	53.9083167297087
miR-455-5p	27.1748034175235	21.1012911723589	182.402357782689	291.871487051696	33.6811780770693	28.372798278794
miR-455-3p	165.411846889274	0	71.3748356540958	481.047450881499	91.4203404949024	102.142073803659
miR-454b-3p	0	125.36649461225	0	124.315633373871	29.8319005825471	86.5370347503218
miR-451-5p	10901.8222231952	20501.7662525796	32753.1190279351	17080.7878579852	16681.8063418856	5200.02460454598
miR-429a-3p	814.062589333639	1305.17692163149	0	27.0251376899718	739.061278948264	2096.04047284591
miR-425-5p	122423.670909136	76497.1455094887	33684.1641063563	58213.0474221224	76785.387460729	129989.975314295
miR-375a-3p	220782.281122266	276144.529431919	8534.84423677088	28385.4029537004	171772.083554306	295616.894586712
miR-365-2b-5p	251.662309910109	157.63905758174	304.532632124142	29.727651458969	0	0
miR-365-2b-3p	1565.50497948777	885.633603028123	1175.30562710411	3612.36007122624	2004.51125527244	1333.52151910332
miR-338-3p	0	47.1675920323317	85.649802784915	122.513957527872	0	0
miR-31a-5p	359.180010388137	277.419916295425	306.118739583122	12.6117309219869	277.147979605599	385.160736634629
miR-30e-5p	672.281006285691	1264.21559170868	945.320045552025	1159.37840689979	1151.89629023577	1088.80613394872
miR-30e-3p	44049.1748266136	55465.3644727564	8626.83846939171	12057.7155993424	37346.6525712281	89009.7241203187
miR-30c-2-5p	24978.3703934724	12585.6789318902	2772.51583829688	13085.5716694844	20990.1101776296	43407.544086727
miR-30c-1-5p_gac-miR-30c-2-5p	398.169945726323	183.084732230761	3.17221491795981	133.324012603861	164.556612890824	1034.18849726204
miR-30c-1-5p	26581.6837951063	19062.5340693825	988.144946944482	3386.24975255347	15265.2722239014	54672.2543233652
miR-30bb-5p	526.954883661543	146.467785784609	41.2387939334776	317.09494889567	411.872691913876	756.135074129861
miR-30bb-3p	0	37.8581988680557	65.0304058181762	44.141058226954	0	3.54659978484925
miR-30a-5p	14251.412122703	14153.3807407543	14947.4766934266	11169.4894072654	12433.1663073067	14310.5301318667
miR-29b-1a/2a-3p	50.8050672588483	87.5082957441944	0	0	100.081214857577	36.1753178054624
miR-29a-3p_gac-miR-29b-1a/2a-3p	0	0	0	0	0	40.4312375472815
miR-29a-3p	0	96.1970626975186	0	33.3310031509653	94.3072986157941	5.67455965575881
miR-27e-3p	770.346601227189	940.869335802828	1191.16670169391	541.403591722436	912.278766201763	966.803101349907
miR-27c-1-3p	824.696208062236	1114.02404865836	1705.0655184034	1282.79320235066	675.548200288647	726.343635937127
miR-27b-5p	66.1647387557095	203.565397192168	30.1360417206182	81.9762509929146	235.768246539485	341.892219259468
miR-27b-3p	1180.33167887417	2278.93944661476	1330.74415808414	802.646589392164	813.159870717816	2333.66265843081
miR-27a-5p	119.33283239869	22.3425435942624	49.1693312283771	0	183.803000363435	160.306310275186
miR-27a-3p_gac-miR-27b-3p_gac-miR-27e-3p	17.7226978809936	42.8232085556696	1.58610745897991	74.7695476089221	0	62.4201562133469
miR-27a-3p	66.1647387557095	361.204454773909	534.518213676229	10.8100550759887	121.252241077449	318.484660679463
miR-26b-3p	105.154674093895	121.64273734654	77.7192654900154	0	257.901592132988	175.911349328523
miR-26a-1b-3p	76.7983574843056	21.1012911723589	0	144.13406767985	100.081214857577	64.5481160842564
miR-26-5p	37611.1094430446	27231.8368841401	23547.3513360157	36910.0322190406	39645.6335548315	44541.0373779648
miR-24-3p	710.08942843181	1212.70361619969	2537.77193436785	799.944075623167	493.669838672473	599.375363639524
miR-24-2-5p	77.9798706763718	75.7163977361114	0	81.0754130699156	197.275471594263	152.503790748518
miR-23b-2-5p	99.2471081335642	39.7200775009109	65.0304058181762	100.893847375895	21.1710262198721	256.773824423086
miR-23b-2-3p	1422.54188324775	618.143706107926	1516.31873078479	1030.55858391093	723.664168970175	2272.6611421314
miR-23a-3p	20106.9915025833	12933.2296100232	19471.0551664373	23318.1896368307	17855.8359777149	29898.5455062362
miR-23a-3-5p	0	0	161.782960815951	118.910605835876	96.2319373630552	122.003032598814
miR-23a-2-5p	0	211.633537934541	111.027522128593	195.481829290796	50.0406074287887	63.1294761703167
miR-23a-1-5p	0	0	0	67.5628442249296	58.7014817914636	87.2463547072917
miR-22b-5p	262.295928638705	222.804809731672	258.535515813725	205.391046443786	683.246755277692	771.030793226228
miR-22b-3p	0	26.6869270709245	0	0	0	0
miR-22a-5p	1241.77036486162	119.780858713685	149.094101144111	879.217812847084	1093.19480844431	838.416189138364
miR-22a-3p	83964.2349941874	136138.083129528	196862.899486209	87715.4894003416	97108.6103124326	92770.5385321729
miR-223-5p	1268.94516827914	450.574629150958	360.046393188439	488.254154265491	955.583138015138	319.903300593403
miR-223-3p	9593.88711957787	1424.95778034518	4793.21674103728	11589.2798793829	12061.7110290853	4680.09307608708
miR-222c-5p	0	21.1012911723589	0	0	0	68.8040358260755
miR-222a-5p	64.9832255636432	68.8895094156424	125.302489259413	236.019535825754	195.350832847002	22.6982386230352
miR-222-3p	3780.84221461197	1864.98176390996	2196.75883068717	3121.40340319175	3798.27456771979	3462.19070996984
miR-221a-5p	0	32.8931891804419	0	0	76.0232305168136	58.8735564284976
miR-221-3p	3121.55785343901	469.814041690462	339.4269962217	1906.17304506601	2635.79276437408	2682.64807725998
miR-21a-3p	0	0	0	83.7779268389127	64.475398033247	24.8261984939448
miR-218a-2-5p	138.23704347175	149.570916839368	66.6165132771561	156.745798601837	64.475398033247	206.412107478227
miR-2188-5p	2008.57242651261	1544.73863905886	1890.64009110405	2465.59339524843	2268.18676364721	1097.31797343236
miR-2188-3p	4767.40572998728	20185.2468849942	27829.8414752614	7767.02457209791	3261.30035723394	1763.36941302705
miR-2184-5p	0	0	0	34.2318410739643	0	0
miR-216b-5p	0	0	0	0	35.6058168243304	0
miR-214a-5p	0	0	0	9.00837922999062	39.4550943188526	0
miR-214a-3p	4838.29652151125	2663.10707119389	13559.6326668192	6517.56237289821	1757.19517624939	1495.95578924942
miR-212a-5p	0	0	57.0998685232767	0	0	0
miR-210-5p	459.608631713767	741.648322087321	1438.59946529478	275.656404437713	827.594661322274	861.823747718369
miR-21-5p	61553.2927670749	64462.5826529237	57946.8499063719	71691.3844260343	57825.7711614598	71463.2763447555
miR-20a-5p	291.833758440361	0	38.0665790155178	89.1829543769071	69.2869949013997	53.9083167297087
miR-206-1-3p	4815.84777086199	3857.81252727597	20544.8499161667	1977.33924098294	604.336566639986	844.800068751092
