		O25_F	O32_F	O55_F	O59_F	O63_F	O49_M	O51_M	O29_M	O33_M	O38_M	O39_M	O46_M	O53_M
nomCol	Gene	O25_F	O32_F	O55_F	O59_F	O63_F	O49_M	O51_M	O29_M	O33_M	O38_M	O39_M	O46_M	O53_M
miR-26a-1b-3p	miR-26a-1b-3p	67	168	121	384	5	95	93	51	43	36	35	77	108
miR-26-5p	miR-26-5p	159794	191704	74712	138603	23779	60751	76358	44026	49775	30509	55321	40906	59782
miR-24-6-5p	miR-24-6-5p	8	15	0	72	0	13	0	3	21	0	0	6	0
miR-24-3p	miR-24-3p	3732	2286	1106	3218	373	1949	679	1206	1373	1835	1107	956	1181
miR-24-2-5p	miR-24-2-5p	181	91	16	318	21	115	76	141	134	27	110	162	77
miR-23b-2-5p	miR-23b-2-5p	110	46	273	9	70	253	0	78	142	254	83	170	126
miR-23b-2-3p	miR-23b-2-3p	6422	4576	3373	2192	1133	2765	1686	1415	3290	1553	1856	2127	2502
miR-23a-3p_gac-miR-23b-2-3p	miR-23a-3p_gac-miR-23b-2-3p	37	20	0	4	2	12	35	5	33	7	16	16	11
miR-23a-3p	miR-23a-3p	30418	19983	16299	42196	11382	19271	8034	14635	21832	9413	13944	19342	22077
miR-23a-3-5p	miR-23a-3-5p	115	105	54	3	2	172	71	68	90	83	81	32	60
miR-23a-2-5p	miR-23a-2-5p	40	60	0	90	0	75	163	38	13	2	19	27	16
miR-23a-1-5p	miR-23a-1-5p	7	20	31	60	0	0	68	6	14	0	20	29	170
miR-22b-5p	miR-22b-5p	1259	766	1286	1231	680	781	649	362	615	492	799	1027	1400
miR-22b-3p	miR-22b-3p	71	86	100	23	3	22	28	33	0	49	27	29	0
miR-22a-5p	miR-22a-5p	2606	9475	2871	2566	699	370	1751	638	1419	327	2218	1037	879
miR-22a-3p	miR-22a-3p	59251	226601	235182	324588	44677	41186	239042	23298	36351	70853	72252	57044	98918
miR-223-3p	miR-223-3p	29175	41299	96756	110392	10638	19393	96892	32766	44183	15879	113078	53947	28156
miR-222c-5p	miR-222c-5p	23	40	0	0	41	0	91	13	0	0	8	0	11
miR-222a-5p	miR-222a-5p	30	212	57	151	56	0	89	6	61	0	23	0	184
miR-222-3p	miR-222-3p	2721	13965	1084	5490	447	830	2892	768	1729	568	1503	1512	1269
miR-221a-5p	miR-221a-5p	42	148	54	84	0	7	0	4	11	43	15	35	19
