Gene	T9_Immature	T26_Immature	T31_Immature	T32_Immature	T13_Immature	T23_Immature	T1_Immature	T3_Immature	T12_Immature	T44_Mature	T47_Mature	T41_Mature	T43_Mature	T45_Mature	T63_Mature	T69_Mature
miR-99a-5p	10.9762610651388	9.49410588920494	11.1956632269088	10.1016748820945	9.43171735222214	12.978895593229	9.73553799663328	10.8596131181944	10.9834136539445	11.3954299953757	10.8438997454925	11.7994963798995	11.9713280725682	12.4238436495525	9.16817687329245	10.7526564479508
miR-92a-3p	16.9638449647676	17.159452876087	17.6766113932988	16.7618206484444	17.2459162906362	15.8192654722548	18.4196808916785	17.1395192665232	17.6984358363746	18.1135597824155	16.9390840077996	16.8922995821149	16.6892912431799	17.1140242495751	18.0309282219333	16.9107439749885
miR-92a-2-5p	8.19596819864226	9.4309774677094	8.29936523916163	7.63652253632217	8.88243189907418	6.5771297053715	9.84879152857644	5.73849490275597	7.99487074882209	8.81955479854606	7.67165006057318	7.52498232691775	7.2828634546057	7.95172589885855	9.19837632254791	8.66810996776129
miR-9-5p	1.53664440714234	6.83297919198805	5.22380858490577	6.56171475512207	0.385030553021202	6.19329389309261	7.20075603606143	0.385030553021202	0.385030553021204	3.39044123204861	2.86081495620971	5.59833810541327	5.05917308482697	5.14987690987669	6.68255521537755	5.65287066172788
miR-8159-5p	5.52275689538691	0.385030553021202	3.1585301790287	0.385030553021204	0.385030553021202	0.385030553021204	0.385030553021202	0.385030553021202	0.385030553021204	4.43523273942207	3.55250392606606	3.75462862164708	1.56005539136609	4.19231481291208	0.385030553021204	2.01568919606877
miR-737-5p	6.86006415257649	8.14165287329163	8.63666487253318	7.51633534699604	8.79249162221338	8.42335690779311	7.50193973734279	5.02486458164563	8.67017040104811	5.39101974592843	5.15244726934836	6.88686852881894	7.81725998609599	5.90942684882685	7.28033819029203	6.35882614416971
miR-730-5p	5.24784508614377	0.385030553021202	0.385030553021202	1.83918230457899	4.34490236461647	8.4745118943921	3.97773687765344	7.71178349874737	3.05430472506308	5.47849392826958	4.56375411648149	3.66502868483218	6.23324148789942	5.70688445254264	3.95453906894195	6.27969214419197
miR-725-3p	8.54923216046123	5.35106516280399	4.9366993012931	6.59600524338284	4.89862518031546	7.65853907009008	5.43761521676576	7.03909358577864	6.63400687945749	7.86691130698136	4.46989742261511	9.25476976496553	10.7298597349753	6.42108940086213	6.43450581101868	7.7907003570388
miR-724-5p	0.385030553021202	0.385030553021202	5.88428300671628	0.385030553021204	0.385030553021202	4.01573982739382	0.385030553021202	8.23260776439996	0.385030553021204	0.385030553021202	0.385030553021202	0.385030553021202	3.58302013802088	3.44636411592523	0.385030553021204	0.890218932532431
miR-722-3p	0.385030553021202	2.04005823106556	2.27033076732511	0.385030553021204	0.385030553021202	6.24134503172112	0.385030553021202	7.88070962791531	4.58850933363011	0.385030553021202	3.12991726376992	4.0659767988973	3.76835573892128	4.65364447680309	0.385030553021204	4.69746993552053
miR-7133-3p	2.60686688602725	2.43510500240385	0.385030553021202	1.83918230457899	4.77882478709279	0.385030553021204	0.385030553021202	0.385030553021202	0.385030553021204	4.63881533802911	0.385030553021202	6.29498690864905	5.25806968878517	3.47856273710973	0.385030553021204	2.57536844435298
miR-7132a-5p_gac-miR-7132b-5p	10.6931679431948	11.4765988629921	10.6105612960389	9.6169337482446	11.0098797564693	10.1658435645484	11.492162560847	11.1180903594166	11.3298896252781	10.3483083679082	9.01319627670391	9.90257772166046	10.8039792853864	10.2539559775398	11.4976380126965	10.2194958466368
miR-7-5p	2.60686688602725	7.70589699153516	7.63395629674866	6.37685506464061	5.2977854492253	6.37658288625316	6.97835108265141	0.385030553021202	7.7470906876175	5.74861407172367	6.37909151376334	4.81391486762251	5.70685037679427	5.49499543804944	6.29240694099681	5.94982354435276
miR-551a-3p	7.60241980587712	6.09701230402463	7.12010139116452	7.24098256220376	5.92429566592933	8.28118735259182	3.56246532671953	6.82383228413384	4.23330063518239	7.86691130698136	7.65041431729794	6.36778729722486	6.95060629007644	8.36090653809726	0.385030553021204	7.58391182052107
miR-499a-5p	8.59756441170752	0.385030553021202	4.80670892612688	0.385030553021204	2.59924058371563	0.385030553021204	4.64096053487845	4.77335778074914	4.23330063518239	6.61994897045607	5.89239045487728	7.26017272808543	6.88193553656329	8.92473160406592	3.51691906473141	5.61307399197905
miR-489-3p	7.3855800893659	0.605769331819842	0.385030553021202	3.02191322908188	0.385030553021202	6.28784720657072	0.385030553021202	0.385030553021202	0.385030553021204	6.89099025480182	4.73492374084236	6.45055967324817	5.05917308482697	5.6655254781114	3.51691906473141	4.82835733444141
miR-460-5p	4.74581366697202	3.40458973668638	1.74773820317327	0.385030553021204	0.385030553021202	3.12774910453831	5.56316736780333	0.385030553021202	0.385030553021204	6.74868930630669	5.85575016967211	5.54910021175539	4.98627554175696	6.38756685552612	2.42287895939403	3.93252617004769
miR-458-3p	0.385030553021202	0.385030553021202	0.385030553021202	0.385030553021204	2.59924058371563	0.385030553021204	0.385030553021202	0.385030553021202	0.385030553021204	0.385030553021202	4.01808288515255	4.19961376181003	1.08900284670867	3.79213700999611	1.73731639118594	3.98335761236285
miR-456-3p	7.32944716112661	7.72368907473252	6.88623728483592	5.47500018278669	6.59068663020451	7.80960940187082	6.48081530071235	7.84846981481147	7.26282048914696	5.69483710110342	5.99703836816783	5.00860802631672	6.08401827821026	6.33577568949865	6.36520518045527	6.44748606505194
