;baseMean;log2FoldChange;lfcSE;stat;pvalue;padj
miR-21a-3p;31.3007423980169;5.63280178678388;1.60760408778126;3.50384888269225;0.000458585512767201;0.0481154020819281
miR-29b-1a-5p;17.2358817035062;6.93959959420749;1.96897139559186;3.52447963934057;0.000424315422644336;0.0481154020819281
REV_miR-18a-3p;14.7597016176463;6.96206562350143;2.02852021097368;3.4320908344116;0.000598946913882923;0.0481154020819281
miR-724-5p;114.680373530424;-2.88278187670416;0.887551511082215;-3.2480164144942;0.00116212566238334;0.070018071158596
miR-499a-5p;331.276198117653;-2.32149150790706;0.751602874648294;-3.0887209006397;0.00201020187910568;0.0968917305728935
miR-17a-5p;79.2550272211301;1.82187241653732;0.61468364772276;2.96391879511823;0.00303748430978564;0.12200561977639
miR-21-5p;69655.3177728883;0.736990387573862;0.277133002266415;2.65933822946635;0.0078294319249667;0.269556156273853
miR-130c-2-5p;48.9383781124335;2.04077582041886;0.789577136069812;2.58464401664034;0.00974795846406938;0.29365724873009
miR-20a-5p;97.4254019569512;1.24528245199052;0.499126614940738;2.49492296085709;0.0125984479471568;0.329230641752437
miR-145-5p;730.398454958858;-1.07206235877116;0.434727615202836;-2.46605534426644;0.0136610224793542;0.329230641752437
miR-19a-1-3p;9.84795188323591;6.82355685326161;2.81911494870782;2.42046066847657;0.0155008560682538;0.339609664768107
miR-1388-3p;609.643606212081;1.20075841784034;0.503000790621926;2.38718992142275;0.0169777180217679;0.340969170270505
miR-7-5p;299.867099867504;1.33586322816573;0.598928581745828;2.23042157091885;0.0257194688460853;0.470723782797857
miR-301c-5p;4.97735746156158;5.83211231793415;2.64308129219306;2.20655805599344;0.0273449500380498;0.470723782797857
miR-30bb-3p;41.5167258273512;1.62007490305392;0.761849878761582;2.12650149093337;0.0334615252444679;0.51375470288239
miR-182b-5p;49.6394282664542;1.58327929955383;0.747256265775407;2.11879026254923;0.0341081960419844;0.51375470288239
miR-125b-2/3-5p;28587.4397596981;-0.673014392607594;0.321947570335427;-2.0904471864981;0.0365776479114053;0.518541949802863
miR-222c-5p;34.2241916002073;2.20017325923311;1.10095302945783;1.99842609118084;0.0456704853152708;0.605059561686907
miR-214a-3p;8536.76771167648;-1.03337155747358;0.522902625156884;-1.97622178156696;0.0481296639803886;0.605059561686907
let-7c-2-5p;17754.1352709706;-0.740283431230648;0.378052459444942;-1.95815002054883;0.0502124117582495;0.605059561686907
miR-ENSGACG00000022167-5p;139.902577974413;-2.30880297920002;1.19253073561272;-1.93605322718477;0.0528611822455822;0.60664499624692
miR-99a-5p;8569.23303753735;-0.644019651506615;0.364983479034209;-1.76451726859191;0.0776449305862955;0.664580916886305
miR-8159-5p;60.8860749904449;-2.37750628028567;1.41864673279572;-1.67589733604808;0.0937583036271136;0.664580916886305
miR-722-3p;74.4642967624213;-1.13152198584216;0.661670105971588;-1.71009990572363;0.0872474002328204;0.664580916886305
miR-34a-5p;10.3501906921507;2.21465539380499;1.3196547953396;1.67820812050705;0.093306477034122;0.664580916886305
miR-30e-5p;852.70404709629;0.580577613655998;0.341847900315855;1.69835067911655;0.089441594922087;0.664580916886305
miR-29b-1a/2a-3p;41.2397176872203;1.4029814332962;0.792205592163907;1.77098148154188;0.0765637812395824;0.664580916886305
miR-221-3p;1303.11452180969;0.604569851918042;0.350085957716107;1.72691831418244;0.0841823348068195;0.664580916886305
miR-155-5p;635.266436436649;1.12648555069138;0.615173866860675;1.83116613265775;0.0670757500457256;0.664580916886305
miR-150-5p;10252.5496464178;-1.13065412969571;0.640095166270433;-1.7663844210597;0.0773313769553951;0.664580916886305
let-7j-5p;3267.94479066485;0.565595630875845;0.3119297600664;1.81321471460577;0.0697987111916073;0.664580916886305
let-7c-2/d-3p;46.1198568809674;1.11922522612946;0.639978478014039;1.74884822627567;0.0803172580104238;0.664580916886305
let-7b-5p;75258.5520150357;-0.596533542985651;0.349764442299617;-1.70552941020415;0.0880957319789736;0.664580916886305
miR-19b-2-5p;3.1066350231615;5.14436289033503;2.9407650851573;1.7493280630608;0.0802343277504529;0.664580916886305
miR-103-3p;882.677461986861;0.464941361538992;0.280943795793872;1.65492660275766;0.0979393872139097;0.674382637672921
miR-206-1-3p;22790.6611477899;-0.806378740783299;0.495844792170788;-1.62627248186475;0.103891703007422;0.679870058023579
miR-194a-5p;143.147116235439;-1.5060209660565;0.927359720211492;-1.62398790160202;0.104378390650923;0.679870058023579
miR-129-1b/2-3p;7.01109658139162;3.40762148113556;2.13090479315718;1.59914299882295;0.109788832352649;0.696292331499693
miR-338-3p;63.911081419494;-0.827698504487955;0.565218057889465;-1.46438793477087;0.143087982814285;0.732759321441012
miR-216b-5p;3.72100256940954;-3.13074977413568;2.13183562284873;-1.46856996880093;0.141949465327357;0.732759321441012
miR-181b-2/3-5p_gac-miR-181c-5p;968.138515974011;0.411855333368979;0.277046546819487;1.48659255311826;0.13712245582513;0.732759321441012
miR-15a-2-5p;10012.8470161974;0.401143856805914;0.27481045264059;1.45971105884589;0.144369501269786;0.732759321441012
miR-142-5p;450.5245295536;0.957396441244371;0.658678039513176;1.45351201013469;0.146081647534064;0.732759321441012
miR-142-3p;130.83490051057;0.920837747187806;0.636781757653686;1.44608060158753;0.14815459592042;0.732759321441012
miR-133a-3p;10042.5606727439;-0.970338526476463;0.677413834955186;-1.43241616336439;0.152024755485687;0.732759321441012
miR-125b-2-3p;216.143631936805;-0.857713416508442;0.595073111259948;-1.44135804538774;0.149483556520811;0.732759321441012
