Gene	D15_M_MP	D21_M_MP	D22_M_MP	D24_M_MP	D46_M_MP	D48_M_MP	D50_M_MP	D52_M_MP	D57_M_MP	D60_M_MP	D25_M_I	D45_M_I	D53_M_I	D56_M_I
a103_gac-miR-ENSGACG00000022167-5p	52.0139205715477	30.8888872087442	86.0092822719823	97.7213902564575	3176.122924678	2427.96319688391	2242.64344073949	162.162374580619	184.005740132164	286.243671792457	0	529.335552682755	63.3774654753874	103.275795887058
a109_gac-miR-ENSGACG00000022167-3p	21.7896153745673	0	13.1543608180679	60.6546560212495	183.492509644887	229.253895482664	74.5182155941919	46.4981719227581	0	95.4145572641522	0	18.2198831539354	28.095165107646	15.3815015150937
a10_gac-miR-99a-5p	24284.8777803645	12401.2167167628	6950.56188148525	16281.2822042224	42522.9703536848	9957.55105526813	16134.967919371	20203.4557004384	13619.4167330344	14139.9719496827	22034.1583069928	16278.986127432	16162.5604480893	40603.8679638085
a57_gac-miR-99a-3p	22.4925061931017	5.37198038412942	0	24.1495389714234	0	13.542424205727	0	0	0	4.65436864703181	0	1.91788243725636	0	14.2828228354442
a244_gac-miR-96-5p	0	0	6.07124345449287	3.93132029767358	0	0	85.1636749647908	54.0541248602063	0	9.30873729406363	0	0	0	12.0854654761451
a165_gac-miR-92a-3p	696605.568835093	853825.248243722	1094224.25529889	749693.2332742	481454.07850247	581608.426995387	805435.455979509	362999.022430843	939503.38948229	537421.330198176	1450386.70878284	1094292.89481389	557880.466535064	389982.040074346
a44_gac-miR-92a-2-5p	274.830310046961	79.236710665909	89.0449039992287	108.392116778714	104.042144644008	98.6662334988682	280.330430092436	312.700206180548	414.885571246506	172.211639940177	554.947835147217	129.457064514804	315.580575511465	277.416366611512
a181_gac-miR-9-5p	68.1804093978395	68.4927498976501	55.6530649995179	86.4890465488187	41.6168578576033	0	92.2606478785233	36.617310389172	38.3968617619964	81.4514513230568	0	111.237181360869	116.954291959736	19.7762162336919
a46_gac-miR-9-1/3/5/6-3p	0	22.83091663255	17.2018564543965	13.4788124491665	13.2417275001465	11.6077921763374	0	9.29963438455162	0	9.30873729406363	0	29.7271777774735	0	37.3550751080848
a167_gac-miR-8159-5p	104.027841143095	29.5458921127118	26.3087216361358	222.96202259663	22.7001042859654	74.4833331314986	0	19.1804959181377	90.2575581678097	55.8524237643818	0	21.0967068098199	22.8681576457583	51.6378979435289
a125_gac-miR-737-5p	5192.25447651382	1404.77287044984	1625.06949798592	1447.84910391464	3183.68962610665	3600.350206694	723.891237200721	1390.29534049047	2790.50439506665	1535.9416535205	5416.91469998501	1788.42537274155	474.350927166302	1148.66855957361
a127_gac-miR-734-3p	0	0	0	2.8080859269097	0	4.83658007347393	0	0	0	4.65436864703181	0	0	26.7884132421741	0
a177_gac-miR-730-5p	139.172382069817	108.782602778621	104.223012635461	134.788124491665	58.6419360720774	88.0257573372256	106.454593705988	29.6425846007583	348.065058569785	121.013584822827	0	52.7417670245498	691.271736834638	91.7396697507376
a168_gac-miR-727b-5p	4.21734491120657	2.68599019206471	0	0	3.78335071432757	0	14.1939458274651	0	0	2.32718432351591	0	6.71258853039725	0	21.973573592991
a124_gac-miR-727b-3p	27.4127419228427	12.0869558642912	8.09499127265715	37.62835142059	85.1253910723704	16.4443722498114	0	52.3104434131029	0	4.65436864703181	0	12.4662358421663	58.8038339462357	86.7956156923146
a232_gac-miR-725-3p	110.353858509905	511.681131588327	664.801158266969	1229.94163598645	66.2086375007325	167.345670542198	1256.16420573066	7145.60657022985	195.973593148891	3237.11339401063	70.1807566696714	1223.60899496956	33.3221725695336	315.870120399246
a223_gac-miR-724-5p	115.274094239646	445.874371882742	459.390754723293	86.4890465488187	43.5085332147671	142.195454160134	106.454593705988	735.833570677647	121.673172336716	660.920347878518	0	64.249061648088	523.354122121498	117.009279382677
a248_gac-miR-722-3p	66.0717369422362	73.8647302817795	13.1543608180679	507.140318399891	185.384185002051	31.921428484928	99.3576207922559	924.732394113852	34.4075774230877	76.7970826760249	562.745696999402	17.2609419353072	51.6166986861403	134.038798917245
a217_gac-miR-7147-5p	0	63.1207695135207	30.3562172724643	7.86264059534715	0	54.169696822908	0	10.4620886826206	0	20.9446589116432	0	0	126.101555018039	10.9867867964955
a156_gac-miR-7133-3p	255.852257946532	541.227023701039	749.798566629869	593.067747763328	249.70114714562	661.644154051234	567.757833098605	409.765140069306	528.081514363041	374.676676086061	691.410417560467	422.893077415027	461.283408511583	51.6378979435289
a99_gac-miR-7132b-5p	182.751612818951	363.951671024768	459.390754723293	235.317600675033	497.510618934076	1107.57683682553	1171.00053076587	525.429342727167	296.204362163972	232.718432351591	1677.83994186196	623.311792108316	145.702833000117	266.429579815016
a98_gac-miR-7132a-5p_gac-miR-7132b-5p	42.1734491120657	162.502406619915	216.541016543579	126.925483896318	109.7171707155	491.396535464952	273.233457178704	181.924097647791	122.171832879079	139.631059410954	54.5850329653	240.694245875673	30.7086688385898	186.775375540424
a100_gac-miR-7132a-5p	65.3688461237018	111.468592970686	99.1636430900501	84.2425778072909	155.117379287431	186.691990836094	205.812214498244	283.05762157979	141.120933488896	79.1242669995409	583.539995271898	85.3457684579079	0	74.7101502161695
a202_gac-miR-7-5p	326.844230618509	367.980656312865	423.975167905418	497.592826248398	121.067222858482	155.737878365861	2040.37971269811	192.386186330412	910.554150355914	358.38638582145	87.0761240160738	361.520839422823	245.669350708718	282.90976000976
