Gene	D1_P_M	D2_P_M	D3_P_M	D4_P_M	D5_P_M	D6_P_M	D7_P_M	D8_P_M	D9_P_M	D10_P_M	D12_M_MPP	D13_M_MPP	D20_M_MPP	D47_M_MPP	D61_M_MPP
a164_gac-miR-455-5p	791	1507	720	764	194	959	685	701	356	343	84	695	712	617	431
a102_gac-miR-455-3p	1034	2189	903	1453	906	1756	1131	830	812	426	982	1096	671	1628	251
a155_gac-miR-454b-3p	208	286	273	339	803	424	114	243	149	333	0	882	1089	612	0
a1_gac-miR-451-5p	89571	225649	115193	72613	300988	144998	49659	73482	91599	328589	56574	236483	133870	357129	61618
a134_gac-miR-429a-3p	2061	221	1175	94	76	955	221	492	116	179	0	798	351	29	81
a17_gac-miR-425-5p	24135	19850	47398	33170	33146	43197	16534	23897	23077	33808	13175	102244	60578	17058	35047
a247_gac-miR-375a-3p	24095	4569	26489	2723	3289	33086	9220	20736	3985	13648	6498	28729	16026	3975	8286
a116_gac-miR-365-2b-5p	177	375	159	174	135	612	421	424	136	205	898	62	66	276	0
a136_gac-miR-365-2b-3p	4269	8874	2000	4072	8578	16584	1958	2956	2480	5140	687	1691	1262	7184	504
a205_gac-miR-34a-5p	0	28	6	14	0	30	0	0	2	31	0	29	6	36	0
a174_gac-miR-338-3p	269	215	241	212	213	339	196	160	50	80	0	294	285	1063	306
a3_gac-miR-338-1b-5p	4	21	0	5	0	45	0	0	3	15	0	8	0	32	0
a4_gac-miR-338-1a-5p	19	34	29	33	50	79	17	25	6	26	92	12	26	11	132
a122_gac-miR-33-5p	8	8	13	21	0	9	0	0	3	53	0	11	19	0	0
a43_gac-miR-31a-5p	2083	534	1513	990	2000	1884	922	2017	861	1059	576	1260	1323	864	219
a214_gac-miR-30e-5p	5874	4101	10013	4035	11417	2415	3069	4438	1175	3810	1073	8304	4946	12895	3853
a95_gac-miR-30e-3p	4530	5101	10047	8645	16044	7323	5551	8256	3045	5815	2126	11671	7364	14784	10157
a212_gac-miR-30c-2-5p	18501	18383	31337	24965	93984	30618	20572	21182	13310	22010	7290	47251	23915	36986	28121
a211_gac-miR-30c-1-5p_gac-miR-30c-2-5p	137	235	314	246	932	305	202	157	125	409	94	501	189	494	21
a213_gac-miR-30c-1-5p	5544	6545	10247	5727	2940	7836	3568	6903	1340	1352	4112	12123	6852	16323	5815
a210_gac-miR-30bb-5p	1452	1390	1799	951	3527	1948	844	737	637	958	171	1544	641	2168	845
a89_gac-miR-30bb-3p	101	65	91	113	110	106	58	102	36	95	0	133	86	125	0
a208_gac-miR-30a-5p	31179	34749	31334	33472	38488	37244	19093	22804	12782	34427	14889	56939	37218	45111	39603
a110_gac-miR-301c-5p	0	16	20	34	14	10	0	0	2	0	0	30	15	0	0
a111_gac-miR-301b-5p	22	7	18	25	0	14	0	108	2	48	0	14	48	0	0
a143_gac-miR-29b-2b-3p	29	0	12	0	0	0	0	0	2	0	0	9	2	25	0
a145_gac-miR-29b-1a/2a-3p	194	15	125	86	120	38	45	0	55	23	0	178	23	156	0
a107_gac-miR-29b-1a-5p	12	12	0	0	72	1	0	34	4	10	0	0	11	52	0
a146_gac-miR-29a-3p	461	384	367	260	795	196	145	576	122	608	47	652	315	1279	199
a33_gac-miR-29a-3b-5p	48	44	35	191	352	43	1	27	56	161	0	60	139	26	152
a228_gac-miR-27e-3p	3544	3923	3711	2993	2295	6252	3523	3505	1689	1865	263	2331	2380	5237	1024
a59_gac-miR-27c-1-5p	1116	996	799	1270	550	906	1138	262	339	481	567	1325	952	952	741
a231_gac-miR-27c-1-3p	7601	7760	12886	7101	9117	6219	6223	3930	3101	4150	4112	24160	14216	11567	3634
a36_gac-miR-27b-5p	643	923	550	514	250	519	835	233	265	349	727	319	321	464	181
a230_gac-miR-27b-3p	13330	17581	12015	7902	6236	9420	9225	7293	3833	5481	5039	12431	10449	11098	3760
a42_gac-miR-27a-5p	183	108	296	200	88	259	147	226	73	66	1	286	161	67	145
a227_gac-miR-27a-3p_gac-miR-27b-3p_gac-miR-27e-3p	117	75	174	109	11	132	12	58	52	80	0	98	70	124	0
a229_gac-miR-27a-3p	793	276	1170	257	458	490	345	233	123	174	560	1236	614	1035	341
